pilot_id,spotify_track_id,title,artists,collection_status,duration_seconds,source_sha256,prepared_sha256,profile_status,primary_family,primary_style,secondary_families,secondary_styles,vocal_role,arrangement_focus,texture_tags,active_section_density,section_variation,certainty,audio_evidence,owner_confirmed
F001,00njeQb198Lm7Jge2Rsrlg,"Saturation in Delay, Love in Anger","[""City Girl"", ""tiffi""]",REUSED_EXACT_PRIOR_PROFILE,263.0,765a8be864679b237445f3fed4b04420b2e9136344577dcba914b30464a8755d,4301e634825e61c2e06d2ca94bb3946eaa604f95905237c096f28af341d38435,classified,electronic,minimal techno,"[""ambient""]","[""dub techno"", ""microhouse""]",vocal_samples_only,beat_or_instrumental,"[""electronic"", ""sample_based"", ""clean""]",sparse,mostly_consistent,"{""family"": ""clear"", ""style"": ""clear""}","[{""at_seconds"": 1.0, ""observation"": ""Spoken/chanted vocal sample repeated over a bare, syncopated kick-and-percussion groove.""}, {""at_seconds"": 26.5, ""observation"": ""Sub-bass pulse enters underneath continuous vocal fragments and ambient spatial textures.""}, {""at_seconds"": 254.0, ""observation"": ""Minimalist hand percussion pattern slowly builds with subtle shaker accents and reverberant dub delay.""}]",False
F002,02CCi0N3pMK4Rjxq5e6UmE,Stay With Me,"[""jrd.""]",NEW_VALIDATED_PROFILE,189.3935625,2e19745a9779266e042ec8d8709397a7e781b75ee176455d9e62c2265505a886,b6ff3a1d430819ef862a76d1f1913ff1a1e188c212796c6e07d47f80bdf7456b,classified,electronic,lo-fi beats,"[""hip-hop"", ""ambient""]","[""chillhop"", ""downtempo""]",vocal_samples_only,beat_or_instrumental,"[""sample_based"", ""electronic"", ""hazy""]",sparse,mostly_consistent,"{""family"": ""clear"", ""style"": ""clear""}","[{""at_seconds"": 1.4, ""observation"": ""Solo electric piano plays a repetitive, melancholic chord progression with vintage warmth.""}, {""at_seconds"": 23.8, ""observation"": ""A downtempo, dusty hip-hop drum beat drops with soft kick, snare, and vinyl crackle.""}, {""at_seconds"": 150.0, ""observation"": ""Subtle, ambient vocal chops blend into the background with continued low-key lo-fi beat.""}]",False
F003,043ryKJlgSnAUzpXnfxU6b,We (OUI) (Feat. sogumm),"[""jeebanoff"", ""sogumm""]",NEW_VALIDATED_PROFILE,273.7493333333333,d6b96f0bdad8437495352f5b907793dd02b9b3d2c9048e91e6bb861aebcdd1f3,bf70af4d805153f896d9ee94a74b4aba4f8f8e1736e7ba1a940a8c5369b32222,classified,R&B and Soul,Contemporary R&B,"[""Pop""]","[""K-Pop""]",sung_led,lead_vocal,"[""clean"", ""electronic"", ""layered""]",moderate,mostly_consistent,"{""family"": ""clear"", ""style"": ""clear""}","[{""at_seconds"": 10.0, ""observation"": ""A mid-tempo R&B beat enters with soft electric piano chords, rimshot snare, and sub bass.""}, {""at_seconds"": 29.5, ""observation"": ""Clean female lead vocals enter in Korean, singing a melodic contemporary R&B ballad verse.""}, {""at_seconds"": 198.0, ""observation"": ""Second female vocal enters with a slightly more rap-adjacent rhythmic cadence before singing.""}]",False
F004,06EL94D0TA27Ik0Ke5usbj,The Way,"[""Ariana Grande"", ""Mac Miller""]",NEW_VALIDATED_PROFILE,231.72354166666668,c235ae21612a837e0a00254a2874da76e9a871635b5b87b732eabd43d2755bcb,d70f17fdcd97c72d48571cc1d178cc5c224b6b1f9ac3a7a08b01b0d70cbea3d2,classified,r&b,contemporary r&b,"[""pop"", ""hip hop""]","[""dance-pop"", ""pop rap""]",mixed_rap_and_singing,lead_vocal,"[""clean"", ""layered"", ""sample_based""]",moderate,mostly_consistent,"{""family"": ""clear"", ""style"": ""clear""}","[{""at_seconds"": 22.0, ""observation"": ""Rapped male verse begins over a prominent, upbeat piano riff and a syncopated R&B hip-hop beat.""}, {""at_seconds"": 34.0, ""observation"": ""Female lead vocal enters with sweet, expressive melismatic delivery, singing an R&B pre-chorus.""}, {""at_seconds"": 115.0, ""observation"": ""Anthemic chorus featuring prominent, layered female vocals over rhythmic piano chords, bass, and handclaps.""}]",False
F005,07tiPBhMqiKqHowwqDBtfK,id T41104 (feat. 267),"[""W/N"", ""267""]",NEW_VALIDATED_PROFILE,200.167625,69438f58e4edad523bb506699ee18faf93dcbfc5b3b0434df56604fddaa7ff19,0ab38d10e46d3184065c59b8b550bce7f066363f69d80753c213476408320a95,classified,electronic,lo-fi chill beats,"[""r&b"", ""pop""]","[""chillout"", ""bedroom pop""]",sung_led,lead_vocal,"[""electronic"", ""clean"", ""hazy""]",sparse,mostly_consistent,"{""family"": ""clear"", ""style"": ""clear""}","[{""at_seconds"": 12.0, ""observation"": ""Intimate female lead vocals over a slow, spacious chillout hip-hop beat and electric piano""}, {""at_seconds"": 65.0, ""observation"": ""Vocal chorus with subtle harmonized backing layers over soft synth pads and laid-back downtempo drums""}, {""at_seconds"": 130.0, ""observation"": ""Low-frequency synth interlude with acoustic guitar strums and vinyl/lo-fi ambient texture""}]",False
F006,0ASYuzPsTBA6ZmIsuvNZby,falling down,"[""Nohidea""]",NEW_VALIDATED_PROFILE,96.0,3842d8a24c0f116ab24d9c1ae25c167f9bb50bf91610fc9e23108771c5fcc63c,7e41b258695dfe3330bd764a57afc06b6106539b39ea46212f96bdda9c03c7ac,classified,hip-hop,lo-fi hip hop,"[""electronic""]","[""chillout""]",vocal_samples_only,balanced,"[""sample_based"", ""hazy"", ""electronic""]",sparse,mostly_consistent,"{""family"": ""clear"", ""style"": ""clear""}","[{""at_seconds"": 12.0, ""observation"": ""A downtempo hip-hop drum loop drops in under pitch-shifted vocal chops.""}, {""at_seconds"": 26.5, ""observation"": ""Drums drop out, leaving mellow electric piano chords and dreamy vocal hums.""}, {""at_seconds"": 48.0, ""observation"": ""Beat re-enters with relaxed boom-bap kick and snare alongside pitched repetitive vocal fragments.""}]",False
F007,0CnpSTdL9l5vQM4YnzXtyo,Panorama,"[""IZ*ONE""]",NEW_VALIDATED_PROFILE,231.16627083333333,125ac6afb2dd81166028f609bdf7bb50701257f4655635475efa329ec61b9b3c,cbe2ded5dc61f7a848429399f3dd28cb8caba11c90822d80950c2bf1d9b8c3ef,classified,Pop,K-Pop,"[""Electronic""]","[""Electropop"", ""Dance-Pop""]",sung_led,lead_vocal,"[""electronic"", ""layered"", ""clean""]",dense,contrasting_sections,"{""family"": ""clear"", ""style"": ""clear""}","[{""at_seconds"": 15.0, ""observation"": ""High-energy synth-pop drop kicks in with driving four-on-the-floor electro bass and layered female vocals.""}, {""at_seconds"": 23.5, ""observation"": ""Bright female solo lead vocal begins the verse over a rhythmic electronic beat and synthesized keys.""}, {""at_seconds"": 68.0, ""observation"": ""Explosive chorus section features brassy synth riffs, sweeping risers, and anthemic female group vocals.""}]",False
F008,0JJeoiCAa1hwcBsPxBN2w4,"Sunday (feat. HEIZE, Jay Park)","[""GroovyRoom"", ""Heize"", ""Jay Park""]",NEW_VALIDATED_PROFILE,182.18377083333334,5d7667ad29b459b5a15e4c289a049ece9c074f6c176972aac58b99c0dfc67243,e29fe4f1edebb78914061351b150394e746068ddbbea0c5c8c7ad56dcfc70a44,classified,r&b,contemporary r&b,"[""pop"", ""hip hop""]","[""k-pop"", ""trap soul""]",mixed_rap_and_singing,lead_vocal,"[""electronic"", ""clean"", ""layered""]",moderate,contrasting_sections,"{""family"": ""clear"", ""style"": ""clear""}","[{""at_seconds"": 9.2, ""observation"": ""Female lead vocal enters over a smooth contemporary R&B beat with bright keyboard chords and trap-influenced hi-hats.""}, {""at_seconds"": 47.4, ""observation"": ""Catchy pop/R&B hook section introduced with layered vocal harmonies and steady mid-tempo bounce.""}, {""at_seconds"": 64.8, ""observation"": ""Male rap verse enters, interacting stylistically with the ongoing melodic contemporary R&B production.""}]",False
F009,0WJxkgYXRoOxFb4Vq3Ddmg,Jocelyn Flores,"[""Dontcry""]",NEW_VALIDATED_PROFILE,92.56533333333333,325e76e6777a997516dfa5bcbc6b52d2fe72b44daf62f43907f5d2a4f6c5b3ed,7ce5fe308f9620a2fc76ae61cf995c1b45f815de20d7b0690c3ba75e6fa63f1d,classified,Hip Hop,Lo-Fi Beats,"[""Jazz""]","[""Jazz Rap"", ""Chillhop""]",vocal_samples_only,beat_or_instrumental,"[""sample_based"", ""hazy"", ""electronic""]",moderate,mostly_consistent,"{""family"": ""clear"", ""style"": ""clear""}","[{""at_seconds"": 14.5, ""observation"": ""A laid-back boom bap drum pattern enters over looping electric piano and saxophone chords.""}, {""at_seconds"": 37.0, ""observation"": ""Vocal scatting and melodic singing snippets weave briefly through the jazz-hop instrumentation.""}, {""at_seconds"": 63.8, ""observation"": ""Mellow electric piano chords continue with vinyl crackle texture and occasional turntable scratching.""}]",False
F010,0ayK1CJh1cMRjUJRCDWhCd,(empty),"[""OuiOui""]",NEW_VALIDATED_PROFILE,210.98666666666668,413a26609a857fe3cdd787560a955ec7c72c565e3b74e7b6dff360a328c51095,7d6c45956f9f9b895e93325b8150e7e1a1b8c2804b4849f154c6cdc158bd0933,classified,R&B and Soul,Contemporary R&B,"[""Pop"", ""Hip Hop""]","[""K-Pop"", ""Pop Soul""]",sung_led,lead_vocal,"[""electronic"", ""clean"", ""layered""]",moderate,mostly_consistent,"{""family"": ""clear"", ""style"": ""clear""}","[{""at_seconds"": 15.0, ""observation"": ""Female lead vocal enters with gentle R&B phrasing over a smooth synth chord progression and crisp mid-tempo beat.""}, {""at_seconds"": 60.5, ""observation"": ""Chorus section arrives with layered backing harmonies, a prominent bassline, and catchy melodic hooks.""}, {""at_seconds"": 160.0, ""observation"": ""Instrumental drop section highlighting synth keys, muted percussion, and rhythmic finger snaps.""}]",False
