pair_id,pilot_a,pilot_b,spotify_a,spotify_b,song_a,song_b,human_playlist_rating,rating_status,original_c_similarity,c_status,shared_families,shared_styles,primary_family_a,primary_family_b,primary_style_a,primary_style_b,vocal_role_a,vocal_role_b,arrangement_a,arrangement_b,texture_a,texture_b,sections_a,sections_b,certainty_a,certainty_b,qualitative_implication
a5c1437b48b5d0fb252b63c5,A01,A02,4tqcoej1zPvwePZCzuAjJd,2BJSMvOGABRxokHKB0OI8i,Wet Dreamz — J. Cole,"Shoota (feat. Lil Uzi Vert) — Playboi Carti, Lil Uzi Vert",,OLDER_HOLISTIC_ONLY_EXCLUDED,0.518727719783783,FROZEN_C_AVAILABLE,"[""hip_hop_rap""]",[],hip_hop_rap,hip_hop_rap,boom_bap,trap,rap_led,rap_led,lead_vocal,lead_vocal,"[""sample_based"", ""clean"", ""layered""]","[""electronic"", ""clean""]",contrasting_sections,contrasting_sections,"{""family"": ""clear"", ""style"": ""clear""}","{""family"": ""clear"", ""style"": ""clear""}",no information
1dfb4821ac57927279c8c574,A01,A03,4tqcoej1zPvwePZCzuAjJd,2Vu2hkPW7LxMHPqoMjSIEJ,Wet Dreamz — J. Cole,My Gamecube Broke. — .Uzu,,UNRATED_UNKNOWN,0.524826169013977,FROZEN_C_AVAILABLE,"[""hip_hop_rap""]",[],hip_hop_rap,hip_hop_rap,boom_bap,lofi_hip_hop,rap_led,vocal_samples_only,lead_vocal,beat_or_instrumental,"[""sample_based"", ""clean"", ""layered""]","[""hazy"", ""sample_based"", ""electronic""]",contrasting_sections,mostly_consistent,"{""family"": ""clear"", ""style"": ""clear""}","{""family"": ""clear"", ""style"": ""clear""}",no information
55f33fe6f4c21be20bdbdaf9,A01,A04,4tqcoej1zPvwePZCzuAjJd,7hFW5IN7mQ99PuO86r38Sf,Wet Dreamz — J. Cole,She loves the color green and I love her — City Girl,,UNRATED_UNKNOWN,0.46475934982299805,FROZEN_C_AVAILABLE,"[""hip_hop_rap""]",[],hip_hop_rap,hip_hop_rap,boom_bap,lofi_hip_hop,rap_led,instrumental,lead_vocal,beat_or_instrumental,"[""sample_based"", ""clean"", ""layered""]","[""hazy"", ""electronic"", ""sample_based""]",contrasting_sections,mostly_consistent,"{""family"": ""clear"", ""style"": ""clear""}","{""family"": ""clear"", ""style"": ""clear""}",no information
03155c13222406a7d6788f2c,A01,A05,4tqcoej1zPvwePZCzuAjJd,5sEeuhYWHNczuPKek1zJeG,Wet Dreamz — J. Cole,Tea Time — Disvstxr,,UNRATED_UNKNOWN,0.5125716328620911,FROZEN_C_AVAILABLE,"[""hip_hop_rap""]",[],hip_hop_rap,hip_hop_rap,boom_bap,lofi_hip_hop,rap_led,sung_led,lead_vocal,beat_or_instrumental,"[""sample_based"", ""clean"", ""layered""]","[""sample_based"", ""hazy""]",contrasting_sections,mostly_consistent,"{""family"": ""clear"", ""style"": ""clear""}","{""family"": ""clear"", ""style"": ""clear""}",no information
1e69f8149fc8838ac131b669,A01,A06,4tqcoej1zPvwePZCzuAjJd,4LaZ8RpIP6DIgN73bXQVlO,Wet Dreamz — J. Cole,GET IT — keshi,,OLDER_HOLISTIC_ONLY_EXCLUDED,0.5589096546173096,FROZEN_C_AVAILABLE,"[""hip_hop_rap""]",[],hip_hop_rap,hip_hop_rap,boom_bap,melodic_trap,rap_led,mixed_rap_and_singing,lead_vocal,balanced,"[""sample_based"", ""clean"", ""layered""]","[""electronic"", ""clean"", ""layered""]",contrasting_sections,contrasting_sections,"{""family"": ""clear"", ""style"": ""clear""}","{""family"": ""clear"", ""style"": ""clear""}",no information
b769ea7f2488da16d5729a8b,A01,A07,4tqcoej1zPvwePZCzuAjJd,7fBv7CLKzipRk6EC6TWHOB,Wet Dreamz — J. Cole,The Hills — The Weeknd,,UNRATED_UNKNOWN,0.49713870882987976,FROZEN_C_AVAILABLE,"[""hip_hop_rap""]",[],hip_hop_rap,electronic,boom_bap,hyperpop,rap_led,sung_led,lead_vocal,lead_vocal,"[""sample_based"", ""clean"", ""layered""]","[""electronic"", ""distorted"", ""layered""]",contrasting_sections,contrasting_sections,"{""family"": ""clear"", ""style"": ""clear""}","{""family"": ""clear"", ""style"": ""clear""}",no information
980fb2e2a3ed5d3d41044414,A01,A08,4tqcoej1zPvwePZCzuAjJd,7F6PtLP6fJPVtA1FWVkl8K,Wet Dreamz — J. Cole,Shouldn't Be — Luke Chiang,,UNRATED_UNKNOWN,0.4713168144226074,FROZEN_C_AVAILABLE,[],[],hip_hop_rap,rnb_soul,boom_bap,alternative_rnb,rap_led,sung_led,lead_vocal,lead_vocal,"[""sample_based"", ""clean"", ""layered""]","[""electronic"", ""hazy"", ""layered""]",contrasting_sections,contrasting_sections,"{""family"": ""clear"", ""style"": ""clear""}","{""family"": ""clear"", ""style"": ""clear""}",no information
19a1a17068c54b34456b5e7e,A01,A09,4tqcoej1zPvwePZCzuAjJd,74X2u8JMVooG2QbjRxXwR8,Wet Dreamz — J. Cole,Perfect Night — LE SSERAFIM,,UNRATED_UNKNOWN,0.29889169335365295,FROZEN_C_AVAILABLE,[],[],hip_hop_rap,pop,boom_bap,dance_pop,rap_led,sung_led,lead_vocal,lead_vocal,"[""sample_based"", ""clean"", ""layered""]","[""clean"", ""layered"", ""electronic""]",contrasting_sections,contrasting_sections,"{""family"": ""clear"", ""style"": ""clear""}","{""family"": ""clear"", ""style"": ""clear""}",no information
cee80486212689c36f96b16a,A01,A10,4tqcoej1zPvwePZCzuAjJd,65FftemJ1DbbZ45DUfHJXE,Wet Dreamz — J. Cole,OMG — NewJeans,,UNRATED_UNKNOWN,0.3034091889858246,FROZEN_C_AVAILABLE,[],[],hip_hop_rap,pop,boom_bap,pop_rnb,rap_led,sung_led,lead_vocal,balanced,"[""sample_based"", ""clean"", ""layered""]","[""clean"", ""electronic"", ""layered""]",contrasting_sections,contrasting_sections,"{""family"": ""clear"", ""style"": ""clear""}","{""family"": ""clear"", ""style"": ""tentative""}",no information
c595e35533c3833381a52cda,A01,C01,4tqcoej1zPvwePZCzuAjJd,00njeQb198Lm7Jge2Rsrlg,Wet Dreamz — J. Cole,"Saturation in Delay, Love in Anger — City Girl, tiffi",1,PLAYLIST_COMPATIBILITY_V1,0.6012573838233948,FROZEN_C_AVAILABLE,"[""hip_hop_rap""]",[],hip_hop_rap,pop,boom_bap,hyperpop,rap_led,sung_led,lead_vocal,balanced,"[""sample_based"", ""clean"", ""layered""]","[""electronic"", ""distorted"", ""layered""]",contrasting_sections,contrasting_sections,"{""family"": ""clear"", ""style"": ""clear""}","{""family"": ""clear"", ""style"": ""clear""}",possible separation
78228b72fde7c5586d53ada7,A01,C02,4tqcoej1zPvwePZCzuAjJd,6pWqlKm9ugucgKNldCLigX,Wet Dreamz — J. Cole,"Sit Around — City Girl, tiffi",1,PLAYLIST_COMPATIBILITY_V1,0.5503394603729248,FROZEN_C_AVAILABLE,"[""hip_hop_rap""]",[],hip_hop_rap,rnb_soul,boom_bap,pop_rnb,rap_led,sung_led,lead_vocal,lead_vocal,"[""sample_based"", ""clean"", ""layered""]","[""sample_based"", ""clean"", ""layered""]",contrasting_sections,contrasting_sections,"{""family"": ""clear"", ""style"": ""clear""}","{""family"": ""clear"", ""style"": ""clear""}",possible separation
ef4252cc5d620e13e6db3e59,A01,C03,4tqcoej1zPvwePZCzuAjJd,2js0td9w2MzNUVPlMKYOEs,Wet Dreamz — J. Cole,risk — lace,,UNRATED_UNKNOWN,0.37222790718078613,FROZEN_C_AVAILABLE,[],[],hip_hop_rap,rnb_soul,boom_bap,alternative_rnb,rap_led,sung_led,lead_vocal,lead_vocal,"[""sample_based"", ""clean"", ""layered""]","[""electronic"", ""hazy"", ""clean""]",contrasting_sections,mostly_consistent,"{""family"": ""clear"", ""style"": ""clear""}","{""family"": ""clear"", ""style"": ""tentative""}",no information
7692bddbf06a2c0aeba2c355,A01,C04,4tqcoej1zPvwePZCzuAjJd,1ON9XudZFxwu43tQXBszIX,Wet Dreamz — J. Cole,boys dont cry — sysmint,,UNRATED_UNKNOWN,0.33385369181632996,FROZEN_C_AVAILABLE,"[""hip_hop_rap""]",[],hip_hop_rap,electronic,boom_bap,digicore,rap_led,sung_led,lead_vocal,balanced,"[""sample_based"", ""clean"", ""layered""]","[""electronic"", ""distorted"", ""layered""]",contrasting_sections,contrasting_sections,"{""family"": ""clear"", ""style"": ""clear""}","{""family"": ""clear"", ""style"": ""clear""}",no information
1efda5534e34b1d5990ac109,A01,C05,4tqcoej1zPvwePZCzuAjJd,6wm3t4VpTxSFfOUgTMlHZM,Wet Dreamz — J. Cole,The Peace — underscores,,UNRATED_UNKNOWN,0.0924353301525116,FROZEN_C_AVAILABLE,[],[],hip_hop_rap,rnb_soul,boom_bap,contemporary_rnb,rap_led,sung_led,lead_vocal,lead_vocal,"[""sample_based"", ""clean"", ""layered""]","[""sample_based"", ""electronic"", ""clean""]",contrasting_sections,mostly_consistent,"{""family"": ""clear"", ""style"": ""clear""}","{""family"": ""clear"", ""style"": ""tentative""}",no information
85afcf53a92580a86f708b77,A01,C06,4tqcoej1zPvwePZCzuAjJd,7fXYFuCTmNrYRGwEUUf5iz,Wet Dreamz — J. Cole,Die Right Here — david hugo,,UNRATED_UNKNOWN,0.29265114665031433,FROZEN_C_AVAILABLE,[],[],hip_hop_rap,pop,boom_bap,dance_pop,rap_led,sung_led,lead_vocal,lead_vocal,"[""sample_based"", ""clean"", ""layered""]","[""electronic"", ""clean"", ""layered""]",contrasting_sections,contrasting_sections,"{""family"": ""clear"", ""style"": ""clear""}","{""family"": ""clear"", ""style"": ""clear""}",no information
401c53398400271cba5ca373,A02,A03,2BJSMvOGABRxokHKB0OI8i,2Vu2hkPW7LxMHPqoMjSIEJ,"Shoota (feat. Lil Uzi Vert) — Playboi Carti, Lil Uzi Vert",My Gamecube Broke. — .Uzu,,OLDER_HOLISTIC_ONLY_EXCLUDED,0.3929961621761322,FROZEN_C_AVAILABLE,"[""hip_hop_rap""]",[],hip_hop_rap,hip_hop_rap,trap,lofi_hip_hop,rap_led,vocal_samples_only,lead_vocal,beat_or_instrumental,"[""electronic"", ""clean""]","[""hazy"", ""sample_based"", ""electronic""]",contrasting_sections,mostly_consistent,"{""family"": ""clear"", ""style"": ""clear""}","{""family"": ""clear"", ""style"": ""clear""}",no information
821dddf9ae12a605ec40ba61,A02,A04,2BJSMvOGABRxokHKB0OI8i,7hFW5IN7mQ99PuO86r38Sf,"Shoota (feat. Lil Uzi Vert) — Playboi Carti, Lil Uzi Vert",She loves the color green and I love her — City Girl,,UNRATED_UNKNOWN,0.35302242636680603,FROZEN_C_AVAILABLE,"[""hip_hop_rap""]",[],hip_hop_rap,hip_hop_rap,trap,lofi_hip_hop,rap_led,instrumental,lead_vocal,beat_or_instrumental,"[""electronic"", ""clean""]","[""hazy"", ""electronic"", ""sample_based""]",contrasting_sections,mostly_consistent,"{""family"": ""clear"", ""style"": ""clear""}","{""family"": ""clear"", ""style"": ""clear""}",no information
cdbaadde77abcde5cf6cd482,A02,A05,2BJSMvOGABRxokHKB0OI8i,5sEeuhYWHNczuPKek1zJeG,"Shoota (feat. Lil Uzi Vert) — Playboi Carti, Lil Uzi Vert",Tea Time — Disvstxr,,UNRATED_UNKNOWN,0.43763497471809387,FROZEN_C_AVAILABLE,"[""hip_hop_rap""]",[],hip_hop_rap,hip_hop_rap,trap,lofi_hip_hop,rap_led,sung_led,lead_vocal,beat_or_instrumental,"[""electronic"", ""clean""]","[""sample_based"", ""hazy""]",contrasting_sections,mostly_consistent,"{""family"": ""clear"", ""style"": ""clear""}","{""family"": ""clear"", ""style"": ""clear""}",no information
e87169502eee7b83a0680b6d,A02,A06,2BJSMvOGABRxokHKB0OI8i,4LaZ8RpIP6DIgN73bXQVlO,"Shoota (feat. Lil Uzi Vert) — Playboi Carti, Lil Uzi Vert",GET IT — keshi,,OLDER_HOLISTIC_ONLY_EXCLUDED,0.6928266286849976,FROZEN_C_AVAILABLE,"[""hip_hop_rap""]","[""melodic_trap"", ""trap""]",hip_hop_rap,hip_hop_rap,trap,melodic_trap,rap_led,mixed_rap_and_singing,lead_vocal,balanced,"[""electronic"", ""clean""]","[""electronic"", ""clean"", ""layered""]",contrasting_sections,contrasting_sections,"{""family"": ""clear"", ""style"": ""clear""}","{""family"": ""clear"", ""style"": ""clear""}",no information
