pilot_id,neutral_id,song,duration_seconds,audio_file,owner_recording_identity_ok,owner_family_or_style_words,owner_vocals_and_arrangement,owner_section_changes,acceptable_alternative_labels,model_description_or_timestamp_issues,model_certainty_appropriate,notes
A01,N006,Wet Dreamz — J. Cole,240.4078125,audio/N006.flac,,,,,,,,
A02,N012,"Shoota (feat. Lil Uzi Vert) — Playboi Carti, Lil Uzi Vert",153.89025,audio/N012.flac,,,,,,,,
A03,N003,My Gamecube Broke. — .Uzu,170.83439583333333,audio/N003.flac,,,,,,,,
A04,N016,She loves the color green and I love her — City Girl,136.5,audio/N016.flac,,,,,,,,
A05,N007,Tea Time — Disvstxr,106.68408333333333,audio/N007.flac,,,,,,,,
A06,N005,GET IT — keshi,158.70839583333333,audio/N005.flac,,,,,,,,
A07,N015,The Hills — The Weeknd,234.18485416666667,audio/N015.flac,,,,,,,,
A08,N014,Shouldn't Be — Luke Chiang,211.28997916666665,audio/N014.flac,,,,,,,,
A09,N013,Perfect Night — LE SSERAFIM,162.13333333333333,audio/N013.flac,,,,,,,,
A10,N008,OMG — NewJeans,212.2884375,audio/N008.flac,,,,,,,,
C01,N001,"Saturation in Delay, Love in Anger — City Girl, tiffi",263.0,audio/N001.flac,,,,,,,,
C02,N009,"Sit Around — City Girl, tiffi",219.8349375,audio/N009.flac,,,,,,,,
C03,N004,risk — lace,246.83972916666667,audio/N004.flac,,,,,,,,
C04,N002,boys dont cry — sysmint,121.69579166666666,audio/N002.flac,,,,,,,,
C05,N010,The Peace — underscores,173.30214583333333,audio/N010.flac,,,,,,,,
C06,N011,Die Right Here — david hugo,129.49333333333334,audio/N011.flac,,,,,,,,
