pilot_id,title,artists,status,audio_file,duration_seconds,model_raw_profile,owner_family,owner_style,owner_vocal_role,owner_arrangement,owner_texture,owner_density,owner_sections,owner_certainty,owner_notes
A01,Wet Dreamz,J. Cole,INVALID_EVIDENCE_TIMESTAMP,/home/bphan944/PersonalProjects/spotifyProject/ml/audio_similarity/.research_audio/gemini_style_pilot/style-pilot-v1-transport-v2/prepared/N006.flac,240.4078125,"{""status"": ""classified"", ""primary_family"": ""hip_hop_rap"", ""secondary_families"": [""rnb_soul""], ""primary_style"": ""boom_bap"", ""secondary_styles"": [], ""vocal_role"": ""mixed_rap_and_singing"", ""arrangement_focus"": ""lead_vocal"", ""texture_tags"": [""sample_based"", ""clean""], ""active_section_density"": ""moderate"", ""section_variation"": ""contrasting_sections"", ""certainty"": {""family"": ""clear"", ""style"": ""clear""}, ""audio_evidence"": [{""start_seconds"": 22.0, ""end_seconds"": 45.0, ""observation"": ""Rapped storytelling verses over a steady acoustic-style boom bap drum groove with warm electric piano chords and light bass.""}, {""start_seconds"": 66.0, ""end_seconds"": 86.0, ""observation"": ""Contrasting chorus section featuring repetitive soul-infused sung hooks over a sustained, open rhythm section.""}, {""start_seconds"": 340.0, ""end_seconds"": 360.0, ""observation"": ""Instrumental outro showcasing the core loop of laid-back drums, Rhodes-style chords, vocal sample chops, and bassline.""}], ""unmapped_styles"": []}",,,,,,,,,
A02,Shoota (feat. Lil Uzi Vert),Playboi Carti; Lil Uzi Vert,NOT_INFERRED_ENGINEERING_GATE_FAILED,/home/bphan944/PersonalProjects/spotifyProject/ml/audio_similarity/.research_audio/gemini_style_pilot/style-pilot-v1-transport-v2/prepared/N012.flac,153.89025,,,,,,,,,,
A03,My Gamecube Broke.,.Uzu,VALIDATED,/home/bphan944/PersonalProjects/spotifyProject/ml/audio_similarity/.research_audio/gemini_style_pilot/style-pilot-v1-transport-v2/prepared/N003.flac,170.83439583333333,"{""status"": ""classified"", ""primary_family"": ""hip_hop_rap"", ""secondary_families"": [], ""primary_style"": ""lofi_hip_hop"", ""secondary_styles"": [""chillhop"", ""instrumental_hip_hop""], ""vocal_role"": ""vocal_samples_only"", ""arrangement_focus"": ""beat_or_instrumental"", ""texture_tags"": [""sample_based"", ""hazy"", ""electronic""], ""active_section_density"": ""moderate"", ""section_variation"": ""contrasting_sections"", ""certainty"": {""family"": ""clear"", ""style"": ""clear""}, ""audio_evidence"": [{""start_seconds"": 0.0, ""end_seconds"": 29.5, ""observation"": ""Ambient room texture, a ticking clock sound, and sparse piano chords establish an intimate, tape-like introductory mood.""}, {""start_seconds"": 30.0, ""end_seconds"": 60.0, ""observation"": ""A downtempo boom-bap drum groove enters beneath filtered piano loops, mellow sub-bass, and intermittent vocal samples.""}, {""start_seconds"": 85.0, ""end_seconds"": 120.0, ""observation"": ""Warm jazz-influenced electric piano chords, mellow synthesized basslines, and filtered hi-hats maintain a relaxed, lofi hip-hop beat.""}], ""unmapped_styles"": []}",,,,,,,,,
A04,She loves the color green and I love her,City Girl,NOT_INFERRED_ENGINEERING_GATE_FAILED,/home/bphan944/PersonalProjects/spotifyProject/ml/audio_similarity/.research_audio/gemini_style_pilot/style-pilot-v1-transport-v2/prepared/N016.flac,136.5,,,,,,,,,,
A05,Tea Time,Disvstxr,NOT_INFERRED_ENGINEERING_GATE_FAILED,/home/bphan944/PersonalProjects/spotifyProject/ml/audio_similarity/.research_audio/gemini_style_pilot/style-pilot-v1-transport-v2/prepared/N007.flac,106.68408333333333,,,,,,,,,,
A06,GET IT,keshi,NOT_INFERRED_ENGINEERING_GATE_FAILED,/home/bphan944/PersonalProjects/spotifyProject/ml/audio_similarity/.research_audio/gemini_style_pilot/style-pilot-v1-transport-v2/prepared/N005.flac,158.70839583333333,,,,,,,,,,
A07,The Hills,The Weeknd,NOT_INFERRED_ENGINEERING_GATE_FAILED,/home/bphan944/PersonalProjects/spotifyProject/ml/audio_similarity/.research_audio/gemini_style_pilot/style-pilot-v1-transport-v2/prepared/N015.flac,234.18485416666667,,,,,,,,,,
A08,Shouldn't Be,Luke Chiang,NOT_INFERRED_ENGINEERING_GATE_FAILED,/home/bphan944/PersonalProjects/spotifyProject/ml/audio_similarity/.research_audio/gemini_style_pilot/style-pilot-v1-transport-v2/prepared/N014.flac,211.28997916666665,,,,,,,,,,
A09,Perfect Night,LE SSERAFIM,NOT_INFERRED_ENGINEERING_GATE_FAILED,/home/bphan944/PersonalProjects/spotifyProject/ml/audio_similarity/.research_audio/gemini_style_pilot/style-pilot-v1-transport-v2/prepared/N013.flac,162.13333333333333,,,,,,,,,,
A10,OMG,NewJeans,NOT_INFERRED_ENGINEERING_GATE_FAILED,/home/bphan944/PersonalProjects/spotifyProject/ml/audio_similarity/.research_audio/gemini_style_pilot/style-pilot-v1-transport-v2/prepared/N008.flac,212.2884375,,,,,,,,,,
C01,"Saturation in Delay, Love in Anger",City Girl; tiffi,NOT_INFERRED_ENGINEERING_GATE_FAILED,/home/bphan944/PersonalProjects/spotifyProject/ml/audio_similarity/.research_audio/gemini_style_pilot/style-pilot-v1-transport-v2/prepared/N001.flac,263.0,,,,,,,,,,
C02,Sit Around,City Girl; tiffi,NOT_INFERRED_ENGINEERING_GATE_FAILED,/home/bphan944/PersonalProjects/spotifyProject/ml/audio_similarity/.research_audio/gemini_style_pilot/style-pilot-v1-transport-v2/prepared/N009.flac,219.8349375,,,,,,,,,,
