new_attempt,global_attempt,arm,pilot_id,repeat,response_id,model_version,finish_reason,validation_status,prompt_tokens,output_tokens,thinking_tokens,total_tokens,audio_tokens,latency_seconds,cost_usd,raw_response_sha256
1,21,interval_smokes,A01,False,9RWiap2SDdODz7IPhcTi0QE,gemini-3.8-flash,STOP,VALIDATED,6457,396,0,6853,6011,2.895761425999808,0.00632775,60c9f155f55dbb2cd057006144b70cded6c4ddf12e3247f72247400f2bca09a8
2,22,interval_smokes,A03,False,-xWiaoOEG7uMjrEPv7v3WA,gemini-3.8-flash,STOP,INVALID_EVIDENCE_INTERVAL,4717,370,0,5087,4271,2.555681645997538,0.00492525,c3df8a91913be3d3f6dbd64a9993af8fe0761237e1f34b873f82459bb8a8ce74
3,23,point_primary,A01,False,2xeiaoWFNpugjrEPsa6lsQQ,gemini-3.8-flash,STOP,VALIDATED,6460,321,0,6781,6011,3.583562912001071,0.00604875,86355901ce93c5aae67a34b4d0dd5ab446a81a2a3199825c6454e1e65bacaa5a
4,24,point_primary,A03,False,4ReiauXSG72Hz7IPtZC2-Q8,gemini-3.8-flash,STOP,VALIDATED,4720,301,0,5021,4271,2.6673966520029353,0.00466875,06a499a916fae0b5b197397c019659bb0ad4c35dcd2ed1d8b8474d04d6ceec00
5,25,point_primary,A02,False,GhiiavOoDICc6dkP97Gm6A0,gemini-3.8-flash,STOP,VALIDATED,4297,275,0,4572,3848,6.028546159999678,0.00425400,d04f934af0c08e33020584377c0414c2a5ca342e2f69f8b40cf1906b42d3e3f9
6,26,point_primary,A04,False,IhiiaszUB_Gfz7IP7sG06Qo,gemini-3.8-flash,STOP,VALIDATED,3862,303,419,4584,3413,4.287142965000385,0.00560400,59808382315c321b45bb3d98a8de0b1dadd5599e6d4fb726e443328c34ef70b3
7,27,point_primary,A05,False,KBiiaplH5tyMxw-pm7PBAg,gemini-3.8-flash,STOP,VALIDATED,3117,317,0,3434,2668,2.31406132399934,0.00352650,e674704eaa7622c2daffbd5eb6208246379897830c62d651dc396e2d0682011d
8,28,point_primary,A06,False,LBiiarnDF5DQz7IP_u-h2A4,gemini-3.8-flash,STOP,VALIDATED,4417,278,0,4695,3968,2.7318031009999686,0.00435525,8a960b5b404ced2a38dcaca89cb355ec1241b6c872c27e4801146b748313cd7d
9,29,point_primary,A07,False,MRiiaobCEb-8_PUPudvA4QI,gemini-3.8-flash,STOP,VALIDATED,6304,326,0,6630,5855,3.2106956340030592,0.00595050,ea945573698c1e2b848cc28cb0f1ea61a5cf8fe01a0c8d50eccd5db3934a155e
10,30,point_primary,A08,False,NhiiauO-LKupqtsPuvLtmAc,gemini-3.8-flash,STOP,VALIDATED,5732,262,0,5994,5283,3.0582837680012744,0.00528150,6564d1b369e040f0b3b2a24215a2dac829bc21f23948cbe25a85f3300fc6780e
11,31,point_primary,A09,False,OxiiaoqsNICc6dkP97Gm6A0,gemini-3.8-flash,STOP,VALIDATED,4503,322,0,4825,4054,3.0233359429985285,0.00458475,602853993b9ac672e4fda602dcb143ab48c940e16305131d9d4a0a13aee6e476
12,32,point_primary,A10,False,QRiiat_nF9qzqtsPn-uWgQ4,gemini-3.8-flash,STOP,VALIDATED,5757,308,0,6065,5308,5.7059227130012005,0.00547275,28816fb52594b37f7f1f9947448ba8e6a6cab184c16d834c29593835947f105e
13,33,point_primary,C01,False,SRiiaqLCFMywqtsP9Yv3uQ0,gemini-3.8-flash,STOP,VALIDATED,7024,295,0,7319,6575,4.743582764000166,0.00637425,6462d21021d3bdc544a90f5b257a1fad219bda027af9f12fdeb391746f7d2050
14,34,point_primary,C02,False,UBiiatSfDLGHz7IP36jV0A8,gemini-3.8-flash,STOP,VALIDATED,5945,298,0,6243,5496,3.1871427719997882,0.00557625,f0584220413366a6b644ed9534163de92a01fa5ef1e90634d9f58836299cbe0a
15,35,point_primary,C03,False,VRiiaqPxHfGfz7IP7sG06Qo,gemini-3.8-flash,STOP,VALIDATED,6620,323,0,6943,6171,3.0917146710016823,0.00617625,018699804eb55f674348bb8372711786b12dfe8c2028be0550a7265a98caf165
16,36,point_primary,C04,False,WhiiavPaNoetz7IP3p2H2Q8,gemini-3.8-flash,STOP,VALIDATED,3492,339,0,3831,3043,2.425889574999019,0.00389025,6d6efd7dfb051ab4aed4c20da8aae2284714318eacae8d1bbedc59f7b1a5383c
17,37,point_primary,C05,False,XxiiapalI8b5ugfZ45C4DA,gemini-3.8-flash,STOP,VALIDATED,4782,337,0,5119,4333,2.5020871060005447,0.00485025,b7459429f06b35c894d7380acde7de9efc18811572f5eddcf3bf06b88a310778
18,38,point_primary,C06,False,ZBiiarSMCNeKmtkPu6q8-Aw,gemini-3.8-flash,STOP,VALIDATED,3687,335,0,4022,3238,2.195532022000407,0.00402150,4a4b8ae91bf2e33b1ed13f30cbf4a75d3aadf81d6e2060b7da0009503621421a
