"packet_hash","pilot_id","neutral_id","spotify_track_id","song","duration_seconds","owner_recording_identity_ok","owner_family_or_style_words","owner_vocals_and_arrangement","owner_section_changes","description_verdict","acceptable_alternative_labels","model_description_or_timestamp_issues","model_certainty_appropriate","notes","revision","updated_at","phase","save_status"
"85af304344c033aa8bafb5672ae26e01e1b9f4c23f85b75d14faddcf1bfe7f72","A01","N006","4tqcoej1zPvwePZCzuAjJd","Wet Dreamz — J. Cole","240.4078125","yes","the song sounds like boom bap/ golden age rap ","","","","","","","","6","2026-09-10T00:50:24.852302+00:00","listen","SAVED"
"85af304344c033aa8bafb5672ae26e01e1b9f4c23f85b75d14faddcf1bfe7f72","A02","N012","2BJSMvOGABRxokHKB0OI8i","Shoota (feat. Lil Uzi Vert) — Playboi Carti, Lil Uzi Vert","153.89025","yes","trap rap heavy fast/aggressive","","","","","","","","8","2026-09-10T01:00:37.104337+00:00","listen","SAVED"
"85af304344c033aa8bafb5672ae26e01e1b9f4c23f85b75d14faddcf1bfe7f72","A03","N003","2Vu2hkPW7LxMHPqoMjSIEJ","My Gamecube Broke. — .Uzu","170.83439583333333","yes","lofi electronic/gamey style","","","","","","","","5","2026-09-10T01:14:32.600854+00:00","listen","SAVED"
"85af304344c033aa8bafb5672ae26e01e1b9f4c23f85b75d14faddcf1bfe7f72","A04","N016","7hFW5IN7mQ99PuO86r38Sf","She loves the color green and I love her — City Girl","136.5","yes","soft studying lofi sound","","","","","","","","4","2026-09-10T01:14:34.680474+00:00","listen","SAVED"
"85af304344c033aa8bafb5672ae26e01e1b9f4c23f85b75d14faddcf1bfe7f72","A05","N007","5sEeuhYWHNczuPKek1zJeG","Tea Time — Disvstxr","106.68408333333333","yes","lofi hip hop ","","","","","","","","5","2026-09-10T01:14:49.068141+00:00","listen","SAVED"
"85af304344c033aa8bafb5672ae26e01e1b9f4c23f85b75d14faddcf1bfe7f72","A06","N005","4LaZ8RpIP6DIgN73bXQVlO","GET IT — keshi","158.70839583333333","yes","dark alt rnb ","","","","","","","","5","2026-09-10T01:15:15.552165+00:00","listen","SAVED"
"85af304344c033aa8bafb5672ae26e01e1b9f4c23f85b75d14faddcf1bfe7f72","A07","N015","7fBv7CLKzipRk6EC6TWHOB","The Hills — The Weeknd","234.18485416666667","yes","dark heavy rnb","","","","","","","","7","2026-09-10T01:40:25.328330+00:00","listen","SAVED"
"85af304344c033aa8bafb5672ae26e01e1b9f4c23f85b75d14faddcf1bfe7f72","A08","N014","7F6PtLP6fJPVtA1FWVkl8K","Shouldn't Be — Luke Chiang","211.28997916666665","yes","soul rnb","","","","","","","","2","2026-09-10T01:31:54.633777+00:00","listen","SAVED"
"85af304344c033aa8bafb5672ae26e01e1b9f4c23f85b75d14faddcf1bfe7f72","A09","N013","74X2u8JMVooG2QbjRxXwR8","Perfect Night — LE SSERAFIM","162.13333333333333","yes","kpop contemporary rnb","","","","","","","","8","2026-09-10T01:36:09.732253+00:00","listen","SAVED"
"85af304344c033aa8bafb5672ae26e01e1b9f4c23f85b75d14faddcf1bfe7f72","A10","N008","65FftemJ1DbbZ45DUfHJXE","OMG — NewJeans","212.2884375","yes","kpop hip hop contemporary rnb","","","","","","","","5","2026-09-10T01:36:32.536355+00:00","listen","SAVED"
"85af304344c033aa8bafb5672ae26e01e1b9f4c23f85b75d14faddcf1bfe7f72","C01","N001","00njeQb198Lm7Jge2Rsrlg","Saturation in Delay, Love in Anger — City Girl, tiffi","263","yes","lofi","","","","","","","","2","2026-09-10T01:36:39.942758+00:00","listen","SAVED"
"85af304344c033aa8bafb5672ae26e01e1b9f4c23f85b75d14faddcf1bfe7f72","C02","N009","6pWqlKm9ugucgKNldCLigX","Sit Around — City Girl, tiffi","219.8349375","yes","lofi soft vibes","","","","","","","","3","2026-09-10T01:36:48.157399+00:00","listen","SAVED"
"85af304344c033aa8bafb5672ae26e01e1b9f4c23f85b75d14faddcf1bfe7f72","C03","N004","2js0td9w2MzNUVPlMKYOEs","risk — lace","246.83972916666667","yes","dreamy whisper dream pop bedroom pop","","","","","","","","9","2026-09-10T01:37:33.730142+00:00","listen","SAVED"
"85af304344c033aa8bafb5672ae26e01e1b9f4c23f85b75d14faddcf1bfe7f72","C04","N002","1ON9XudZFxwu43tQXBszIX","boys dont cry — sysmint","121.69579166666666","yes","electronic hyperpop","","","","","","","","6","2026-09-10T01:38:53.865990+00:00","listen","SAVED"
"85af304344c033aa8bafb5672ae26e01e1b9f4c23f85b75d14faddcf1bfe7f72","C05","N010","6wm3t4VpTxSFfOUgTMlHZM","The Peace — underscores","173.30214583333333","yes","alt pop ballad hyperpop","","","","","","","","3","2026-09-10T01:39:24.170189+00:00","listen","SAVED"
"85af304344c033aa8bafb5672ae26e01e1b9f4c23f85b75d14faddcf1bfe7f72","C06","N011","7fXYFuCTmNrYRGwEUUf5iz","Die Right Here — david hugo","129.49333333333334","yes","alt upbeat indie","","","","","","","","5","2026-09-10T01:40:17.537181+00:00","listen","SAVED"
