query_id,top_genre,artist,title,seed_used
48442,Electronic,Bass Assassin,8bitDetective,20260823
84095,Electronic,Le Perche Oreille,Méchanismes,20260823
105408,Electronic,Egg Nebula,Magical Forest,20260823
115700,Electronic,Ultratech,Limmatrausch,20260823
124913,Electronic,Six Umbrellas,Monster,20260823
10435,Experimental,Funky Terrorist,Paku Paku,20260823
38896,Experimental,File Under Toner,sardana,20260823
41605,Experimental,Duncan Cameron,Side A Journey,20260823
92885,Experimental,The Fucked Up Beat,Cloud Poems,20260823
131410,Experimental,Suburban Howl,PITHIA,20260823
3921,Folk,Michael Holt,Hiawatha's Lullaby,20260823
68840,Folk,Howie Mitchell,John's Laughing Place,20260823
68844,Folk,Howie Mitchell,Matty Groves,20260823
113167,Folk,Mary Caroline,Life on Earth,20260823
125193,Folk,Derek Clegg,Fall In Love Again,20260823
11790,Hip-Hop,6th Sense,Just Got Chopped (Crack) Instrumental     {Old Money},20260823
94465,Hip-Hop,Tha Silent Partner,TSP And The Moon,20260823
107027,Hip-Hop,Alaclair Ensemble,LICORNES,20260823
110262,Hip-Hop,Kellee Maize & J. Glaze Productions,Big Plans (J. Glaze Remix),20260823
134823,Hip-Hop,C-Doc,Take Your Poison,20260823
20364,Instrumental,Ergo Phizmiz,Ice Cream Truck,20260823
114223,Instrumental,Squire Tuck,Ukulele Rising,20260823
120770,Instrumental,Aaron Mist,Nuclear Ashes,20260823
125814,Instrumental,Blue Dot Sessions,Shadow Play,20260823
149712,Instrumental,Fatal Injection,Step One,20260823
43586,International,Rozsa has become... Madárka,Nacht en gan Eden,20260823
107249,International,Vanya Zhuk,Vodka,20260823
113284,International,TaaPet,Not Enough,20260823
127359,International,Colin Ska Johnson,Come When You Can,20260823
134930,International,"Turku, Nomads of the Silk Road",Mastoom Mastoom   Asmar Asmar,20260823
32340,Pop,Plushgoolash,A Man Called Dave,20260823
52393,Pop,Phemale,Bad Apples,20260823
62450,Pop,Jahzzar,Montmartre,20260823
75317,Pop,Geese,Beloved Is He Who Sits Down,20260823
87190,Pop,Eric & Magill,I Hear Trumpets,20260823
42844,Rock,Waylon Thornton and the Heavy Hands,Men Don't Cry,20260823
64567,Rock,Starring,The Best,20260823
86441,Rock,Fever Dream,Fever of Terror,20260823
106277,Rock,Night Rally,A Birthday Party,20260823
143098,Rock,Twin Guns,Now I Understand,20260823
