trial_id,query_track_id,candidate_a_id,candidate_b_id,trial_kind,slice,canonical_label,label_status,raw_judgment_count,primary_eligible,exclusion_reason,excerpt_strategy,laion_clap_sim_a,laion_clap_sim_b,laion_clap_analysis_key,mert_5120_sim_a,mert_5120_sim_b,mert_5120_analysis_key,chroma_global_cos_sim_a,chroma_global_cos_sim_b,chroma_dtw_sim_sim_a,chroma_dtw_sim_sim_b,transposition_best_cos_sim_a,transposition_best_cos_sim_b,onset_cos_fixed_sim_a,onset_cos_fixed_sim_b,onset_dtw_sim_sim_a,onset_dtw_sim_sim_b,tempogram_cos_sim_a,tempogram_cos_sim_b,timbre_cos_sim_a,timbre_cos_sim_b,merit_melody_cos_sim_a,merit_melody_cos_sim_b,merit_rhythm_cos_sim_a,merit_rhythm_cos_sim_b,merit_timbre_cos_sim_a,merit_timbre_cos_sim_b,log_tempo_ratio_sim_a,log_tempo_ratio_sim_b,feature_cache_key_q,feature_cache_key_a,feature_cache_key_b
10435:H1,10435,98301,40230,disagree:laion_clap_vs_mert_5120,direct_disagreement,Neither,CANONICAL,1,False,NEITHER,center5_v1,0.4680535752,0.8335262088,b0fee4bc6fd340e4,0.969135874,0.9300230349,8069b221c47dd7c0,0.8082470548,0.7606905736,0.009525754858,0.009422805858,0.8901473549,0.8848957529,1,1,0.677888896,0.6759417122,0.9896296858,0.9961575947,0.9327774635,0.942498606,0.5843484071,-0.1128346821,0.3107832116,0.5972026762,0.9036723204,0.1351971537,-0.1226023221,-0.2135741003,99ebecf8791425556215b71806b22525b2c873f101f5ac510db05be9f95c5793,f2d2fa2d16fbc21a8ea7a0a62997948428787c9058968f59489a7e953e13a06a,f8c924e4a4e9ab790b0b72d06a4dc9a743243247bb9eddee63d87854525f7f22
10435:H2,10435,93716,53588,competitive_rank2,competitive_rank2,B,CANONICAL,2,True,,center5_v1,0.6345220691,0.7931040859,b0fee4bc6fd340e4,0.9679098299,0.9306367026,8069b221c47dd7c0,0.7365008256,0.8571312239,0.009154205983,0.01034226354,0.8781249666,0.9072713515,1,1,0.6678074084,0.6669139587,0.9813725249,0.9955543232,0.9818756563,0.9271545547,0.4782537481,0.418952566,0.2961023766,0.4445074615,0.223693832,0.1063063909,-0.3677247801,-0.1431008436,99ebecf8791425556215b71806b22525b2c873f101f5ac510db05be9f95c5793,f9519febc9dc2f2a137fe6858faa6a69697d46769b4ba3d56a1cc79ea70f95de,4b3af89c007883692e6c48a9d52f4babfa6c61b04b7409c5c9f6314baf5d3ead
10435:H3,10435,75925,93716,competitive_rank2,competitive_rank2,Neither,CANONICAL,1,False,NEITHER,center5_v1,0.3811754601,0.6345220691,b0fee4bc6fd340e4,0.9661055866,0.9679098299,8069b221c47dd7c0,0.8239104383,0.7365008256,0.008918591541,0.009154205983,0.9156334303,0.8781249666,1,1,0.6653169885,0.6678074084,0.9953328298,0.9813725249,0.9142885884,0.9818756563,0.4259690097,0.4782537481,0.4079741708,0.2961023766,0.7769785263,0.223693832,-0.2135741003,-0.3677247801,99ebecf8791425556215b71806b22525b2c873f101f5ac510db05be9f95c5793,9eb97e23fdc2258fe37e05358c0719bb9083e258091fccc469bfb15136d4ef78,f9519febc9dc2f2a137fe6858faa6a69697d46769b4ba3d56a1cc79ea70f95de
10435:H4,10435,40230,6782,anchor_negative,anchor_negative,Neither,CANONICAL,1,False,NEITHER,center5_v1,0.8335262088,0.4080907583,b0fee4bc6fd340e4,0.9300230349,0.9178947972,8069b221c47dd7c0,0.7606905736,0.8423398656,0.009422805858,0.008614757229,0.8848957529,0.8999695362,1,0.9960317304,0.6759417122,0.6588061739,0.9961575947,0.9661165733,0.942498606,0.7717849957,-0.1128346821,-0.02826266015,0.5972026762,0.2408145245,0.1351971537,0.7659015145,-0.2135741003,-0.424883194,99ebecf8791425556215b71806b22525b2c873f101f5ac510db05be9f95c5793,f8c924e4a4e9ab790b0b72d06a4dc9a743243247bb9eddee63d87854525f7f22,1269ba684bc08285497b3bbac8c2cc9535687ed71160157eab3970bae714f1f5
106277:H1,106277,42475,35543,disagree:laion_clap_vs_mert_5120,direct_disagreement,A,CANONICAL,1,True,,center5_v1,0.7055289967,0.8302767162,b0fee4bc6fd340e4,0.9755733771,0.9674057408,8069b221c47dd7c0,0.925356138,0.8992408351,0.01118631012,0.01076836671,0.9571511466,0.9284819597,1,1,0.6534280481,0.6586124133,0.9744803399,0.9909972083,0.8293187427,0.8596027139,0.5444615295,0.7486629376,0.5934672539,0.486592487,0.7470305939,0.670793723,-0.1000834586,-0.1112256351,d15795b2ad182d54806aa170dfffdecf6c30d881a962d7d0fb44fd3de13a9e7b,bb5092e9d1d58184b3365cf19a4c8d8a79079404b056dcea91e8f45de409b659,73b255963010c56100348b75f81e471a49427994a140a93f41a55f912a5e4900
106277:H2,106277,85309,35543,disagree:laion_clap_vs_mert_generic,direct_disagreement,A,CANONICAL,1,True,,center5_v1,0.5229982139,0.8302767162,b0fee4bc6fd340e4,0.9684194751,0.9674057408,8069b221c47dd7c0,0.9156164178,0.8992408351,0.01048591322,0.01076836671,0.9531099757,0.9284819597,0.9970252785,1,0.6493983708,0.6586124133,0.9637456755,0.9909972083,0.8723530323,0.8596027139,0.2820095747,0.7486629376,0.4476089177,0.486592487,0.2527530358,0.670793723,-0.387765531,-0.1112256351,d15795b2ad182d54806aa170dfffdecf6c30d881a962d7d0fb44fd3de13a9e7b,077930491a33277d6c5c93c7b016f5e0a21bd92c1934e45266fe7e3a467913dd,73b255963010c56100348b75f81e471a49427994a140a93f41a55f912a5e4900
106277:H3,106277,85309,42475,disagree:mert_5120_vs_mert_generic,direct_disagreement,A,CANONICAL,1,True,,center5_v1,0.5229982139,0.7055289967,b0fee4bc6fd340e4,0.9684194751,0.9755733771,8069b221c47dd7c0,0.9156164178,0.925356138,0.01048591322,0.01118631012,0.9531099757,0.9571511466,0.9970252785,1,0.6493983708,0.6534280481,0.9637456755,0.9744803399,0.8723530323,0.8293187427,0.2820095747,0.5444615295,0.4476089177,0.5934672539,0.2527530358,0.7470305939,-0.387765531,-0.1000834586,d15795b2ad182d54806aa170dfffdecf6c30d881a962d7d0fb44fd3de13a9e7b,077930491a33277d6c5c93c7b016f5e0a21bd92c1934e45266fe7e3a467913dd,bb5092e9d1d58184b3365cf19a4c8d8a79079404b056dcea91e8f45de409b659
106277:H4,106277,83558,19438,competitive_rank2,competitive_rank2,Neither,CANONICAL,1,False,NEITHER,center5_v1,0.8230615481,0.6638246319,b0fee4bc6fd340e4,0.972842756,0.9680424127,8069b221c47dd7c0,0.8317703369,0.8816582567,0.01005183643,0.01068949372,0.9446030582,0.967990407,1,0.9980178375,0.6655008816,0.6504404596,0.9800720966,0.8778904206,0.9672287733,0.975021969,0.4872792817,-0.1024603178,0.2869850281,0.3486579306,0.6546767821,0.5481768974,-0.2744368457,-0.1718502569,d15795b2ad182d54806aa170dfffdecf6c30d881a962d7d0fb44fd3de13a9e7b,b8cbfec8c8b6e82381e85a009ead00588bb0c7317bcce7a8b5558dae9b988304,76bfeeeaa4ca21f6a1b4a26fc3d0210101c3b3e04251ae71c86cddca251d4bde
106277:H5,106277,35543,52034,anchor_negative,anchor_negative,A,CANONICAL,1,False,,center5_v1,0.8302767162,0.1441206049,b0fee4bc6fd340e4,0.9674057408,0.8735074684,8069b221c47dd7c0,0.8992408351,0.6983040535,0.01076836671,0.009318103302,0.9284819597,0.820710969,1,1,0.6586124133,0.6889716431,0.9909972083,0.989945367,0.8596027139,0.7841554114,0.7486629376,-0.0173993345,0.486592487,-0.074048486,0.670793723,0.2926648066,-0.1112256351,-0.05129329439,d15795b2ad182d54806aa170dfffdecf6c30d881a962d7d0fb44fd3de13a9e7b,73b255963010c56100348b75f81e471a49427994a140a93f41a55f912a5e4900,b2f70deba08e51370be7e53870345247b2d104908cbc1d2b5d41597d0da5613b
107027:H1,107027,97986,45125,disagree:mert_5120_vs_mert_generic,direct_disagreement,B,CANONICAL,1,True,,center5_v1,0.5216609587,0.6862648591,b0fee4bc6fd340e4,0.9772898054,0.982063118,8069b221c47dd7c0,0.8113713338,0.9465378021,0.009910533801,0.01069271311,0.9126475192,0.9668968,0.9940258766,0.9980178375,0.6265905595,0.6415501322,0.9598760117,0.9471902997,0.9828270858,0.9706043595,0.1915846152,0.6856280414,0.8886542026,0.8688126345,-0.296077773,-0.3411484408,-0.03278982282,-0,64af2009263e6a33b72c060bc743e1d4e38fff77b965e8d787786e4c24ef13cf,bc084bea8de698ee0070afc3e5fa691c32c15fa9710be5acb33048864e56592e,696cd51543f5b5b619e3da05b4697806c1326a5d6a595ef3d971d71613f9acc1
