event_id,trial_id,rater_id,choice,note,submitted_at,supersedes_event_id
vote_4a71fee58ea831b98d32f22b,s2b_005b3aac3f7c6e8c07ef3bd2,lenny,B,,1787726972,
vote_e69d2e16bf6377677fa5723b,s2b_00f3bdc43fe1e2a240aed3e3,lenny,B,,1787727083,
vote_106c71136bd89fd7c85f88fa,s2b_0176ae545cd8090712b2650d,lenny,Tie,,1787727107,
vote_25b5fd7573ee31ad9b55065a,s2b_01da24fe37f3266072f0384a,lenny,B,,1787727119,
vote_ef4a910c305663e4819c4f8d,s2b_0261c466352d38c0aefd7c22,lenny,B,,1787727141,
vote_fa1725874e8d45edca2bde35,s2b_031e4b4f3683ac39c7524e2c,lenny,A,,1787727153,
vote_389415bf0d106dab40790c34,s2b_040fabb99b22a6a3f3bb1aa6,lenny,B,,1787727167,
vote_b5d29752ac8609b81f31548a,s2b_04761110c9313a75884dbf11,lenny,Tie,,1787727214,
vote_92002ce99d0a27d6b65fdb37,s2b_05f7ba1ff5a628ba37509847,lenny,A,,1787727220,
vote_665cf390dc035b5ea97e9498,s2b_065cd8e0210ff61667682e70,lenny,B,,1787727229,
vote_bd8f83993366e2c49f74be56,s2b_0710a4830788975665a5745e,lenny,B,,1787727244,
vote_f83c3e59d4462908386911f3,s2b_0926031d256c19619ffd9e30,lenny,B,,1787728106,
vote_884a654fdc9238dad43a4e06,s2b_0a9b9235adaebb553608a0db,lenny,A,,1787728120,
vote_ba630d84b82e4d13a6bd19d7,s2b_0b5f22a6cedcd5a5b6067e64,lenny,A,,1787728186,
vote_fb259ac466ffc4e4fbe266fb,s2b_0b7373f8ede8ab10b1f0667c,lenny,B,,1787728210,
vote_d41bdc89b882f2488f28ebf4,s2b_0b7373f8ede8ab10b1f0667c,lenny,Neither,im not sure for this one but im leaning b,1787728220,vote_fb259ac466ffc4e4fbe266fb
vote_06c31bc4caa1c45f53bd1f4f,s2b_0d5cf7c7343e2f8289478222,lenny,A,,1787728248,
vote_4a562b2deaec415b3b05f348,s2b_10c20e38169cd61735dba487,lenny,A,,1787728270,
vote_6256ac67861d0f19f6cab44a,s2b_0e69cdf9a6fab81a6fd6e556,lenny,B,,1787728284,
vote_dfa195d406ec66b806e7836d,s2b_11e4d7283a2c0a3fb83783d7,lenny,Neither,,1787728313,
vote_0de7e6837d58fa47bc847854,s2b_121effc085d3f97cea831cb5,lenny,A,a is just a quieter ocean sound to q,1787728354,
vote_922be0d7a75cb21231564894,s2b_122db3ac35b6dab85ff6d46b,lenny,Tie,,1787728366,
vote_7f79c215ed82ccbaa369f43d,s2b_1283bf154c9279cffeed09f0,lenny,B,,1787728385,
vote_b4f011ea41be2dc0932f1995,s2b_1283bf154c9279cffeed09f0,lenny,Tie,,1787728388,vote_7f79c215ed82ccbaa369f43d
vote_07c41cf0110c2aa54424f1a7,s2b_143c2078195504759a13dffb,lenny,Tie,,1787728414,
vote_1dd0b681aa5a91cb19295fc9,s2b_143c2078195504759a13dffb,lenny,Tie,,1787728415,vote_07c41cf0110c2aa54424f1a7
vote_0ba94d1212555c45435a0940,s2b_13daea9d79e7a97d0cf19489,lenny,A,,1787728441,
vote_f05129be176d7e1cc75ee1e6,s2b_14ca9fc3886afd5514832ca4,lenny,A,,1787728453,
vote_f536bcfa0ffaf13ea59e3550,s2b_166b7a2a577b69dd5be10b17,lenny,B,,1787728460,
vote_009a9ebdb0615eed3c400bb2,s2b_16a549d460210c290257f805,lenny,B,,1787728466,
