trial_id,query_track_id,a_title,a_artist,b_title,b_artist,question,choice,note,rated_by
3921:H1,3921,Blacklight Horses,Matt Bauer,Just Like You,Nate Maingard,Which clip sounds MORE like the query overall?,Tie,,lenny
3921:H2,3921,Blacklight Horses,Matt Bauer,Mapenzi Matamu,The Sounds of Taraab,Which clip sounds MORE like the query overall?,A,,lenny
3921:H3,3921,Blacklight Horses,Matt Bauer,Gori More,Rakiya,Which clip sounds MORE like the query overall?,A,,lenny
3921:H4,3921,Mapenzi Matamu,The Sounds of Taraab,Just Like You,Nate Maingard,Which clip sounds MORE like the query overall?,B,,lenny
3921:H5,3921,Just Like You,Nate Maingard,Gori More,Rakiya,Which clip sounds MORE like the query overall?,A,,lenny
3921:H6,3921,Gori More,Rakiya,Mapenzi Matamu,The Sounds of Taraab,Which clip sounds MORE like the query overall?,B,,lenny
3921:H7,3921,O Postaris Avel (Gypsy),Rozsa has become... Madárka,Matamu Choz,The Sounds of Taraab,Which clip sounds MORE like the query overall?,A,,lenny
3921:H8,3921,Monkeystage,Ergo Phizmiz,Matamu Choz,The Sounds of Taraab,Which clip sounds MORE like the query overall?,B,,lenny
10435:H1,10435,Gori More,Rakiya,Lay Your Head On The Rails (& Comeback),Big Blood,Which clip sounds MORE like the query overall?,Neither,,lenny
10435:H2,10435,gymnosperm,Jim Morisson mon cul,Lay Your Head On The Rails (& Comeback),Big Blood,Which clip sounds MORE like the query overall?,A,,lenny
10435:H3,10435,gymnosperm,Jim Morisson mon cul,Gori More,Rakiya,Which clip sounds MORE like the query overall?,B,,lenny
10435:H4,10435,Never Let Me Go,Big Blood,Let Me Go,The Chapin Sisters,Which clip sounds MORE like the query overall?,,,
10435:H5,10435,Let Me Go,The Chapin Sisters,Don't You Worry,Tricky Diesel,Which clip sounds MORE like the query overall?,,,
10435:H6,10435,gospellioza,Katapulto,Don't You Worry,Tricky Diesel,Which clip sounds MORE like the query overall?,,,
10435:H7,10435,Lay Your Head On The Rails (& Comeback),Big Blood,Sunshine,Cath and Phil Tyler,Which clip sounds MORE like the query overall?,,,
11790:H1,11790,Thursday is Thursdy,Comfort Fit,Pulsar,Reier,Which clip sounds MORE like the query overall?,,,
11790:H2,11790,Thursday is Thursdy,Comfort Fit,Something 4Her2 Strip2,Tha Silent Partner,Which clip sounds MORE like the query overall?,,,
11790:H3,11790,Pulsar,Reier,Something 4Her2 Strip2,Tha Silent Partner,Which clip sounds MORE like the query overall?,,,
11790:H4,11790,Bad Cop (Instrumental),The Impossebulls,New World Order - Part I (vocals: Revolushan),Corty,Which clip sounds MORE like the query overall?,,,
11790:H5,11790,Green Deli,Foolk,Bad Cop (Instrumental),The Impossebulls,Which clip sounds MORE like the query overall?,,,
11790:H6,11790,Thursday is Thursdy,Comfort Fit,Crazy U,Teddy Brown,Which clip sounds MORE like the query overall?,,,
20364:H1,20364,"Pornography, the cult of the body and the death of Eros",Teatro Grotesco,Happy Boccherini,Lanark,Which clip sounds MORE like the query overall?,,,
20364:H2,20364,UnDaTheC acoustic version,Simone Cicconi,"Pornography, the cult of the body and the death of Eros",Teatro Grotesco,Which clip sounds MORE like the query overall?,,,
20364:H3,20364,"Pornography, the cult of the body and the death of Eros",Teatro Grotesco,Snow Eater,OWL BRAIN ATLAS,Which clip sounds MORE like the query overall?,,,
20364:H4,20364,UnDaTheC acoustic version,Simone Cicconi,Happy Boccherini,Lanark,Which clip sounds MORE like the query overall?,,,
20364:H5,20364,Happy Boccherini,Lanark,Snow Eater,OWL BRAIN ATLAS,Which clip sounds MORE like the query overall?,,,
20364:H6,20364,Snow Eater,OWL BRAIN ATLAS,UnDaTheC acoustic version,Simone Cicconi,Which clip sounds MORE like the query overall?,,,
20364:H7,20364,test-3º SOME PIANOS AND A BICYCLE,Juan Antonio Nieto,Laare,Salam,Which clip sounds MORE like the query overall?,,,
20364:H8,20364,Fragrant Rota,Michael Holt,Laare,Salam,Which clip sounds MORE like the query overall?,,,
32340:H1,32340,An album from the future,Radioactive Sparrow,Chaje Shukarije,Gogofski,Which clip sounds MORE like the query overall?,,,
32340:H2,32340,An album from the future,Radioactive Sparrow,Ambience Brooklyn Zoo Kids Waiting for Train,andybrannan,Which clip sounds MORE like the query overall?,,,
32340:H3,32340,An album from the future,Radioactive Sparrow,Moon Pearls,Mário Gajarský,Which clip sounds MORE like the query overall?,,,
32340:H4,32340,Ambience Brooklyn Zoo Kids Waiting for Train,andybrannan,Chaje Shukarije,Gogofski,Which clip sounds MORE like the query overall?,,,
32340:H5,32340,Chaje Shukarije,Gogofski,Moon Pearls,Mário Gajarský,Which clip sounds MORE like the query overall?,,,
32340:H6,32340,Ambience Brooklyn Zoo Kids Waiting for Train,andybrannan,Moon Pearls,Mário Gajarský,Which clip sounds MORE like the query overall?,,,
