ab_id,question,a_title,a_artist,b_title,b_artist,choice
36380:melody:1,Which clip is MORE similar to the query specifically in MELODY?,Length and Brecht /Synaecide Remix/,Halogen,the first cup is the weakest,Deviant & Naive Ted,
36380:melody:2,Which clip is MORE similar to the query specifically in MELODY?,I Want You,Buffalo Stance,ICUu,Total Unicorn,
36380:melody:3,Which clip is MORE similar to the query specifically in MELODY?,Forever falling up,Fanas,Length and Brecht /Synaecide Remix/,Halogen,
36380:melody:4,Which clip is MORE similar to the query specifically in MELODY?,The Drop (Gung Who Version),Tickle,Broken Homes (Broken Beats),C-Doc,
36380:melody:5,Which clip is MORE similar to the query specifically in MELODY?,L'Anchoïade,Bo Marley + Disrupt + Volfoniq,Dockin' around the Christmas tree,Jubal,
36380:rhythm:1,Which clip is MORE similar to the query specifically in RHYTHM?,Aitken Basin,Damscray,Length and Brecht /Synaecide Remix/,Halogen,
36380:rhythm:2,Which clip is MORE similar to the query specifically in RHYTHM?,ICUu,Total Unicorn,Rock,Blank & Kytt,
36380:rhythm:3,Which clip is MORE similar to the query specifically in RHYTHM?,378,Catalyst Fantasy,Forever falling up,Fanas,
36380:rhythm:4,Which clip is MORE similar to the query specifically in RHYTHM?,Broken Homes (Broken Beats),C-Doc,Camuffarsi e Mantenere la Calma (Al Pianobar),Digi G'Alessio,
36380:rhythm:5,Which clip is MORE similar to the query specifically in RHYTHM?,Dockin' around the Christmas tree,Jubal,Western Firefight 2,Cullah,
36380:timbre:1,Which clip is MORE similar to the query specifically in TIMBRE?,"Fuck Yall, Im Goin Pop",BenJamin Banger,Length and Brecht /Synaecide Remix/,Halogen,
36380:timbre:2,Which clip is MORE similar to the query specifically in TIMBRE?,ICUu,Total Unicorn,FluffSkull (Tech Mix),S.J. Mellia,
36380:timbre:3,Which clip is MORE similar to the query specifically in TIMBRE?,Deuce,Indian Wells,Forever falling up,Fanas,
36380:timbre:4,Which clip is MORE similar to the query specifically in TIMBRE?,Strawberry Boogie,Dan Lizard,Broken Homes (Broken Beats),C-Doc,
36380:timbre:5,Which clip is MORE similar to the query specifically in TIMBRE?,P.Mantium,Lately Kind of Yeah,Dockin' around the Christmas tree,Jubal,
91621:melody:1,Which clip is MORE similar to the query specifically in MELODY?,Intro To Horror,Dylan Palme,Leafless Quince Tree,Rolemusic,
91621:melody:2,Which clip is MORE similar to the query specifically in MELODY?,Summer Wars (Azureflux Remix),Rhythmics & Cat Like Thief,Poppies,Rolemusic,
91621:melody:3,Which clip is MORE similar to the query specifically in MELODY?,ayVentura,Rolemusic,Fuego,Malportado Kids,
91621:melody:4,Which clip is MORE similar to the query specifically in MELODY?,Scape from the city,Rolemusic,(a) The Forest,Cooper-Moore,
91621:melody:5,Which clip is MORE similar to the query specifically in MELODY?,Bit Bossa,Azureflux,l3go,Rolemusic,
91621:rhythm:1,Which clip is MORE similar to the query specifically in RHYTHM?,Sons And Daughters,Bird of Youth,Leafless Quince Tree,Rolemusic,
91621:rhythm:2,Which clip is MORE similar to the query specifically in RHYTHM?,Tapes,Gumbel,Poppies,Rolemusic,
91621:rhythm:3,Which clip is MORE similar to the query specifically in RHYTHM?,The Staff,Multifaros,ayVentura,Rolemusic,
91621:rhythm:4,Which clip is MORE similar to the query specifically in RHYTHM?,Scape from the city,Rolemusic,Vull viure d'aventures,Terratombats,
91621:rhythm:5,Which clip is MORE similar to the query specifically in RHYTHM?,Poppies,Rolemusic,l3go,Rolemusic,
91621:timbre:1,Which clip is MORE similar to the query specifically in TIMBRE?,Leafless Quince Tree,Rolemusic,Donsi Killed la rioja star (Familiar live),Rolemusic,
91621:timbre:2,Which clip is MORE similar to the query specifically in TIMBRE?,Poppies,Rolemusic,high fidelity,File Under Toner,
91621:timbre:3,Which clip is MORE similar to the query specifically in TIMBRE?,la valse Ã  mille echos,File Under Toner,ayVentura,Rolemusic,
91621:timbre:4,Which clip is MORE similar to the query specifically in TIMBRE?,Scape from the city,Rolemusic,Poppies,Rolemusic,
91621:timbre:5,Which clip is MORE similar to the query specifically in TIMBRE?,l3go,Rolemusic,sardana,File Under Toner,
118921:melody:1,Which clip is MORE similar to the query specifically in MELODY?,Archival (Emergence),Satellite Ensemble,Third Breach,Pandacetamol,
118921:melody:2,Which clip is MORE similar to the query specifically in MELODY?,Villera Mistica,Chico Trujillo,Travelor _.sinh remix,Uncle Milk,
118921:melody:3,Which clip is MORE similar to the query specifically in MELODY?,We're the Resistors,Eric Skiff,Fidayda,"Turku, Nomads of the Silk Road",
118921:melody:4,Which clip is MORE similar to the query specifically in MELODY?,Happy Birthday,Wann,Flow Thru Another,Shy Kids,
118921:melody:5,Which clip is MORE similar to the query specifically in MELODY?,Dub step next left (feat Tom Wilkinson),Asthmatic Astronaut,Truth Is (Interlude),Garmisch,
118921:rhythm:1,Which clip is MORE similar to the query specifically in RHYTHM?,Mad Honey,DubRaJah,Third Breach,Pandacetamol,
