stable_track_id,spotify_track_id,expected_title,expected_artists,expected_album,expected_release_year,case_tags,case_rationale,query,candidate_1_url,candidate_1_video_id,candidate_1_title,candidate_1_description,candidate_2_url,candidate_2_video_id,candidate_2_title,candidate_2_description,candidate_3_url,candidate_3_video_id,candidate_3_title,candidate_3_description,candidate_4_url,candidate_4_video_id,candidate_4_title,candidate_4_description,candidate_5_url,candidate_5_video_id,candidate_5_title,candidate_5_description,review_label,optional_note
s5b1a_001,,Hello,Adele,25,2015,straightforward_major_hit | pop,Straightforward globally popular studio recording; establishes the easy-case baseline.,,,,,,,,,,,,,,,,,,,,,,,
s5b1a_002,,Toxic,Britney Spears,In the Zone,2003,older_popular_recording | ambiguous_title | pop,Older popular recording with many uploads and a short common title.,,,,,,,,,,,,,,,,,,,,,,,
s5b1a_003,,Crazy in Love,Beyoncé | JAY-Z,Dangerously in Love,2003,multiple_artists | pop | r_and_b,Major collaboration represented by multiple structured artists.,,,,,,,,,,,,,,,,,,,,,,,
s5b1a_004,,Low (feat. T-Pain),Flo Rida | T-Pain,Mail on Sunday,2007,featured_artist | feat_in_title | hip_hop,Featured artist appears as Spotify-style title noise as well as structured artist metadata.,,,,,,,,,,,,,,,,,,,,,,,
s5b1a_005,,Paper Planes,M.I.A.,Kala,2007,artist_symbols | punctuation | alternative,Artist punctuation and periods must survive deterministic query construction.,,,,,,,,,,,,,,,,,,,,,,,
s5b1a_006,,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Taylor Swift,Red (Taylor's Version),2021,parentheses | version_markers | long_title | pop,Long parenthetical title carries essential target-version evidence and must not be stripped.,,,,,,,,,,,,,,,,,,,,,,,
s5b1a_007,,Here Comes The Sun - 2019 Mix,The Beatles,Abbey Road (Super Deluxe Edition),2019,remastered_or_remixed_recording | older_composition | rock,The intended target is a specifically named later mix of an older composition.,,,,,,,,,,,,,,,,,,,,,,,
s5b1a_008,,Fuck You,CeeLo Green,The Lady Killer,2010,explicit_version | clean_counterpart | r_and_b,"Explicit title has a well-known clean-title counterpart, exposing version ambiguity.",,,,,,,,,,,,,,,,,,,,,,,
s5b1a_009,,Stay,Rihanna | Mikky Ekko,Unapologetic,2012,ambiguous_title | multiple_artists | pop,Common one-word title with many unrelated songs and covers.,,,,,,,,,,,,,,,,,,,,,,,
s5b1a_010,,One More Time,Daft Punk,Discovery,2001,electronic | many_remixes | older_popular_recording,Canonical popular electronic recording with many mixes and long-form uploads.,,,,,,,,,,,,,,,,,,,,,,,
s5b1a_011,,Lose Yourself,Eminem,8 Mile,2002,hip_hop | many_unofficial_uploads | version_ambiguity,"Popular hip-hop track with soundtrack, lyric, clean, explicit, and unofficial uploads.",,,,,,,,,,,,,,,,,,,,,,,
s5b1a_012,,Mr. Brightside,The Killers,Hot Fuss,2004,rock_alternative | many_covers | older_popular_recording,"Long-lived rock/alternative hit with covers, live versions, and remixes.",,,,,,,,,,,,,,,,,,,,,,,
s5b1a_013,,Thinkin Bout You,Frank Ocean,channel ORANGE,2012,r_and_b | many_unofficial_uploads,Popular R&B studio recording with frequent unofficial and lyric uploads.,,,,,,,,,,,,,,,,,,,,,,,
s5b1a_014,,Tití Me Preguntó,Bad Bunny,Un Verano Sin Ti,2022,latin | diacritics | global_crossover,Latin hit exercises non-ASCII title punctuation and language-independent URL discovery.,,,,,,,,,,,,,,,,,,,,,,,
s5b1a_015,,Tennessee Whiskey,Chris Stapleton,Traveller,2015,country | many_covers | ambiguous_title,Country recording with a common title and an unusually dense cover ecosystem.,,,,,,,,,,,,,,,,,,,,,,,
s5b1a_016,,Dynamite,BTS,BE,2020,k_pop | global_crossover | many_official_variants,"K-pop/global crossover with official video, choreography, performance, and lyric variants.",,,,,,,,,,,,,,,,,,,,,,,
s5b1a_017,,This Is America,Childish Gambino,,2018,official_video_differs | hip_hop | video_first_release,The famous official video is semantically important and differs from a plain audio presentation.,,,,,,,,,,,,,,,,,,,,,,,
s5b1a_018,,Somebody That I Used to Know,Gotye | Kimbra,Making Mirrors,2011,multiple_artists | many_covers | alternative_pop,"Multi-artist crossover hit with many covers, parodies, and lyric uploads.",,,,,,,,,,,,,,,,,,,,,,,
s5b1a_019,,Roses - Imanbek Remix,SAINt JHN | Imanbek,,2019,actual_remix | version_markers | electronic,The intended commercial target is explicitly a remix rather than the similarly named original.,,,,,,,,,,,,,,,,,,,,,,,
s5b1a_020,,Fix You - Live in Buenos Aires,Coldplay,Live in Buenos Aires,2018,actual_live_recording | version_markers | rock_alternative,"The intended target is an actual official live recording, reversing the usual live-version risk.",,,,,,,,,,,,,,,,,,,,,,,
s5b1a_021,,GANGNAM STYLE,PSY,"PSY 6 (Six Rules), Pt. 1",2012,global_crossover | k_pop | many_performance_variants,"Global crossover with capitalization, non-English context, and many dance/performance uploads.",,,,,,,,,,,,,,,,,,,,,,,
s5b1a_022,,"Sugar, We're Goin Down",Fall Out Boy,From Under the Cork Tree,2005,punctuation_heavy_title | rock_alternative,"Comma, apostrophe, and contraction punctuation stress exact deterministic quoting.",,,,,,,,,,,,,,,,,,,,,,,
s5b1a_023,,Telephone,Lady Gaga | Beyoncé,The Fame Monster,2009,official_video_duration_differs | multiple_artists | pop,The official music video is much longer than the studio track and competes with audio uploads.,,,,,,,,,,,,,,,,,,,,,,,
s5b1a_024,,HUMBLE.,Kendrick Lamar,DAMN.,2017,punctuation_heavy_title | explicit_version | hip_hop,All-caps title with terminal punctuation and explicit/clean variants.,,,,,,,,,,,,,,,,,,,,,,,
s5b1a_025,,Espresso,Sabrina Carpenter,Short n' Sweet,2024,straightforward_major_hit | recent_release | pop,Recent straightforward pop hit checks that the frozen set is not limited to legacy catalog behavior.,,,,,,,,,,,,,,,,,,,,,,,
