stable_track_id,spotify_track_id,expected_title,expected_artists,expected_album,expected_release_year,case_tags,case_rationale,query,candidate_1_url,candidate_1_video_id,candidate_1_title,candidate_1_uploader,candidate_1_channel,candidate_1_duration_seconds,candidate_1_availability,candidate_1_live_status,candidate_1_description,candidate_2_url,candidate_2_video_id,candidate_2_title,candidate_2_uploader,candidate_2_channel,candidate_2_duration_seconds,candidate_2_availability,candidate_2_live_status,candidate_2_description,candidate_3_url,candidate_3_video_id,candidate_3_title,candidate_3_uploader,candidate_3_channel,candidate_3_duration_seconds,candidate_3_availability,candidate_3_live_status,candidate_3_description,candidate_4_url,candidate_4_video_id,candidate_4_title,candidate_4_uploader,candidate_4_channel,candidate_4_duration_seconds,candidate_4_availability,candidate_4_live_status,candidate_4_description,candidate_5_url,candidate_5_video_id,candidate_5_title,candidate_5_uploader,candidate_5_channel,candidate_5_duration_seconds,candidate_5_availability,candidate_5_live_status,candidate_5_description,review_label,optional_note
s5b1a_001,,Hello,Adele,25,2015,straightforward_major_hit | pop,Straightforward globally popular studio recording; establishes the easy-case baseline.,"""Adele"" ""Hello"" official",https://www.youtube.com/watch?v=YQHsXMglC9A,YQHsXMglC9A,Adele - Hello (Official Music Video),Adele,Adele,367.0,,,"Listen to ""Easy On Me"" here: http://Adele.lnk.to/EOM Pre-order Adele's new album ""30"" before its release on November 19: ...",https://www.youtube.com/watch?v=8fIUkINS1uo,8fIUkINS1uo,Adele - Hello (Lyrics),Rare Vibes,Rare Vibes,290.0,,,Adele - Hello (Lyrics) Turn on notifications to stay updated with new uploads! Adele https://myspace.com/adelelondon​​ ...,https://www.youtube.com/watch?v=T1tl66trXTQ,T1tl66trXTQ,Adele - Hello,Adele - Topic,Adele - Topic,296.0,,,2015 XL Recordings Ltd Released on: 2015-11-20 #Adele #Adele25.,https://www.youtube.com/watch?v=DfG6VKnjrVw,DfG6VKnjrVw,Adele - Hello (Live at the NRJ Awards),Adele,Adele,308.0,,,"Listen to ""Easy On Me"" here: http://Adele.lnk.to/EOM Pre-order Adele's new album ""30"" before its release on November 19: ...",https://www.youtube.com/watch?v=zfEV8Z3tnkw,zfEV8Z3tnkw,Adele - Hello (Munich Messe),Adele in Munich,Adele in Munich,138.0,,,,,
s5b1a_002,,Toxic,Britney Spears,In the Zone,2003,older_popular_recording | ambiguous_title | pop,Older popular recording with many uploads and a short common title.,"""Britney Spears"" ""Toxic"" official",https://www.youtube.com/watch?v=LOZuxwVk7TU,LOZuxwVk7TU,Britney Spears - Toxic (Official HD Video),Britney Spears,Britney Spears,212.0,,,"Official HD Video ""Toxic"" by Britney Spears Listen to Britney Spears: https://BritneySpears.lnk.to/listenYD Subscribe to the official ...",https://www.youtube.com/watch?v=83AOwdfH1Z0,83AOwdfH1Z0,Britney Spears - Toxic (Lyrics),7clouds Rock,7clouds Rock,199.0,,,Follow the official 7clouds playlist on Spotify : http://spoti.fi/2SJsUcZ ​   Britney Spears - Toxic (Lyrics) ⏬ Download / Stream: ...,https://www.youtube.com/watch?v=7l1A2gShWZo,7l1A2gShWZo,Toxic,Britney Spears,Britney Spears,200.0,,,"Provided to YouTube by Jive Toxic · Britney Spears The Singles Collection ℗ 2009 RCA Records, a division of Sony Music ...",https://www.youtube.com/watch?v=ayRjsdlpc00,ayRjsdlpc00,"Britney Spears - Toxic (Live from Apple Music Festival, London, 2016)",Britney Spears,Britney Spears,240.0,,,"""Toxic"" Live from Apple Music Festival, London, 2016 by Britney Spears Listen to Britney Spears: ...",https://www.youtube.com/watch?v=l1PPAONAVxI,l1PPAONAVxI,Britney Spears - Toxic Lyrics,MONKEY MUSIC,MONKEY MUSIC,200.0,,,toxic #britneyspears#toxiclyrics #monkeymusic #itslyrics #lyrics #poplyrics THANKS FOR WATCHING PLS SUBSCRIBE TO ...,,
s5b1a_003,,Crazy in Love,Beyoncé | JAY-Z,Dangerously in Love,2003,multiple_artists | pop | r_and_b,Major collaboration represented by multiple structured artists.,"""Beyoncé"" ""Crazy in Love"" official",https://www.youtube.com/watch?v=ViwtNLUqkMY,ViwtNLUqkMY,Beyoncé - Crazy In Love ft. JAY Z,Beyoncé,Beyoncé,237.0,,,Beyoncé's official video for 'Crazy In Love'. Click to listen to Beyoncé on Spotify: http://smarturl.it/BeyonceSpot?IQid=BeyCIL As ...,https://www.youtube.com/watch?v=Fza-mF31CuQ,Fza-mF31CuQ,Crazy In Love - Beyonce (Feat. Jay Z) (Lyrics) 🎵,Pillow,Pillow,255.0,,,"Lyrics: ""Crazy In Love"" https://pillowlyrics.com/crazy-in-love-beyonce-feat-jay-z/ Crazy In Love - Beyonce (Feat. Jay Z) (Lyrics) ...",https://www.youtube.com/watch?v=JCddJ4msdb4,JCddJ4msdb4,Beyoncé - Crazy In Love (Glastonbury 2011),BBC Music,BBC Music,332.0,,,Beyoncé performs Crazy In Love at Glastonbury 2011. Watch Beyoncé live on BBC iPlayer at 10.00pm on Friday 26 June: ...,https://www.youtube.com/watch?v=KKGiyBizfWQ,KKGiyBizfWQ,Beyoncé - Crazy In Love (I Am… World Tour),Beyoncé LIVE,Beyoncé LIVE,392.0,,,"Watch more clips from Beyoncé's ""I Am... World Tour"": ...",https://www.youtube.com/watch?v=7BFNKis_c2w,7BFNKis_c2w,Crazy In Love (Live),Beyoncé,Beyoncé,324.0,,,Provided to YouTube by Music World Music/Columbia Crazy In Love (Live) · Beyoncé I Am...World Tour ℗ 2010 Sony Music ...,,
s5b1a_004,,Low (feat. T-Pain),Flo Rida | T-Pain,Mail on Sunday,2007,featured_artist | feat_in_title | hip_hop,Featured artist appears as Spotify-style title noise as well as structured artist metadata.,"""Flo Rida"" ""Low"" official",https://www.youtube.com/watch?v=U2waT9TxPU0,U2waT9TxPU0,Flo Rida - Low (feat. T-Pain) [Official Video],Flo Rida,Flo Rida,231.0,,,"The official video for ""Low"" by Flo Rida featuring T-Pain from 'Step Up 2 The Streets O.S.T. / Mail On Sunday'. Follow Flo Rida ...",https://www.youtube.com/watch?v=5pWrHIH_LfM,5pWrHIH_LfM,Flo Rida - Low (feat. T-Pain),Flo Rida,Flo Rida,230.0,,,_*Flo Rida - Low (feat. T-Pain) from Mail on Sunday (2008)*_ Subscribe for more official content from Flo Rida: ...,https://www.youtube.com/watch?v=CxPc1Q3-0zc,CxPc1Q3-0zc,Flo Rida feat. T-Pain - Low | Lyrics,Dark City Sounds,Dark City Sounds,230.0,,,Subscribe & Watch Today's Best Lyric Videos Daily On Dark City Sounds! Listen To Hot Trending Playlists: ...,https://www.youtube.com/watch?v=arriq6EBADo,arriq6EBADo,Flo Rida - Low,Kang Music,Kang Music,240.0,,,Jangan Lupa Like Dan Subscribe Bantu Support Channel ini Sampai 1k.,https://www.youtube.com/watch?v=55VKFcKuhQo,55VKFcKuhQo,Flo Rida - Low (feat. T-Pain) | Lyrics,Dark City Sounds,Dark City Sounds,232.0,,,Subscribe & Watch Today's Best Lyric Videos Daily On Dark City Sounds!,,
s5b1a_005,,Paper Planes,M.I.A.,Kala,2007,artist_symbols | punctuation | alternative,Artist punctuation and periods must survive deterministic query construction.,"""M.I.A."" ""Paper Planes"" official",https://www.youtube.com/watch?v=ewRjZoRtu0Y,ewRjZoRtu0Y,M.I.A. - Paper Planes,M.I.A.,M.I.A.,205.0,,,Subscribe: https://MIA.lnk.to/Subscribe Watch more: https://MIA.lnk.to/WatchMore Connect with M.I.A. Online: Follow M.I.A. on ...,https://www.youtube.com/watch?v=qeSLRXm4TSc,qeSLRXm4TSc,M.I.A. – Paper Planes (Lyrics),Latin City,Latin City,206.0,,,"M.I.A. – Paper Planes Stream / Download ""Paper Planes"": ➥ Follow M.I.A https://www.instagram.com/miamatangi MIA - Paper ...",https://www.youtube.com/watch?v=B__XOOM7Vsw,B__XOOM7Vsw,M I A Paper Planes Official Music Video,jaywaynemiati,jaywaynemiati,301.0,,,,https://www.youtube.com/watch?v=sMM0_-ZsJGQ,sMM0_-ZsJGQ,M.I.A. - Paper Planes (DFA Remix) (Audio) [OUTER BANKS - 2X04 - SOUNDTRACK],TV Series & Movie Soundtrack,TV Series & Movie Soundtrack,349.0,,,"OUTER BANKS - SEASON 2 / EPISODE 4 - OST NETFLIX S02E04 - ""Homecoming"" - Scene: Teenagers party in a hot tub.",https://www.youtube.com/watch?v=s9M2JQTDjiA,s9M2JQTDjiA,M.I.A. - Paper Planes,Zdenko Ťažký,Zdenko Ťažký,205.0,,,Artist: M.I.A. Album: Kala Year: 2007.,,
s5b1a_006,,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Taylor Swift,Red (Taylor's Version),2021,parentheses | version_markers | long_title | pop,Long parenthetical title carries essential target-version evidence and must not be stripped.,"""Taylor Swift"" ""All Too Well (10 Minute Version) (Taylor's Version) (From The Vault)"" official",https://www.youtube.com/watch?v=BZ-rLBkUZf4,BZ-rLBkUZf4,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault) (Lyric Video),Taylor Swift,Taylor Swift,613.0,,,Listen to the Red (Taylor's Version) album here: https://taylor.lnk.to/redtaylorsversion ▻Subscribe to Taylor Swift on YouTube: ...,https://www.youtube.com/watch?v=aPnqx56V8-0,aPnqx56V8-0,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Taylor Swift,Taylor Swift,613.0,,,Provided to YouTube by Universal Music Group All Too Well (10 Minute Version) (Taylor's Version) (From The Vault) · Taylor Swift ...,https://www.youtube.com/watch?v=sRxrwjOtIag,sRxrwjOtIag,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault) (Lyric Video),Taylor Swift,Taylor Swift,613.0,,,Listen to Red (Taylor's Version) album here: https://taylor.lnk.to/redtaylorsversion ▻Subscribe to Taylor Swift on YouTube: ...,https://www.youtube.com/watch?v=tollGa3S0o8,tollGa3S0o8,Taylor Swift - All Too Well: The Short Film,Taylor Swift,Taylor Swift,896.0,,,"Written & Directed by: Taylor Swift Starring: Sadie Sink, Dylan O'Brien & Taylor Swift Red (Taylor's Version) available everywhere ...",https://www.youtube.com/watch?v=nJr_8l0AEWE,nJr_8l0AEWE,Taylor Swift - All Too Well (10 Minute Version) (Live on Saturday Night Live),Taylor Swift,Taylor Swift,608.0,,,Red (Taylor's Version) available everywhere now: https://taylor.lnk.to/redtaylorsversion 🕰️ Pre-order the new album Midnights ...,,
s5b1a_007,,Here Comes The Sun - 2019 Mix,The Beatles,Abbey Road (Super Deluxe Edition),2019,remastered_or_remixed_recording | older_composition | rock,The intended target is a specifically named later mix of an older composition.,"""The Beatles"" ""Here Comes The Sun - 2019 Mix"" official",https://www.youtube.com/watch?v=KQetemT1sWc,KQetemT1sWc,The Beatles - The Beatles - Here Comes The Sun (Official Music Video) [2019 Mix],The Beatles,The Beatles,192.0,,,The Beatles performing “Here Comes The Sun.” Anthology Collection CD & vinyl box sets out now: ...,https://www.youtube.com/watch?v=GKdl-GCsNJ0,GKdl-GCsNJ0,Here Comes The Sun (2019 Mix),The Beatles,The Beatles,186.0,,,Provided to YouTube by Universal Music Group Here Comes The Sun (2019 Mix) · The Beatles Abbey Road ℗ 2019 Calderstone ...,https://www.youtube.com/watch?v=K4TX_NYPJ7g,K4TX_NYPJ7g,Here Comes the Sun -Abbey Road,TheBeatlesOnDemand,TheBeatlesOnDemand,190.0,,,"LYRICS: Here comes the sun, do do do do Here comes the sun, and I say It's all right Little darling It's been a long cold lonely ...",https://www.youtube.com/watch?v=tDEzmaZHuS0,tDEzmaZHuS0,The Beatles - Here Comes The Sun (Remastered 2009),Galactocerebrósido,Galactocerebrósido,190.0,,,,https://www.youtube.com/watch?v=wt7Wk8lZtM8,wt7Wk8lZtM8,"THE BEATLES - ""HERE COMES THE SUN"" (2019 MIX) - FAN VIDEO (HD)",Tony Smith,Tony Smith,193.0,,,"Tony Smith's video of The Beatles' ""Here Comes The Sun"" (2019 Mix). I do not own the rights to this fabulous music. For Beatles ...",,
s5b1a_008,,Fuck You,CeeLo Green,The Lady Killer,2010,explicit_version | clean_counterpart | r_and_b,"Explicit title has a well-known clean-title counterpart, exposing version ambiguity.","""CeeLo Green"" ""Fuck You"" official",https://www.youtube.com/watch?v=pc0mxOXbWIU,pc0mxOXbWIU,CeeLo Green - FUCK YOU (Official Video),CeeLo Green,CeeLo Green,234.0,,,"Watch the video for Cee Lo Green's massive single 'Fuck You!', the first single from the brand new album The Lady Killer New ...",https://www.youtube.com/watch?v=CAV0XrbEwNc,CAV0XrbEwNc,Cee Lo Green - FUCK YOU,CeeLo Green,CeeLo Green,226.0,,,"You can now watch the new, official video for ""FUCK YOU"" on Cee Lo's Youtube channel: ...",https://www.youtube.com/watch?v=WcU544XGyS4,WcU544XGyS4,Fuck You,CeeLo Green,CeeLo Green,223.0,,,Provided to YouTube by Radiculture/Elektra Fuck You · CeeLo Green The Lady Killer ℗ 2010 Elektra Entertainment for the United ...,https://www.youtube.com/watch?v=94o6uIR31hk,94o6uIR31hk,CeeLo Green - F*** You (Later Archive),BBC Music,BBC Music,237.0,,,CeeLo Green performs F*** You Later... with Jools Holland. Watch more on iPlayer: bbc.co.uk/iplayer.,https://www.youtube.com/watch?v=PmDw7BRE_VY,PmDw7BRE_VY,Daryl Hall & CeeLo Green - F*ck You (Live From Daryl's House),Daryl Hall,Daryl Hall,268.0,,,CeeLo Green joins Daryl Hall on Live From Daryl's House. Full episode: ...,,
s5b1a_009,,Stay,Rihanna | Mikky Ekko,Unapologetic,2012,ambiguous_title | multiple_artists | pop,Common one-word title with many unrelated songs and covers.,"""Rihanna"" ""Stay"" official",https://www.youtube.com/watch?v=JF8BRvqGCNs,JF8BRvqGCNs,Rihanna - Stay ft. Mikky Ekko,Rihanna,Rihanna,248.0,,,Get Rihanna's eighth studio album ANTI now: Download on TIDAL: http://smarturl.it/downloadANTI Stream on TIDAL: ...,https://www.youtube.com/watch?v=_bXqoIzH0N8,_bXqoIzH0N8,Rihanna - Stay (Lyrics) ft. Mikky Ekko,Unique Sound,Unique Sound,238.0,,,Subscribe and press (  ) to join the Notification Squad and stay updated with new uploads Follow Rihanna: ...,https://www.youtube.com/watch?v=C-dW7z0QBNg,C-dW7z0QBNg,Rihanna - Stay (Live on SNL) ft. Mikky Ekko,Rihanna,Rihanna,258.0,,,Get Rihanna's eighth studio album ANTI now: Download on TIDAL: http://smarturl.it/downloadANTI Stream on TIDAL: ...,https://www.youtube.com/watch?v=t36drwr3Gbs,t36drwr3Gbs,Rihanna Feat  Mikky Ekko   Stay Orginal Video,ElektroRemixDJs,ElektroRemixDJs,261.0,,,"All along it was a fever A cold with high-headed believers I threw my hands in the air I said show me something He said, if you ...",https://www.youtube.com/watch?v=fE-L6XcEXMg,fE-L6XcEXMg,Rihanna - Stay Live at The Concert For Valor 2014,Diana Martins,Diana Martins,270.0,,,,,
s5b1a_010,,One More Time,Daft Punk,Discovery,2001,electronic | many_remixes | older_popular_recording,Canonical popular electronic recording with many mixes and long-form uploads.,"""Daft Punk"" ""One More Time"" official",https://www.youtube.com/watch?v=FGBhQbmPwH8,FGBhQbmPwH8,Daft Punk - One More Time (Official Video),Daft Punk,Daft Punk,322.0,,,"Listen, order & watch now: https://bio.to/daftpunk Official Music Video for “One More Time”, taken from “Discovery” available on all ...",https://www.youtube.com/watch?v=A2VpR8HahKc,A2VpR8HahKc,Daft Punk - One More Time (Official Audio),Daft Punk,Daft Punk,321.0,,,"Listen, order & watch now: https://bio.to/daftpunk ""One More Time"" is taken from “Discovery” available on all platforms: ...",https://www.youtube.com/watch?v=fa5IWHDbftI,fa5IWHDbftI,One More Time,Daft Punk,Daft Punk,321.0,,,Provided to YouTube by Daft Life Ltd./ADA France One More Time · Daft Punk Discovery ℗ 2001 Daft Life Limited Drum Machine ...,https://www.youtube.com/watch?v=QxaaUVsbhrU,QxaaUVsbhrU,Daft Punk   One More Time 4K Remastered 60fps,Matt Page,Matt Page,324.0,,,,https://www.youtube.com/watch?v=hVrVPBLqGfQ,hVrVPBLqGfQ,Daft Punk - One More Time (Lyrics),PitchPerfect Channel,PitchPerfect Channel,282.0,,,Daft Punk - One More Time (Lyrics),,
