review_schema_version,stable_track_id,expected_title,expected_artists,expected_album,expected_duration_seconds,expected_release_year,case_tags,case_rationale,query,candidate_rank,candidate_video_id,candidate_url,candidate_title,candidate_uploader,candidate_channel,candidate_duration_seconds,candidate_view_count,source_type,title_similarity,version_relationships,recording_eligible_feature,ineligible_feature_reasons,candidate_review_label,candidate_note,track_note
stage5b1b-heldout-review-v1,s5b1b_001,Blinding Lights,The Weeknd,After Hours,200.04,2019,straightforward_studio | major_hit,Easy studio baseline against which the intentionally difficult cases can be interpreted.,"""The Weeknd"" ""Blinding Lights"" official",1,4NRXx6U8ABQ,https://www.youtube.com/watch?v=4NRXx6U8ABQ,The Weeknd - Blinding Lights (Official Video),The Weeknd,The Weeknd,263.0,1059319108,OFFICIAL_MUSIC_VIDEO,1.000000,,true,,,,
stage5b1b-heldout-review-v1,s5b1b_001,Blinding Lights,The Weeknd,After Hours,200.04,2019,straightforward_studio | major_hit,Easy studio baseline against which the intentionally difficult cases can be interpreted.,"""The Weeknd"" ""Blinding Lights"" official",2,fHI8X4OXluQ,https://www.youtube.com/watch?v=fHI8X4OXluQ,The Weeknd - Blinding Lights (Official Audio),The Weeknd,The Weeknd,204.0,877613731,OFFICIAL_AUDIO,1.000000,,true,,,,
stage5b1b-heldout-review-v1,s5b1b_001,Blinding Lights,The Weeknd,After Hours,200.04,2019,straightforward_studio | major_hit,Easy studio baseline against which the intentionally difficult cases can be interpreted.,"""The Weeknd"" ""Blinding Lights"" official",3,XwxLwG2_Sxk,https://www.youtube.com/watch?v=XwxLwG2_Sxk,The Weeknd - Blinding Lights (Lyrics),7clouds,7clouds,200.0,156817898,LYRIC_VIDEO,1.000000,,true,,,,
stage5b1b-heldout-review-v1,s5b1b_001,Blinding Lights,The Weeknd,After Hours,200.04,2019,straightforward_studio | major_hit,Easy studio baseline against which the intentionally difficult cases can be interpreted.,"""The Weeknd"" ""Blinding Lights"" official",4,ewfdRy5jfF8,https://www.youtube.com/watch?v=ewfdRy5jfF8,The Weeknd - Blinding Lights (Live On The 2020 MTV VMAs),The Weeknd,The Weeknd,199.0,50344267,OTHER,1.000000,live=CONFLICT,false,"explicit version conflict: live: target=none, candidate=On The 2020 MTV VMAs",,,
stage5b1b-heldout-review-v1,s5b1b_001,Blinding Lights,The Weeknd,After Hours,200.04,2019,straightforward_studio | major_hit,Easy studio baseline against which the intentionally difficult cases can be interpreted.,"""The Weeknd"" ""Blinding Lights"" official",5,o6ytLPKscrU,https://www.youtube.com/watch?v=o6ytLPKscrU,The Weeknd - Blinding Lights (Official Lyric Video),The Weeknd,The Weeknd,204.0,12654734,LYRIC_VIDEO,1.000000,,true,,,,
stage5b1b-heldout-review-v1,s5b1b_002,Save Your Tears (Remix),The Weeknd | Ariana Grande,Save Your Tears (Remix),191.013,2021,remix | multiple_artists,Commercial remix whose generic Remix marker and guest vocalist must not collapse to the original.,"""The Weeknd"" ""Save Your Tears (Remix)"" official",1,LIIDh-qI9oI,https://www.youtube.com/watch?v=LIIDh-qI9oI,The Weeknd & Ariana Grande - Save Your Tears (Remix) (Official Video),The Weeknd,The Weeknd,206.0,379316352,OFFICIAL_MUSIC_VIDEO,1.000000,remix=MATCH,true,,,,
stage5b1b-heldout-review-v1,s5b1b_002,Save Your Tears (Remix),The Weeknd | Ariana Grande,Save Your Tears (Remix),191.013,2021,remix | multiple_artists,Commercial remix whose generic Remix marker and guest vocalist must not collapse to the original.,"""The Weeknd"" ""Save Your Tears (Remix)"" official",2,AGbauxS14yI,https://www.youtube.com/watch?v=AGbauxS14yI,The Weeknd - Save Your Tears (Extended Remix ft. Ariana Grande),LenFreak,LenFreak,289.0,540569,OTHER,1.000000,extended=CONFLICT; remix=MATCH,false,"explicit version conflict: extended: target=none, candidate=extended",,,
stage5b1b-heldout-review-v1,s5b1b_002,Save Your Tears (Remix),The Weeknd | Ariana Grande,Save Your Tears (Remix),191.013,2021,remix | multiple_artists,Commercial remix whose generic Remix marker and guest vocalist must not collapse to the original.,"""The Weeknd"" ""Save Your Tears (Remix)"" official",3,gXXySBAyZVo,https://www.youtube.com/watch?v=gXXySBAyZVo,The Weeknd & Ariana Grande - Save Your Tears (Remix) (Lyrics),SyrebralVibes,SyrebralVibes,192.0,22916276,LYRIC_VIDEO,1.000000,remix=MATCH,true,,,,
stage5b1b-heldout-review-v1,s5b1b_002,Save Your Tears (Remix),The Weeknd | Ariana Grande,Save Your Tears (Remix),191.013,2021,remix | multiple_artists,Commercial remix whose generic Remix marker and guest vocalist must not collapse to the original.,"""The Weeknd"" ""Save Your Tears (Remix)"" official",4,XXYlFuWEuKI,https://www.youtube.com/watch?v=XXYlFuWEuKI,The Weeknd - Save Your Tears (Official Music Video),The Weeknd,The Weeknd,249.0,2221779981,OFFICIAL_MUSIC_VIDEO,1.000000,remix=ABSENT,true,,,,
stage5b1b-heldout-review-v1,s5b1b_002,Save Your Tears (Remix),The Weeknd | Ariana Grande,Save Your Tears (Remix),191.013,2021,remix | multiple_artists,Commercial remix whose generic Remix marker and guest vocalist must not collapse to the original.,"""The Weeknd"" ""Save Your Tears (Remix)"" official",5,DPKT4P5UyKI,https://www.youtube.com/watch?v=DPKT4P5UyKI,"The Weeknd, Ariana Grande, Dua Lipa - Save Your Tears (Mashup)",Ben Vertz,Ben Vertz,215.0,38926052,OTHER,1.000000,remix=ABSENT,true,,,,
