review_schema_version,stable_track_id,expected_title,expected_artists,expected_album,expected_duration_seconds,expected_release_year,candidate_video_id,candidate_url,candidate_title,candidate_uploader,candidate_channel,candidate_duration_seconds,candidate_view_count,candidate_description,candidate_review_label,candidate_note,track_note
stage5b1b-fresh-challenge-human-review-v1,s5b1c_001,Flowers,Miley Cyrus,Endless Summer Vacation,200.6,2023,G7KNmW9a75Y,https://www.youtube.com/watch?v=G7KNmW9a75Y,Miley Cyrus - Flowers (Official Video),Miley Cyrus,Miley Cyrus,202.0,1265720069,Official Video for “Flowers” by Miley Cyrus Listen to & Download “Flowers” out now: https://mileycyrus.lnk.to/Flowers Pre-Order ...,,,
stage5b1b-fresh-challenge-human-review-v1,s5b1c_001,Flowers,Miley Cyrus,Endless Summer Vacation,200.6,2023,7V3jqsIe8c0,https://www.youtube.com/watch?v=7V3jqsIe8c0,Miley Cyrus - Flowers (Official Lyric Video),MILEY,MILEY,201.0,6621932,Official Lyric Video for “Flowers” by Miley Cyrus Listen to & Download “Endless Summer Vacation” out now: ...,,,
stage5b1b-fresh-challenge-human-review-v1,s5b1c_002,As It Was,Harry Styles,Harry's House,167.303,2022,H5v3kku4y6Q,https://www.youtube.com/watch?v=H5v3kku4y6Q,Harry Styles - As It Was (Official Video),Harry Styles,Harry Styles,166.0,994020552,"Official Video for ""As It Was"" by Harry Styles. Harry's new album ""Harry's House"" out now. Listen here: ...",,,
stage5b1b-fresh-challenge-human-review-v1,s5b1c_002,As It Was,Harry Styles,Harry's House,167.303,2022,V1Z586zoeeE,https://www.youtube.com/watch?v=V1Z586zoeeE,Harry Styles - As It Was (Audio),Harry Styles,Harry Styles,166.0,4529797,"Official Audio for ""As It Was"" by Harry Styles. Harry's new album ""Harry's House"" out now. Listen here: ...",,,
stage5b1b-fresh-challenge-human-review-v1,s5b1c_002,As It Was,Harry Styles,Harry's House,167.303,2022,CjIUVRei27g,https://www.youtube.com/watch?v=CjIUVRei27g,Harry Styles - As It Was (Official Audio),Tune Discovery,Tune Discovery,166.0,1670084,"Track 4 from the Album ""Harry's House"" by Harry Styles • Explore New Music. (Audio/Video/Karoake/Covers) Subscribe To Stay ...",,,
stage5b1b-fresh-challenge-human-review-v1,s5b1c_003,Heat Waves,Glass Animals,Dreamland,238.805,2020,KT7F15T9VBI,https://www.youtube.com/watch?v=KT7F15T9VBI,Glass Animals - Heat Waves (Lyrics),Glass Animals,Glass Animals,239.0,145314465,Get the latest news from Glass Animals:https://glassanimals.lnk.to/bio Instagram: https://www.instagram.com/glassanimals Twitter: ...,,,
stage5b1b-fresh-challenge-human-review-v1,s5b1c_004,Kill Bill,SZA,SOS,153.947,2022,SQnc1QibapQ,https://www.youtube.com/watch?v=SQnc1QibapQ,SZA - Kill Bill (Official Audio),SZA,SZA,156.0,169390333,SZA's New Album “SOS” // Available Everywhere Now! Listen Here // https://sza.lnk.to/SOS Follow SZA: https://szasos.com ...,,,
stage5b1b-fresh-challenge-human-review-v1,s5b1c_004,Kill Bill,SZA,SOS,153.947,2022,sk6rMb8OsQY,https://www.youtube.com/watch?v=sk6rMb8OsQY,SZA - Kill Bill (Lyrics),7clouds,7clouds,155.0,20976082,Follow the official 7clouds playlist on Spotify : http://spoti.fi/2SJsUcZ ​   SZA - Kill Bill (Lyrics) ⏬ Download / Stream: ...,,,
stage5b1b-fresh-challenge-human-review-v1,s5b1c_005,Stick Season,Noah Kahan,Stick Season,182.347,2022,iWG6apzIWAk,https://www.youtube.com/watch?v=iWG6apzIWAk,Noah Kahan - Stick Season (Lyric Video),Noah Kahan,Noah Kahan,183.0,51027165,Follow Noah Kahan: Linktree: https://linktr.ee/noahkahanmusic Instagram: http://instagram.com/noahkahanmusic Facebook: ...,,,
stage5b1b-fresh-challenge-human-review-v1,s5b1c_006,"Good Luck, Babe!",Chappell Roan,"Good Luck, Babe!",218.424,2024,1RKqOmSkGgM,https://www.youtube.com/watch?v=1RKqOmSkGgM,"Chappell Roan - Good Luck, Babe! (Official Lyric Video)",Chappell Roan,Chappell Roan,219.0,155394443,"Stream to “Good Luck, Babe!” now: https://ChappellRoan.lnk.to/GoodLuckBabeSingle Listen to ""The Rise and Fall of a Midwest ...",,,
stage5b1b-fresh-challenge-human-review-v1,s5b1c_007,Beautiful Things,Benson Boone,Fireworks & Rollerblades,180.304,2024,HU08BcK5SUY,https://www.youtube.com/watch?v=HU08BcK5SUY,Benson Boone - Beautiful Things (Official Lyric Video),Benson Boone,Benson Boone,181.0,18792205,Benson Boone - Beautiful Things (Official Music Video) 'American Heart' the second album from Benson Boone – out now: ...,,,
stage5b1b-fresh-challenge-human-review-v1,s5b1c_008,Empire State Of Mind,JAY-Z | Alicia Keys,The Blueprint 3,276.92,2009,183mZ-wj7eA,https://www.youtube.com/watch?v=183mZ-wj7eA,Empire State Of Mind,JAŸ-Z,JAŸ-Z,277.0,1614768,Provided to YouTube by Universal Music Group Empire State Of Mind · JAŸ-Z · Alicia Keys The Blueprint 3 ℗ 2009 S. Carter ...,,,
stage5b1b-fresh-challenge-human-review-v1,s5b1c_009,INDUSTRY BABY (feat. Jack Harlow),Lil Nas X | Jack Harlow,MONTERO,212.353,2021,HCq1OcAEAm0,https://www.youtube.com/watch?v=HCq1OcAEAm0,Lil Nas X - Industry Baby (Lyrics) ft. Jack Harlow,The Vibe Guide,The Vibe Guide,213.0,356967836,Lil Nas X - Industry Baby (Lyrics) ft. Jack Harlow Lil Nas X - Industry Baby ft. Jack Harlow Lil Nas X - Industry Baby ✖ Stream ...,,,
stage5b1b-fresh-challenge-human-review-v1,s5b1c_010,Calm Down (with Selena Gomez),Rema | Selena Gomez,Rave & Roses Ultra,239.318,2022,LPgN4EfzUrU,https://www.youtube.com/watch?v=LPgN4EfzUrU,Rema & Selena Gomez - Calm Down (Official Lyric Video),Rema,Rema,240.0,31261288,Listen to Rema - Calm Down (with Selena Gomez) https://rema.lnk.to/CalmDownwithSelenaGomezID Stream/Download: RAVE ...,,,
