review_schema_version,stable_track_id,expected_title,expected_artists,expected_album,expected_duration_seconds,expected_release_year,candidate_video_id,candidate_url,candidate_title,candidate_uploader,candidate_channel,candidate_duration_seconds,candidate_view_count,candidate_description,candidate_review_label,candidate_note,track_note
stage5b1b-fresh-challenge-human-review-v1,s5b1c_015,ANTIFRAGILE,LE SSERAFIM,ANTIFRAGILE,184.444,2022,ZNEuWldWPD4,https://www.youtube.com/watch?v=ZNEuWldWPD4,LE SSERAFIM 'ANTIFRAGILE' Lyrics (레세라핌 ANTIFRAGILE 가사) (Color Coded Lyrics),Jaeguchi,Jaeguchi,185.0,23719512,All Rights Administered by Source Music • Artist: Le Sserafim (르세라핌) • Song ♫: ANTIFRAGILE • Album: ANTIFRAGILE ...,ACCEPTABLE,,
stage5b1b-fresh-challenge-human-review-v1,s5b1c_016,Supernova,aespa,Armageddon,178.88,2024,WXx5-HGERcg,https://www.youtube.com/watch?v=WXx5-HGERcg,aespa 'Supernova' Lyrics (에스파 Supernova 가사) (Color Coded Lyrics),Jaeguchi,Jaeguchi,179.0,13370875,All Rights Administered by SM Entertainment • Artist: aespa (에스파) • Song ♫: Supernova • Album: 1st Full Album [Armageddon] ...,ACCEPTABLE,,
stage5b1b-fresh-challenge-human-review-v1,s5b1c_017,Cupid - Twin Ver.,FIFTY FIFTY,The Beginning: Cupid,174.253,2023,62TrmUvQGjo,https://www.youtube.com/watch?v=62TrmUvQGjo,FIFTY FIFTY - Cupid (Twin Version) (Lyrics),Creative Chaos and Mellifluous,Creative Chaos and Mellifluous,176.0,59943715,Best TikTok Viral Music: https://youtube.com/playlist?list=PLBbWAaEu3aidb5XY-CVhuOVK-53HyNPlV Viral Phonk Music: ...,ACCEPTABLE,,
stage5b1b-fresh-challenge-human-review-v1,s5b1c_020,You & Me - Flume Remix,Disclosure | Eliza Doolittle | Flume,Settle (The Remixes),282.013,2013,OUkkaqSNduU,https://www.youtube.com/watch?v=OUkkaqSNduU,Disclosure - You & Me (Flume Remix),Flume,Flume,281.0,110935985,Disclosure - You & Me (Flume Remix) New Flume apparel out now: http://flu.me/Store Subscribe to the Flume YouTube channel ...,IDEAL,,
stage5b1b-fresh-challenge-human-review-v1,s5b1c_022,I Follow Rivers - The Magician Remix,Lykke Li | The Magician,I Follow Rivers (The Magician Remix),280.0,2011,oS6wfWu0JvA,https://www.youtube.com/watch?v=oS6wfWu0JvA,Lykke Li - I Follow Rivers (The Magician Remix),Lykke Li,Lykke Li,284.0,80796914,THE AFTERPARTY OUT MAY 8TH: https://futures.ffm.to/theafterparty © 2011 WMG 'I Follow Rivers' is the second single from ...,IDEAL,,
stage5b1b-fresh-challenge-human-review-v1,s5b1c_025,Something Just Like This - Alesso Remix,The Chainsmokers | Coldplay | Alesso,Something Just Like This (Remix Pack),252.0,2017,9gnyYxEWgi4,https://www.youtube.com/watch?v=9gnyYxEWgi4,The Chainsmokers & Coldplay - Something Just Like This (Alesso Remix) (Audio),EDM,EDM,253.0,5095,"The Official Alesso's Remix of Something Just Like This, played in Ultra Music Festival 2017.",ACCEPTABLE,,
stage5b1b-fresh-challenge-human-review-v1,s5b1c_026,"Free Fallin' - Live at the Nokia Theatre, Los Angeles, CA - December 2007",John Mayer,Where the Light Is: John Mayer Live in Los Angeles,264.267,2008,sKzoEwQaF7Y,https://www.youtube.com/watch?v=sKzoEwQaF7Y,"Free Fallin' (Live at the Nokia Theatre, Los Angeles, CA - December 2007)",John Mayer,John Mayer,264.0,14224453,"Provided to YouTube by Columbia Free Fallin' (Live at the Nokia Theatre, Los Angeles, CA - December 2007) · John Mayer ...",IDEAL,,
stage5b1b-fresh-challenge-human-review-v1,s5b1c_027,"Slow Dancing in a Burning Room - Live at the Nokia Theatre, Los Angeles, CA - December 2007",John Mayer,Where the Light Is: John Mayer Live in Los Angeles,319.147,2008,aEi646akxko,https://www.youtube.com/watch?v=aEi646akxko,"Slow Dancing in a Burning Room (Live at the Nokia Theatre, Los Angeles, CA - December 2007)",John Mayer,John Mayer,320.0,7443090,"Provided to YouTube by Columbia Slow Dancing in a Burning Room (Live at the Nokia Theatre, Los Angeles, CA - December ...",IDEAL,,
stage5b1b-fresh-challenge-human-review-v1,s5b1c_028,"Hotel California - Live on MTV, 1994",Eagles,Hell Freezes Over,432.0,1994,k4HWjQNN1K8,https://www.youtube.com/watch?v=k4HWjQNN1K8,Eagles - Hotel California (Live on MTV 1994),pianto,pianto,435.0,25913,"네트웍플레이어 : Aurender n100h DAC : Mytek Brooklyn DAC+ Amp : Naim nac202, nap200, hicap, napsc Speaker : Dynaudio ...",ACCEPTABLE,,
stage5b1b-fresh-challenge-human-review-v1,s5b1c_043,Iris,The Goo Goo Dolls,Dizzy Up the Girl,289.533,1998,zDOILKOOUCo,https://www.youtube.com/watch?v=zDOILKOOUCo,Goo Goo Dolls - Iris (Official Lyric Video),Goo Goo Dolls,Goo Goo Dolls,290.0,34870085,Watch the official lyric video for Iris by Goo Goo Dolls Listen to Iris: https://GooGooDolls.lnk.to/Iris See Goo Goo Dolls on tour!,IDEAL,,
stage5b1b-fresh-challenge-human-review-v1,s5b1c_044,Home,Edward Sharpe & The Magnetic Zeros,Up from Below,303.2,2009,DQJpFVzeNp8,https://www.youtube.com/watch?v=DQJpFVzeNp8,Edward Sharpe & The Magnetic Zeros – Home,Latin City,Latin City,310.0,5499304,"Edward Sharpe & The Magnetic Zeros - Home Stream / Download ""Home"": https://smarturl.it/upfrombelow ➥ Follow Edward ...",ACCEPTABLE,,
