review_schema_version,stable_track_id,expected_title,expected_artists,expected_album,expected_duration_seconds,expected_release_year,candidate_video_id,candidate_url,candidate_title,candidate_uploader,candidate_channel,candidate_duration_seconds,candidate_view_count,candidate_description,strategy_ids,audit_reasons,candidate_review_label,candidate_note,track_note
stage5b1e-human-audit-queue-v1,s5b1c_007,Beautiful Things,Benson Boone,Fireworks & Rollerblades,180.304,2024,qKOMEWKrvb4,https://www.youtube.com/watch?v=qKOMEWKrvb4,Benson Boone - Beautiful Things (Lyrics),7clouds Rock,7clouds Rock,177.0,27814469,Follow the official 7clouds playlist on Spotify : http://spoti.fi/2SJsUcZ ​   Benson Boone - Beautiful Things (Lyrics) ⏬ Download ...,Q1_NATURAL_SPOTIFY_TITLE | Q3_CORE_TITLE_ARTIST_VERSION,MATERIAL_STRATEGY_SELECTION_DISAGREEMENT | NATURAL_QUERY_NEW_SELECTION_WITHOUT_HUMAN_SAFE_EVIDENCE,,,
stage5b1e-human-audit-queue-v1,s5b1c_010,Calm Down (with Selena Gomez),Rema | Selena Gomez,Rave & Roses Ultra,239.318,2022,WcIcVapfqXw,https://www.youtube.com/watch?v=WcIcVapfqXw,"Rema, Selena Gomez - Calm Down (Official Music Video)",Selena Gomez,Selena Gomez,240.0,1460176292,"Listen to “Calm Down” with Rema: https://selenagomez.lnk.to/CalmDown Listen to the new album 'I Said I Love You First', out ...",Q1_NATURAL_SPOTIFY_TITLE,MATERIAL_STRATEGY_SELECTION_DISAGREEMENT | NATURAL_QUERY_NEW_SELECTION_WITHOUT_HUMAN_SAFE_EVIDENCE,,,
stage5b1e-human-audit-queue-v1,s5b1c_012,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake | Selena Gomez | Ozuna | Cardi B,Carte Blanche,212.5,2018,tHzbQfgU6eE,https://www.youtube.com/watch?v=tHzbQfgU6eE,"DJ Snake, Selena Gomez, Ozuna, Cardi B - Taki Taki (Letra/Lyrics)",Musica Milagrosa,Musica Milagrosa,213.0,57782699,"DJ Snake, Selena Gomez, Ozuna, Cardi B - Taki Taki (Letra/Lyrics) ⏬ Descargar: https://djsnake.lnk.to/TakiTaki Ayúdanos a ...",Q1_NATURAL_SPOTIFY_TITLE | Q2_NATURAL_TITLE_PLUS_ARTIST | Q3_CORE_TITLE_ARTIST_VERSION,MATERIAL_STRATEGY_SELECTION_DISAGREEMENT | NATURAL_QUERY_NEW_SELECTION_WITHOUT_HUMAN_SAFE_EVIDENCE,,,
stage5b1e-human-audit-queue-v1,s5b1c_018,APT.,ROSÉ | Bruno Mars,rosie,169.917,2024,i_SsnRdgitA,https://www.youtube.com/watch?v=i_SsnRdgitA,ROSÉ & Bruno Mars - APT. (Lyrics),Vibe Music,Vibe Music,171.0,93028498,ROSÉ & Bruno Mars - APT. Stream/Download: https://rosesarerosie.lnk.to/APTID Follow ROSÉ: https://x.com/numberonehq ...,Q1_NATURAL_SPOTIFY_TITLE | Q2_NATURAL_TITLE_PLUS_ARTIST | Q3_CORE_TITLE_ARTIST_VERSION,MATERIAL_STRATEGY_SELECTION_DISAGREEMENT | NATURAL_QUERY_NEW_SELECTION_WITHOUT_HUMAN_SAFE_EVIDENCE,,,
stage5b1e-human-audit-queue-v1,s5b1c_026,"Free Fallin' - Live at the Nokia Theatre, Los Angeles, CA - December 2007",John Mayer,Where the Light Is: John Mayer Live in Los Angeles,264.267,2008,sVjv1UAmLRc,https://www.youtube.com/watch?v=sVjv1UAmLRc,"John Mayer - Free Fallin (Live at the Nokia Theatre, Los Angeles, CA - December 2007)",Alessandro Rossi,Alessandro Rossi,264.0,33,"John Mayer - Free Fallin (Live at the Nokia Theatre, Los Angeles, CA - December 2007)",Q1_NATURAL_SPOTIFY_TITLE | Q2_NATURAL_TITLE_PLUS_ARTIST | Q3_CORE_TITLE_ARTIST_VERSION,MATERIAL_STRATEGY_SELECTION_DISAGREEMENT | NATURAL_QUERY_NEW_SELECTION_WITHOUT_HUMAN_SAFE_EVIDENCE,,,
stage5b1e-human-audit-queue-v1,s5b1c_035,Enchanted (Taylor's Version),Taylor Swift,Speak Now (Taylor's Version),353.253,2023,rGAS66E9rMQ,https://www.youtube.com/watch?v=rGAS66E9rMQ,Taylor Swift - Enchanted (Taylor's Version) (Lyrics),7clouds,7clouds,352.0,6170025,Follow the official 7clouds playlist on Spotify : http://spoti.fi/2SJsUcZ ​   Taylor Swift - Enchanted (Taylor's Version) (Lyrics) ...,Q1_NATURAL_SPOTIFY_TITLE | Q2_NATURAL_TITLE_PLUS_ARTIST,MATERIAL_STRATEGY_SELECTION_DISAGREEMENT | NATURAL_QUERY_NEW_SELECTION_WITHOUT_HUMAN_SAFE_EVIDENCE,,,
stage5b1e-human-audit-queue-v1,s5b1c_043,Iris,The Goo Goo Dolls,Dizzy Up the Girl,289.533,1998,CUbJQGqFoi0,https://www.youtube.com/watch?v=CUbJQGqFoi0,Iris,Goo Goo Dolls,Goo Goo Dolls,290.0,45604502,Provided to YouTube by Warner Records Iris · Goo Goo Dolls Greatest Hits Volume One - The Singles ℗ 2007 Warner Records ...,Q0_CURRENT_CONTROL | Q2_NATURAL_TITLE_PLUS_ARTIST | Q3_CORE_TITLE_ARTIST_VERSION,MATERIAL_STRATEGY_SELECTION_DISAGREEMENT,,,
stage5b1e-human-audit-queue-v1,s5b1c_043,Iris,The Goo Goo Dolls,Dizzy Up the Girl,289.533,1998,nYrEL9ecAWA,https://www.youtube.com/watch?v=nYrEL9ecAWA,Goo Goo Dolls - Iris (Lyrics),Creative Chaos and 3 more,Creative Chaos and 3 more,291.0,165435376,Best TikTok Viral Music: https://youtube.com/playlist?list=PLBbWAaEu3aidb5XY-CVhuOVK-53HyNPlV Viral Phonk Music: ...,Q1_NATURAL_SPOTIFY_TITLE,MATERIAL_STRATEGY_SELECTION_DISAGREEMENT | NATURAL_QUERY_NEW_SELECTION_WITHOUT_HUMAN_SAFE_EVIDENCE,,,
stage5b1e-human-audit-queue-v1,s5b1c_048,PROVENZA,KAROL G,MAÑANA SERÁ BONITO,210.2,2022,yJDJ9eWx3ac,https://www.youtube.com/watch?v=yJDJ9eWx3ac,KAROL G - PROVENZA,LatinHype,LatinHype,207.0,31739805,KAROL G - PROVENZA » Descargar: https://karolg.lnk.to/Provenza!YTD » Apoyo Karol G: https://www.instagram.com/karolg/ ...,Q0_CURRENT_CONTROL,MATERIAL_STRATEGY_SELECTION_DISAGREEMENT,,,
stage5b1e-human-audit-queue-v1,s5b1c_050,Amour Plastique,Videoclub | Adèle Castillon | Mattyeux,Euphories,227.227,2018,Rbg6BBkmGfU,https://www.youtube.com/watch?v=Rbg6BBkmGfU,Videoclub - Amour plastique (Paroles/Lyrics),7clouds France,7clouds France,233.0,1161067,"Follow the official 7clouds playlist on Spotify : http://spoti.fi/2SJsUcZ ​   Videoclub, Adèle Castillon, Mattyeux - Amour plastique ...",Q0_CURRENT_CONTROL,MATERIAL_STRATEGY_SELECTION_DISAGREEMENT,,,
