review_schema_version,stable_track_id,expected_title,expected_artists,expected_album,expected_duration_seconds,expected_release_year,candidate_video_id,candidate_url,candidate_title,candidate_uploader,candidate_channel,candidate_duration_seconds,candidate_view_count,candidate_description,candidate_review_label,candidate_note,track_note
stage5b1b-fresh-challenge-human-review-v1,s5b1c_004,Kill Bill,SZA,SOS,153.947,2022,SQnc1QibapQ,https://www.youtube.com/watch?v=SQnc1QibapQ,SZA - Kill Bill (Official Audio),SZA,SZA,156.0,169432262,SZA's New Album “SOS” // Available Everywhere Now! Listen Here // https://sza.lnk.to/SOS Follow SZA: https://szasos.com ...,,,
stage5b1b-fresh-challenge-human-review-v1,s5b1c_013,How You Like That,BLACKPINK,THE ALBUM,181.947,2020,ioNng23DkIM,https://www.youtube.com/watch?v=ioNng23DkIM,BLACKPINK - 'How You Like That' M/V,BLACKPINK,BLACKPINK,184.0,1378797237,BLACKPINK - How You Like That 보란 듯이 무너졌어 바닥을 뚫고 저 지하까지 옷 끝자락 잡겠다고 저 높이 두 손을 뻗어봐도 다시 ...,,,
stage5b1b-fresh-challenge-human-review-v1,s5b1c_017,Cupid - Twin Ver.,FIFTY FIFTY,The Beginning: Cupid,174.253,2023,6uvUTu716rU,https://www.youtube.com/watch?v=6uvUTu716rU,FIFTY FIFTY (피프티피프티) - 'Cupid' (TwinVer.) Official Lyric Video,FIFTY FIFTY Official,FIFTY FIFTY Official,180.0,94194769,Stream 'Cupid' https://linktr.ee/we_fiftyfifty Album Pre-Order https://bit.ly/3KubUQG [ The 1st Single Album “The Beginning: ...,,,
stage5b1b-fresh-challenge-human-review-v1,s5b1c_024,Makeba - Ian Asher Remix,Jain | Ian Asher,Makeba (Ian Asher Remix),127.5,2023,VI9gIPBH_dM,https://www.youtube.com/watch?v=VI9gIPBH_dM,Jain - Makeba (Ian Asher Remix),JAIN,JAIN,126.0,13756907,Listen to 'Makeba (Ian Asher Remix)' : https://jain.lnk.to/Makebarmx Produced by Spookland Composer : Jain Lyricist : Jain ...,,,
stage5b1b-fresh-challenge-human-review-v1,s5b1c_025,Something Just Like This - Alesso Remix,The Chainsmokers | Coldplay | Alesso,Something Just Like This (Remix Pack),252.0,2017,5MenFU9qCzs,https://www.youtube.com/watch?v=5MenFU9qCzs,The Chainsmokers & Coldplay - Something Just Like This (Alesso Remix Audio),The Chainsmokers,The Chainsmokers,255.0,12661038,The Chainsmokers debut album 'Memories... Do Not Open' is out now! Buy & Stream: http://smarturl.it/TCSMemories Physical CD: ...,,,
stage5b1b-fresh-challenge-human-review-v1,s5b1c_035,Enchanted (Taylor's Version),Taylor Swift,Speak Now (Taylor's Version),353.253,2023,igIfiqqVHtA,https://www.youtube.com/watch?v=igIfiqqVHtA,Taylor Swift - Enchanted (Taylor's Version) (Lyric Video),Taylor Swift,Taylor Swift,357.0,104123185,"Listen to “Enchanted"" (Taylor's Version) by Taylor Swift from the album Speak Now (Taylor's Version). Get the album here: ...",,,
stage5b1b-fresh-challenge-human-review-v1,s5b1c_043,Iris,The Goo Goo Dolls,Dizzy Up the Girl,289.533,1998,zDOILKOOUCo,https://www.youtube.com/watch?v=zDOILKOOUCo,Goo Goo Dolls - Iris (Official Lyric Video),Goo Goo Dolls,Goo Goo Dolls,290.0,34905431,Watch the official lyric video for Iris by Goo Goo Dolls Listen to Iris: https://GooGooDolls.lnk.to/Iris See Goo Goo Dolls on tour!,,,
stage5b1b-fresh-challenge-human-review-v1,s5b1c_048,PROVENZA,KAROL G,MAÑANA SERÁ BONITO,210.2,2022,ca48oMV59LU,https://www.youtube.com/watch?v=ca48oMV59LU,KAROL G - Provenza (Official Video),KAROL G,KAROL G,227.0,1411619653,Escucha / Stream “MSB” on your favorite platform: https://karolg.lnk.to/MSB!YTD Subscribe to my YouTube channel here: ...,,,
stage5b1b-fresh-challenge-human-review-v1,s5b1c_049,Shinunoga E-Wa,Fujii Kaze,HELP EVER HURT NEVER,185.573,2020,dawrQnvwMTY,https://www.youtube.com/watch?v=dawrQnvwMTY,Fujii Kaze - Shinunoga E-Wa (Not a MV),Fujii Kaze,Fujii Kaze,192.0,151928008,"As a token of our gratitude to 2M YouTube subscribers, we share this video shot for Fujii Kaze LOVE ALL SERVE ALL STADIUM ...",,,
stage5b1b-fresh-challenge-human-review-v1,s5b1c_050,Amour Plastique,Videoclub | Adèle Castillon | Mattyeux,Euphories,227.227,2018,5NjJLFI_oYs,https://www.youtube.com/watch?v=5NjJLFI_oYs,VIDEOCLUB - Amour plastique (clip officiel),Adèle Castillon,Adèle Castillon,233.0,171208945,"VIDEOCLUB - Amour Plastique Le titre est disponible sur toutes les plateformes de streaming (Spotify, Deezer, Apple Music.",,,
