review_schema_version,stable_track_id,expected_title,expected_artists,expected_album,expected_version_descriptors_json,expected_duration_seconds,expected_release_year,candidate_rank,candidate_video_id,candidate_url,candidate_title,candidate_uploader,candidate_channel,candidate_duration_seconds,candidate_view_count,candidate_description,candidate_review_label,candidate_note,track_note
stage5b1i-human-review-v1,s5b1c_029,The Night We Met - Live at the Ryman,Lord Huron,Live at the Ryman,"[{""family"":""live"",""qualifier"":""the Ryman"",""raw"":""Live at the Ryman""}]",258.0,2023,1,N2K1LUWlF-4,https://www.youtube.com/watch?v=N2K1LUWlF-4,The Night We Met by Lord Huron @ Ryman Auditorium,Byron Caldwell,Byron Caldwell,192.0,609,,,,
stage5b1i-human-review-v1,s5b1c_029,The Night We Met - Live at the Ryman,Lord Huron,Live at the Ryman,"[{""family"":""live"",""qualifier"":""the Ryman"",""raw"":""Live at the Ryman""}]",258.0,2023,2,7QADmsRUGgg,https://www.youtube.com/watch?v=7QADmsRUGgg,Lord Huron “The  Night We Met”,Tim Mack,Tim Mack,230.0,253,Cosmic Selector Vol 1 Tour.,,,
stage5b1i-human-review-v1,s5b1c_029,The Night We Met - Live at the Ryman,Lord Huron,Live at the Ryman,"[{""family"":""live"",""qualifier"":""the Ryman"",""raw"":""Live at the Ryman""}]",258.0,2023,3,lx0T48q_eg8,https://www.youtube.com/watch?v=lx0T48q_eg8,Lord Huron - The Night We Met,SuperJimmyFlip,SuperJimmyFlip,196.0,273,"April 4, 2014 9:30 Club Washington, DC.",,,
stage5b1i-human-review-v1,s5b1c_029,The Night We Met - Live at the Ryman,Lord Huron,Live at the Ryman,"[{""family"":""live"",""qualifier"":""the Ryman"",""raw"":""Live at the Ryman""}]",258.0,2023,4,z4JfPakDYiU,https://www.youtube.com/watch?v=z4JfPakDYiU,"Lord Huron - The Night We Met, Bonner MT, 5/25/2025 live",Mitch Wight,Mitch Wight,202.0,5853,,,,
stage5b1i-human-review-v1,s5b1c_029,The Night We Met - Live at the Ryman,Lord Huron,Live at the Ryman,"[{""family"":""live"",""qualifier"":""the Ryman"",""raw"":""Live at the Ryman""}]",258.0,2023,5,5q2KTSVV7PY,https://www.youtube.com/watch?v=5q2KTSVV7PY,"Lord Huron - The Night We Met - (Toronto, June 26, 2023)",drbrooker,drbrooker,204.0,34021,,,,
stage5b1i-human-review-v1,s5b1c_030,Pompeii - Acoustic Version,Bastille,Pompeii,"[{""family"":""acoustic"",""qualifier"":null,""raw"":""Acoustic Version""}]",255.0,2013,1,GgcWcLAJJ10,https://www.youtube.com/watch?v=GgcWcLAJJ10,Bastille - Pompeii (Acoustic Live),yan k,yan k,217.0,379242,Bastille perform live acoustic version of Pompeii “WILD WORLD” is OUT NOW! | Listen and share on Spotify http://po.st/WWsP ...,,,
stage5b1i-human-review-v1,s5b1c_030,Pompeii - Acoustic Version,Bastille,Pompeii,"[{""family"":""acoustic"",""qualifier"":null,""raw"":""Acoustic Version""}]",255.0,2013,2,YX7joA8OLXA,https://www.youtube.com/watch?v=YX7joA8OLXA,Pompeii (Acoustic Version),waybackwhen,waybackwhen,130.0,22365,Provided to YouTube by Universal Music Group Pompeii (Acoustic Version) · waybackwhen Pompeii ℗ 2022 Universal Music ...,,,
stage5b1i-human-review-v1,s5b1c_030,Pompeii - Acoustic Version,Bastille,Pompeii,"[{""family"":""acoustic"",""qualifier"":null,""raw"":""Acoustic Version""}]",255.0,2013,3,5_KBkAjyCOg,https://www.youtube.com/watch?v=5_KBkAjyCOg,Bastille - Pompeii Acoustic Version,Callum Tyers,Callum Tyers,220.0,509,"The Latest from Bastille which is is number 5 in the charts this week! Please like, comment and subscribe for more music videos!",,,
stage5b1i-human-review-v1,s5b1c_030,Pompeii - Acoustic Version,Bastille,Pompeii,"[{""family"":""acoustic"",""qualifier"":null,""raw"":""Acoustic Version""}]",255.0,2013,4,Si-5EjOaZ4Y,https://www.youtube.com/watch?v=Si-5EjOaZ4Y,Bastille - Pompeii Acoustic Version (HD),Edward Cook,Edward Cook,214.0,807,The acoustic version of Bastille's incredible song Pompeii - enjoy. No copyright infringement intended; download from iTunes and ...,,,
stage5b1i-human-review-v1,s5b1c_030,Pompeii - Acoustic Version,Bastille,Pompeii,"[{""family"":""acoustic"",""qualifier"":null,""raw"":""Acoustic Version""}]",255.0,2013,5,rrfxY44m5xk,https://www.youtube.com/watch?v=rrfxY44m5xk,bastille pompeii acoustic,adam Ashton,adam Ashton,220.0,238,,,,
stage5b1i-human-review-v1,s5b1c_033,Sweet Child O' Mine - 2022 Remaster,Guns N' Roses,Appetite For Destruction (Super Deluxe Edition),"[{""family"":""remaster"",""qualifier"":""2022"",""raw"":""2022 Remaster""}]",356.067,2022,1,HlEuo9aR7Qo,https://www.youtube.com/watch?v=HlEuo9aR7Qo,Guns N' Roses - Sweet Child O' Mine (Alternate Version),Guns N' Roses,Guns N' Roses,312.0,314727836,"AppetiteForDestruction: The Debut Album, Remastered and Expanded. Available now as Box Set, Super Deluxe, Double LP, and ...",,,
stage5b1i-human-review-v1,s5b1c_033,Sweet Child O' Mine - 2022 Remaster,Guns N' Roses,Appetite For Destruction (Super Deluxe Edition),"[{""family"":""remaster"",""qualifier"":""2022"",""raw"":""2022 Remaster""}]",356.067,2022,2,1w7OgIMMRc4,https://www.youtube.com/watch?v=1w7OgIMMRc4,Guns N' Roses - Sweet Child O' Mine (Official Music Video),Guns N' Roses,Guns N' Roses,303.0,1993890176,"Official Music Video for ""Sweet Child O' Mine"" by Guns N' Roses as featured in Thor: Love and Thunder. REMASTERED IN HD!",,,
stage5b1i-human-review-v1,s5b1c_033,Sweet Child O' Mine - 2022 Remaster,Guns N' Roses,Appetite For Destruction (Super Deluxe Edition),"[{""family"":""remaster"",""qualifier"":""2022"",""raw"":""2022 Remaster""}]",356.067,2022,3,23LT0E89m1s,https://www.youtube.com/watch?v=23LT0E89m1s,Guns N Roses: Sweet Child O' Mine in Dublin,Guns N' Roses,Guns N' Roses,372.0,5041738,"Guns N Roses: Sweet Child O' Mine live in Dublin, 2022 Follow Guns N' Roses: https://www.instagram.com/gunsnroses ...",,,
stage5b1i-human-review-v1,s5b1c_033,Sweet Child O' Mine - 2022 Remaster,Guns N' Roses,Appetite For Destruction (Super Deluxe Edition),"[{""family"":""remaster"",""qualifier"":""2022"",""raw"":""2022 Remaster""}]",356.067,2022,4,D2gWc5Sw75w,https://www.youtube.com/watch?v=D2gWc5Sw75w,Guns N' Roses - Sweet Child O' Mine,Rock And Metal Tv,Rock And Metal Tv,355.0,4151479,,,,
stage5b1i-human-review-v1,s5b1c_033,Sweet Child O' Mine - 2022 Remaster,Guns N' Roses,Appetite For Destruction (Super Deluxe Edition),"[{""family"":""remaster"",""qualifier"":""2022"",""raw"":""2022 Remaster""}]",356.067,2022,5,aEMool3DlIU,https://www.youtube.com/watch?v=aEMool3DlIU,Guns N' Roses - Sweet Child O' Mine (Official Audio HQ),Thunderground,Thunderground,363.0,206650,"Guns N 'Roses - Sweet Child O' Mine (Official Audio HQ)

""Sweet Child o 'Mine"" is a song by the American rock band Guns N ...",,,
stage5b1i-human-review-v1,s5b1c_040,Another Love - Slowed Down,Tom Odell,Another Love (Slowed Down),"[{""family"":""slowed"",""qualifier"":null,""raw"":""Slowed Down""}]",299.0,2022,1,_HVI_2XKJx0,https://www.youtube.com/watch?v=_HVI_2XKJx0,Tom Odell - Another Love (Slowed) (Lyrics),7clouds,7clouds,280.0,3585708,Follow the official 7clouds playlist on Spotify : http://spoti.fi/2SJsUcZ ​   Tom Odell - Another Love (Slowed) (Lyrics) ⏬ Download ...,,,
stage5b1i-human-review-v1,s5b1c_040,Another Love - Slowed Down,Tom Odell,Another Love (Slowed Down),"[{""family"":""slowed"",""qualifier"":null,""raw"":""Slowed Down""}]",299.0,2022,2,G-1IQJvNQLk,https://www.youtube.com/watch?v=G-1IQJvNQLk,tom odell - another love (slowed down),slow poke,slow poke,285.0,23439444,https://youtu.be/MwpMEbgC7DA tom odell ♡ http://www.tomodell.com/ ...,,,
stage5b1i-human-review-v1,s5b1c_040,Another Love - Slowed Down,Tom Odell,Another Love (Slowed Down),"[{""family"":""slowed"",""qualifier"":null,""raw"":""Slowed Down""}]",299.0,2022,3,ziB7VFfq_xQ,https://www.youtube.com/watch?v=ziB7VFfq_xQ,Tom Odell - Another Love ( Slowed + Reverb ),God Of Slowed And Reverb,God Of Slowed And Reverb,302.0,11854383,𝙷𝚎𝚊𝚍𝚙𝚑𝚘𝚗𝚎𝚜 𝙼𝚞𝚜𝚝. Lyrics: [Verse 1] I wanna take you somewhere so you know I care But it's so cold and I don't know ...,,,
stage5b1i-human-review-v1,s5b1c_040,Another Love - Slowed Down,Tom Odell,Another Love (Slowed Down),"[{""family"":""slowed"",""qualifier"":null,""raw"":""Slowed Down""}]",299.0,2022,4,g14i7LzIkdc,https://www.youtube.com/watch?v=g14i7LzIkdc,Tom Odell - Another Love (s l o w e d  +  r e v e r b),Siyardley,Siyardley,294.0,3817408,"Presenting:- Tom Odell - Another Love (s l o w e d  + r e v e r b) ""Another love all my tears have been used up"" Subscribe and ...",,,
stage5b1i-human-review-v1,s5b1c_040,Another Love - Slowed Down,Tom Odell,Another Love (Slowed Down),"[{""family"":""slowed"",""qualifier"":null,""raw"":""Slowed Down""}]",299.0,2022,5,HGW9g9APZvw,https://www.youtube.com/watch?v=HGW9g9APZvw,Another Love (slowed down original sound),Tom Odell,Tom Odell,25.0,186947,Provided to YouTube by Sony Music CG Another Love (slowed down original sound) · Tom Odell Another Love ℗ 2013 Sony ...,,,
