review_schema_version,benchmark_id,spotify_track_id,expected_title,expected_artists,expected_album,expected_duration_seconds,expected_release_year,search_query,youtube_rank,candidate_video_id,candidate_url,candidate_title,candidate_uploader,candidate_channel,candidate_duration_seconds,candidate_view_count,candidate_description,candidate_review_label,candidate_note,track_note
stage5b4-representative-v3-human-review-v1,stage5b4_representative_v3_001,4Kpt4pk9xgOlIgu9qvUrxC,walk but in a garden (with mxmtoon),LLusion | mxmtoon,walk but in a garden,112.5,2020,walk but in a garden (with mxmtoon) LLusion,1,agRhbblDcw8,https://www.youtube.com/watch?v=agRhbblDcw8,walk but in a garden (feat. mxmtoon),LLusion,LLusion,114.0,866379,"Official audio for ""walk but in a garden"" by LLusion featuring mxmtoon. Artwork: @six_xoxx ...",,,
stage5b4-representative-v3-human-review-v1,stage5b4_representative_v3_001,4Kpt4pk9xgOlIgu9qvUrxC,walk but in a garden (with mxmtoon),LLusion | mxmtoon,walk but in a garden,112.5,2020,walk but in a garden (with mxmtoon) LLusion,2,VNlhs87CsWA,https://www.youtube.com/watch?v=VNlhs87CsWA,walk but in a garden,LLusion,LLusion,114.0,970415,"Provided to YouTube by Universal Music Group walk but in a garden · LLusion walk but in a garden ℗ 2020 Republic Records, ...",,,
stage5b4-representative-v3-human-review-v1,stage5b4_representative_v3_001,4Kpt4pk9xgOlIgu9qvUrxC,walk but in a garden (with mxmtoon),LLusion | mxmtoon,walk but in a garden,112.5,2020,walk but in a garden (with mxmtoon) LLusion,3,5sxrrCf--IM,https://www.youtube.com/watch?v=5sxrrCf--IM,LLusion - walk but in a garden [feat. mxmtoon] (Official Audio),LLusion,LLusion,111.0,8235,setting off the project with the song that started everything. forever grateful for this flawless addition by @mxmtoon All artwork ...,,,
stage5b4-representative-v3-human-review-v1,stage5b4_representative_v3_002,5btJjUxmhPK1cwdw0mnhRD,"Love, Maybe",SECRET NUMBER,"Love, Maybe (A Business Proposal OST Part.5)",185.0,2022,"Love, Maybe SECRET NUMBER",1,ODPOXBihrYE,https://www.youtube.com/watch?v=ODPOXBihrYE,"[MV] SECRET NUMBER(시크릿넘버) _ Love, Maybe(사랑인가 봐) (사내맞선 OST Part.5) (Special Clip Ver.)",1theK (원더케이),1theK (원더케이),188.0,25843466,"[MV] SECRET NUMBER(시크릿넘버) _ Love, Maybe(사랑인가 봐) (A Business Proposal(사내맞선) OST Part.5) (Special Clip Ver.)",,,
stage5b4-representative-v3-human-review-v1,stage5b4_representative_v3_002,5btJjUxmhPK1cwdw0mnhRD,"Love, Maybe",SECRET NUMBER,"Love, Maybe (A Business Proposal OST Part.5)",185.0,2022,"Love, Maybe SECRET NUMBER",2,RoFqTJbX2uw,https://www.youtube.com/watch?v=RoFqTJbX2uw,"SECRET NUMBER Love, Maybe Easy Lyrics (A Business Proposal OST Part. 5)",Lemonade,Lemonade,186.0,11652220,"Secret Number Love, Maybe Easy Lyrics ..................................................................................... No copyright infringement intended.",,,
stage5b4-representative-v3-human-review-v1,stage5b4_representative_v3_002,5btJjUxmhPK1cwdw0mnhRD,"Love, Maybe",SECRET NUMBER,"Love, Maybe (A Business Proposal OST Part.5)",185.0,2022,"Love, Maybe SECRET NUMBER",3,3CZO7LUzoy8,https://www.youtube.com/watch?v=3CZO7LUzoy8,"[MV] SECRET NUMBER(시크릿넘버) _ Love, Maybe(사랑인가 봐)(A Business Proposal(사내맞선) OST Part.5)",1theK (원더케이),1theK (원더케이),185.0,4040484,"[MV] SECRET NUMBER(시크릿넘버) _ Love, Maybe(사랑인가 봐)(A Business Proposal(사내맞선) OST Part.5) K-POP Wonderland ...",,,
stage5b4-representative-v3-human-review-v1,stage5b4_representative_v3_003,1BJPASQDHGsZNmIYSyPGsF,Falling,SRA | IFCHAN,Falling,185.17,2025,Falling SRA,1,LFpQn44dVJk,https://www.youtube.com/watch?v=LFpQn44dVJk,Falling,SRA,SRA,186.0,82724,Provided to YouTube by Epidemic Sound Falling · SRA · IFCHAN Falling ℗ Epidemic Sound Released on: 2025-06-06 Producer: ...,,,
stage5b4-representative-v3-human-review-v1,stage5b4_representative_v3_003,1BJPASQDHGsZNmIYSyPGsF,Falling,SRA | IFCHAN,Falling,185.17,2025,Falling SRA,2,cG3Ca39UNV8,https://www.youtube.com/watch?v=cG3Ca39UNV8,SRA feat. IFCHAN - Falling (Lyrics),Lyric Wave,Lyric Wave,186.0,1347,If you want to use the music in your content Sign Up for a 30-day free trial here https://www.epidemicsound.com/referral/p3cggx ...,,,
stage5b4-representative-v3-human-review-v1,stage5b4_representative_v3_003,1BJPASQDHGsZNmIYSyPGsF,Falling,SRA | IFCHAN,Falling,185.17,2025,Falling SRA,3,0s4v_cs6rcI,https://www.youtube.com/watch?v=0s4v_cs6rcI,SRA feat. IFCHAN - Falling,Music City,Music City,186.0,285,Welcome to Music City - Variety of Music Genre ➡ Subscribe: https://bit.ly/2W8eX8o Turn on the bell for new upload notification ...,,,
stage5b4-representative-v3-human-review-v1,stage5b4_representative_v3_004,34MqDD3411uJQvXsqpZv3D,"Sorry, I Like You",Burbank,"Sorry, I Like You",122.79,2017,"Sorry, I Like You Burbank",1,GgVcgbtHY9k,https://www.youtube.com/watch?v=GgVcgbtHY9k,burbank - sorry i like you,DEBOIN,DEBOIN,124.0,31260545,[KINGDOM HEARTS SOUND EFFECTS INTENSIFIES] burbank: spotify- https://bit.ly/2qgFMJA ...,,,
stage5b4-representative-v3-human-review-v1,stage5b4_representative_v3_004,34MqDD3411uJQvXsqpZv3D,"Sorry, I Like You",Burbank,"Sorry, I Like You",122.79,2017,"Sorry, I Like You Burbank",2,1kc-armnLqE,https://www.youtube.com/watch?v=1kc-armnLqE,burbank - sorry i like you,e s c a p i s m,e s c a p i s m,124.0,298337,sorry i like you... follow my playlist https://ffm.to/lofisleep stream & download https://bit.ly/390oXFQ burbank ...,,,
stage5b4-representative-v3-human-review-v1,stage5b4_representative_v3_004,34MqDD3411uJQvXsqpZv3D,"Sorry, I Like You",Burbank,"Sorry, I Like You",122.79,2017,"Sorry, I Like You Burbank",3,Fak8t93U7oE,https://www.youtube.com/watch?v=Fak8t93U7oE,burbank - sorry i like you (1 hour version),Chilly Lucas,Chilly Lucas,3703.0,16791,oreginal https://youtu.be/GgVcgbtHY9k.,,,
stage5b4-representative-v3-human-review-v1,stage5b4_representative_v3_005,34ppDRbjfCYRKNQiIWpfCw,thinkin' about u,fcj | Sarah Hemi,thinkin' about u,124.641,2020,thinkin' about u fcj,1,ADeSxzrTLbk,https://www.youtube.com/watch?v=ADeSxzrTLbk,Sarah Hemi & Fcj - Thinkin' About U (Official Music Video),Sarah Hemi ヘミ  セーラ,Sarah Hemi ヘミ  セーラ,131.0,7610,The Official Music Video for 'Thinkin' About U' by Sarah Hemi & Fcj Stream now on all platforms! Spotify ...,,,
stage5b4-representative-v3-human-review-v1,stage5b4_representative_v3_005,34ppDRbjfCYRKNQiIWpfCw,thinkin' about u,fcj | Sarah Hemi,thinkin' about u,124.641,2020,thinkin' about u fcj,2,nTj6wlAWFgw,https://www.youtube.com/watch?v=nTj6wlAWFgw,Fcj & Sarah Hemi - thinkin' about u (Official Lyric Video),Sarah Hemi ヘミ  セーラ,Sarah Hemi ヘミ  セーラ,125.0,34741,Stream thinkin' about u by Fcj & Sarah Hemi: https://open.spotify.com/track/34ppDR... Lyrics: we've been talking every day now ...,,,
stage5b4-representative-v3-human-review-v1,stage5b4_representative_v3_005,34ppDRbjfCYRKNQiIWpfCw,thinkin' about u,fcj | Sarah Hemi,thinkin' about u,124.641,2020,thinkin' about u fcj,3,SKOltRWPv3o,https://www.youtube.com/watch?v=SKOltRWPv3o,💭💌 fcj w. sarah hemi • thinkin' about u ∣ lyrics。,miukie,miukie,125.0,60981,ʚ support miukie : ∷ https://patreon.com/miukiemusic ∷ https://koasun.carrd.co/#miukie ʚ listen on spotify / soundcloud ...,,,
stage5b4-representative-v3-human-review-v1,stage5b4_representative_v3_006,557y7PDrfoG7ZiXE82XPxp,Empyrean,City Girl,Time Falls Like Moonlight,208.32,2018,Empyrean City Girl,1,HZfLrZKJyHk,https://www.youtube.com/watch?v=HZfLrZKJyHk,Empyrean,City Girl,City Girl,209.0,53898,Provided to YouTube by Routenote Empyrean · City Girl Time Falls Like Moonlight ℗ City Girl Released on: 2018-04-02 ...,,,
stage5b4-representative-v3-human-review-v1,stage5b4_representative_v3_006,557y7PDrfoG7ZiXE82XPxp,Empyrean,City Girl,Time Falls Like Moonlight,208.32,2018,Empyrean City Girl,2,sUMgXdtcQu4,https://www.youtube.com/watch?v=sUMgXdtcQu4,Empyrean - City Girl - Solo jam - Walter Orlando,Just Another Guitar Guy,Just Another Guitar Guy,71.0,74,"Found this song on the internet and this happened! My EP ""Camelstar"": https://walterorlando.bandcamp.com/tr​​... Let's meet on ...",,,
stage5b4-representative-v3-human-review-v1,stage5b4_representative_v3_006,557y7PDrfoG7ZiXE82XPxp,Empyrean,City Girl,Time Falls Like Moonlight,208.32,2018,Empyrean City Girl,3,oTlSzRoOmh0,https://www.youtube.com/watch?v=oTlSzRoOmh0,City Girl - Just Dreams in the Static Night,Emporium One,Emporium One,188.0,1159,,,,
