review_schema_version,benchmark_id,spotify_track_id,expected_title,expected_artists,expected_album,expected_duration_seconds,expected_release_year,discovery_mode,query_variant_index,query_artist,search_query,youtube_rank,candidate_video_id,candidate_url,candidate_title,candidate_uploader,candidate_channel,candidate_duration_seconds,candidate_view_count,candidate_description,candidate_review_label,candidate_note,track_note
stage5b5-representative-v4-human-review-v1,stage5b5_representative_v4_001,12xARyH7lVwQyeyBJd80Mz,Snow White Petals and Lights,City Girl,Loveless Shadows,187.5,2017,PRIMARY_MULTI_ARTIST,0,,Snow White Petals and Lights City Girl,1,gntTO_iobU8,https://www.youtube.com/watch?v=gntTO_iobU8,Snow White Petals and Lights,City Girl,City Girl,188.0,35783,Provided to YouTube by TuneCore Snow White Petals and Lights · City Girl Loveless Shadows ℗ 2017 City Girl Released on: ...,IDEAL,"Exact song identity with official, artist, label, distributor, or Topic evidence.",
stage5b5-representative-v4-human-review-v1,stage5b5_representative_v4_001,12xARyH7lVwQyeyBJd80Mz,Snow White Petals and Lights,City Girl,Loveless Shadows,187.5,2017,PRIMARY_MULTI_ARTIST,0,,Snow White Petals and Lights City Girl,2,AgDBat46bI8,https://www.youtube.com/watch?v=AgDBat46bI8,City Girl - Snow White Petals And Lights {Slowed} {One Hour},Livi,Livi,3739.0,18,"Welcome! Thank you for viewing and listening to my video! Music isn't by me, I only slowed it down. Enjoy the music and relax ^v^ ...",,,
stage5b5-representative-v4-human-review-v1,stage5b5_representative_v4_001,12xARyH7lVwQyeyBJd80Mz,Snow White Petals and Lights,City Girl,Loveless Shadows,187.5,2017,PRIMARY_MULTI_ARTIST,0,,Snow White Petals and Lights City Girl,3,GW6ow7O4Tyg,https://www.youtube.com/watch?v=GW6ow7O4Tyg,city girl | loveless shadows [full album] 🖤,City Girl,City Girl,1463.0,923797,... city girl - exploring old alleys filled with wires and weathered concrete 12:15 city girl - snow white petals and lights 15:23 city girl ...,,,
stage5b5-representative-v4-human-review-v1,stage5b5_representative_v4_002,5VkiEgvft4mVFaUlE8PHpC,ghost of you,FION,ghost of you,260.613,2021,PRIMARY_MULTI_ARTIST,0,,ghost of you FION,1,X3heTIz9MQU,https://www.youtube.com/watch?v=X3heTIz9MQU,ghost of you,FION - Topic,FION - Topic,261.0,42341,Provided to YouTube by DistroKid ghost of you · FION ghost of you ℗ Fion Lam Released on: 2021-05-28 Auto-generated by ...,IDEAL,"Exact song identity with official, artist, label, distributor, or Topic evidence.",
stage5b5-representative-v4-human-review-v1,stage5b5_representative_v4_002,5VkiEgvft4mVFaUlE8PHpC,ghost of you,FION,ghost of you,260.613,2021,PRIMARY_MULTI_ARTIST,0,,ghost of you FION,2,7kLQN-YuQgU,https://www.youtube.com/watch?v=7kLQN-YuQgU,stan twitter: fiona is that a ghost behind you,💙Liam Moore💙,💙Liam Moore💙,51.0,191750,,,,
stage5b5-representative-v4-human-review-v1,stage5b5_representative_v4_002,5VkiEgvft4mVFaUlE8PHpC,ghost of you,FION,ghost of you,260.613,2021,PRIMARY_MULTI_ARTIST,0,,ghost of you FION,3,S2ADd-N_seI,https://www.youtube.com/watch?v=S2ADd-N_seI,Fiona is that a ghost behind you ?!,Domi,Domi,57.0,1119,,,,
stage5b5-representative-v4-human-review-v1,stage5b5_representative_v4_003,2VFBhyKZGetj8nGORSfhcv,laundry,88rising | yy,laundry,149.885,2025,PRIMARY_MULTI_ARTIST,0,,laundry 88rising yy,1,W0wREoegLVo,https://www.youtube.com/watch?v=W0wREoegLVo,"88rising, yy - laundry",88rising,88rising,150.0,67057,"laundry by 88rising, yy OUT NOW http://88rising.lnk.to/laundry Follow yy https://www.instagram.com/soilyoil Subscribe to 88rising ...",IDEAL,"Exact song identity with official, artist, label, distributor, or Topic evidence.",
stage5b5-representative-v4-human-review-v1,stage5b5_representative_v4_003,2VFBhyKZGetj8nGORSfhcv,laundry,88rising | yy,laundry,149.885,2025,PRIMARY_MULTI_ARTIST,0,,laundry 88rising yy,2,jp1D3AfyrqY,https://www.youtube.com/watch?v=jp1D3AfyrqY,"laundry by yy - Head In The Clouds 2025 (June 1, 2025)",lexsunsh1ne,lexsunsh1ne,138.0,1577,The rest of the setlist: https://youtube.com/playlist?list=PL3KCizm2UdzF6yf010rUlgeNCQern0f2Q&si=PeeYvFByYUyWbtSL.,,,
stage5b5-representative-v4-human-review-v1,stage5b5_representative_v4_003,2VFBhyKZGetj8nGORSfhcv,laundry,88rising | yy,laundry,149.885,2025,PRIMARY_MULTI_ARTIST,0,,laundry 88rising yy,3,M21WvbG8q6U,https://www.youtube.com/watch?v=M21WvbG8q6U,yy - laundry 和訳　lyric,skr,skr,150.0,115,https://youtu.be/W0wREoegLVo.,,,
stage5b5-representative-v4-human-review-v1,stage5b5_representative_v4_004,0wFU2pYHZi45Ws1VD6aSJX,jellyous,ILLIT,bomb,163.243,2025,PRIMARY_MULTI_ARTIST,0,,jellyous ILLIT,1,GkG60kISnfc,https://www.youtube.com/watch?v=GkG60kISnfc,ILLIT (아일릿) 'jellyous’ Official MV,HYBE LABELS,HYBE LABELS,189.0,83885539,ILLIT (아일릿) 'jellyous' Official MV Creative Director: Serian Heu Production : HAT TRICK c BELIFT LAB Inc. All Rights Reserved ...,IDEAL,"Exact song identity with official, artist, label, distributor, or Topic evidence.",
