review_schema_version,benchmark_id,spotify_track_id,expected_title,expected_artists,expected_album,expected_duration_seconds,expected_release_year,candidate_video_id,candidate_url,candidate_title,candidate_uploader,candidate_channel,candidate_duration_seconds,candidate_view_count,candidate_description,match_mode,fallback_reason,candidate_review_label,candidate_note,track_note
stage5b-representative-library-review-v1,stage5b_library_v1_002,0l1ou5j6G7AOEh6KrLGRGB,my somebody,lovlaine,lovlaine,219.156,2024,_1XPxzSY0O4,https://www.youtube.com/watch?v=_1XPxzSY0O4,lovlaine - my somebody (lyric video),lovlaine,lovlaine,217.0,3315,listen to 'my somebody' by lovlaine → https://open.spotify.com/track/0l1ou5j6G7AOEh6KrLGRGB?si=15f04441f6a94ede lyrics ...,EXACT_RECORDING,,,,
stage5b-representative-library-review-v1,stage5b_library_v1_004,5uFqjHOo3Sh0bVPCKf3DdH,Illusion,aespa,Illusion,195.053,2022,ENWucslhOz0,https://www.youtube.com/watch?v=ENWucslhOz0,aespa Illusion Lyrics (에스파 도깨비불 가사) (Color Coded Lyrics),Jaeguchi,Jaeguchi,195.0,9064669,All Rights Administered by SM Entertainment • Artist: aespa • Song ♫: Illusion • Album: Girls • Released: 2022.06.01 .,EXACT_RECORDING,,,,
stage5b-representative-library-review-v1,stage5b_library_v1_005,4FoR2Wevk1pzhlaQ08kUWf,Closed Tonight,Anthony Lazaro | Yayyoung,Closed Tonight,173.508,2025,Fqk4Ho_F1xA,https://www.youtube.com/watch?v=Fqk4Ho_F1xA,Anthony Lazaro & YayYoung - Closed Tonight,Anthony Lazaro,Anthony Lazaro,174.0,63398,You can tell me all that's on your mind — even if it's gonna take all night.” 🌧️✨ I'm beyond excited to share one of my favorite ...,EXACT_RECORDING,,,,
stage5b-representative-library-review-v1,stage5b_library_v1_006,3iHzvU39BS03PD0zpNa19b,Pop Off Pop Off,KiiiKiii,WhyKiiiKiii,141.285,2026,e1IH2q8QNLM,https://www.youtube.com/watch?v=e1IH2q8QNLM,Pop Off Pop Off,KiiiKiii,KiiiKiii,142.0,207026,KiiiKiii Official Official Website ▷ https://kiiikiii.kr YouTube ▷ https://www.youtube.com/@KiiiKiii_starship Berriz ...,EXACT_RECORDING,,,,
stage5b-representative-library-review-v1,stage5b_library_v1_007,1RI0nXipszDLnn6gCLWwx3,Hith Hiding,Heize | sunwoojunga,She's Fine,221.204,2019,J9E51H_6bec,https://www.youtube.com/watch?v=J9E51H_6bec,HEIZE - Hith Hiding (Traducida Al Español) ❍,winemyd 별,winemyd 별,222.0,389,"HOLA regresé, amo a dahye, best solista ꒦꒷꒦꒷꒷꒦꒷꒦꒷꒷꒦꒷꒦꒷꒷꒦꒦꒷꒦꒷꒷꒦꒷꒦꒷꒷꒦꒷꒦꒷ ✧ Tú apoyo me ...",EXACT_RECORDING,,,,
stage5b-representative-library-review-v1,stage5b_library_v1_008,6DSGb5CmwHX4pvclq8HUU1,No-Return (Into the unknown),LE SSERAFIM,UNFORGIVEN,184.823,2023,wrRu7R7eEBo,https://www.youtube.com/watch?v=wrRu7R7eEBo,No-Return (Into the unknown),LE SSERAFIM,LE SSERAFIM,185.0,15946874,Provided to YouTube by SOURCE MUSIC No-Return (Into the unknown) · LE SSERAFIM UNFORGIVEN Released on: ...,EXACT_RECORDING,,,,
stage5b-representative-library-review-v1,stage5b_library_v1_010,0vpy9NZpTbjCH0HNnAhCTt,Drown,Weston Estate,Drown,181.466,2022,lhinM0cfVFU,https://www.youtube.com/watch?v=lhinM0cfVFU,Weston Estate - Drown (Official Video),Weston Estate,Weston Estate,186.0,649660,Streaming Link: https://westonestate.lnk.to/Drown Credits: JAILHOUSE FILMS Director: Angel Orozco Asst. Director: Giulio Rose ...,EXACT_RECORDING,,,,
stage5b-representative-library-review-v1,stage5b_library_v1_011,2TJs37x1zLNpRpFSHiMeVr,Was I Not Good Enough?,omarr | Mia Smith,Lonely,145.669,2019,gjwz1ygCeDc,https://www.youtube.com/watch?v=gjwz1ygCeDc,Was I Not Good Enough? (feat. Mia Smith),Omarr - Topic,Omarr - Topic,146.0,222875,Provided to YouTube by DistroKid Was I Not Good Enough? (feat. Mia Smith) · omarr · Mia Smith Lonely EP ℗ momarm Released ...,EXACT_RECORDING,,,,
stage5b-representative-library-review-v1,stage5b_library_v1_012,3cCEOVR5I8iMuQebxLzKpC,Now is Good,Dopein,Now is Good,196.007,2019,yxvtxUMr8Pg,https://www.youtube.com/watch?v=yxvtxUMr8Pg,Now is Good,Dopein,Dopein,197.0,402,Provided to YouTube by UMAG Now is Good · 도핀 Now is Good ℗ 2019 Dopein Released on: 2019-04-11 Auto-generated by ...,EXACT_RECORDING,,,,
stage5b-representative-library-review-v1,stage5b_library_v1_013,7iKDsPfLT0d5mu2htfMKBZ,Love To Hate Me,BLACKPINK,THE ALBUM,171.797,2020,wlzGXcTzdzU,https://www.youtube.com/watch?v=wlzGXcTzdzU,Love To Hate Me,BLACKPINK,BLACKPINK,170.0,151612288,Provided to YouTube by YG Entertainment Love To Hate Me · BLACKPINK THE ALBUM ℗ YG ENTERTAINMENT Producer: ...,EXACT_RECORDING,,,,
stage5b-representative-library-review-v1,stage5b_library_v1_014,1O4HQF2NVTbxnthGUooSiT,Nobody Else but You,Laica,Nobody Else but You,199.293,2020,VaPfIdKWeDU,https://www.youtube.com/watch?v=VaPfIdKWeDU,Laica - Nobody Else But You,Laica,Laica,210.0,16449,"thank you to my beautiful friends for celebrating my 21st and being in this video with me ♡. ""Forever"" EP out on all streaming ...",EXACT_RECORDING,,,,
stage5b-representative-library-review-v1,stage5b_library_v1_016,4Urg181wC9tpm8Teef29tJ,Be Mine,Jazzinuf,The Harlem Barber Swing,207.25,2017,hUbF1EXOcfI,https://www.youtube.com/watch?v=hUbF1EXOcfI,Jazzinuf - Be Mine [HD],Mindful Music,Mindful Music,208.0,200565,ＦＯＬＬＯＷ ♔ Jazzinuf ♔ ╔▻https://soundcloud.com/jazzinuf ╠▻https://facebook.com/jazzinuf ...,EXACT_RECORDING,,,,
stage5b-representative-library-review-v1,stage5b_library_v1_017,5Dc3ozvjYO2Lay3A89tDGo,Time Falls Like Moonlight,City Girl,Time Falls Like Moonlight,175.833,2018,oQnpVIQLB2Q,https://www.youtube.com/watch?v=oQnpVIQLB2Q,Time Falls Like Moonlight,City Girl,City Girl,176.0,54959,Provided to YouTube by Routenote Time Falls Like Moonlight · City Girl Time Falls Like Moonlight ℗ City Girl Released on: ...,EXACT_RECORDING,,,,
stage5b-representative-library-review-v1,stage5b_library_v1_019,50oEtTUNlce4TuZXQoJzXW,urs,NIKI,wanna take this downtown?,156.5,2019,Tlob6tNlOuE,https://www.youtube.com/watch?v=Tlob6tNlOuE,urs,NIKI,NIKI,157.0,1987024,Provided to YouTube by The Orchard Enterprises urs · NIKI · Nicole Zefanya wanna take this downtown? ℗ 2019 88rising Records ...,EXACT_RECORDING,,,,
stage5b-representative-library-review-v1,stage5b_library_v1_020,4cIdkNr1q78RDayIH9a3QA,Hold Me,Zaini | Nuxe | Cold Illumination,Hold Me,139.875,2019,Jhj1okUhs4g,https://www.youtube.com/watch?v=Jhj1okUhs4g,Nuxe X Zaini - Hold Me (feat. Cold Illumination),Zaini,Zaini,140.0,45106,Must always credit in title (Prod. Nuxe & Zaini) Listen / Save on Spotify: ...,EXACT_RECORDING,,,,
stage5b-representative-library-review-v1,stage5b_library_v1_021,21UPL4RXZPmg2TZ2DgWADj,Feels Like You,Faime,Feels Like You,198.912,2020,zqIdwXuUemA,https://www.youtube.com/watch?v=zqIdwXuUemA,Faime - Feels Like You (Official Audio),Faime,Faime,199.0,3683929,stream/download: https://faime.lnk.to/FeelsLikeYou.,EXACT_RECORDING,,,,
stage5b-representative-library-review-v1,stage5b_library_v1_022,3GJTkh9w9IBLS0vszvekyL,Slowly,Weston Estate,Slowly,173.661,2023,LNauH5q8pQY,https://www.youtube.com/watch?v=LNauH5q8pQY,Weston Estate - Slowly (Official Audio),Weston Estate,Weston Estate,174.0,375098,Stream Slowly here: https://westonestate.lnk.to/slowly Follow Weston Estate: Instagram: https://www.instagram.com/westonestate ...,EXACT_RECORDING,,,,
stage5b-representative-library-review-v1,stage5b_library_v1_023,35ZccqI4iHVR0puhGc1u0U,MANIAC,VIVIZ,The 4th Mini Album 'VERSUS',195.52,2023,MG9aV0r8SWg,https://www.youtube.com/watch?v=MG9aV0r8SWg,VIVIZ MANIAC Lyrics (Color Coded Lyrics),Chaereve,Chaereve,195.0,2868665,All Administrated by BPM Entertainment ≈ Artist: VIVIZ ≈ Song: MANIAC ≈ Album: VERSUS ≈ Released: 2023.11.02 .,EXACT_RECORDING,,,,
