review_schema_version,benchmark_id,spotify_track_id,expected_title,expected_artists,expected_album,expected_duration_seconds,expected_release_year,search_query,youtube_rank,candidate_video_id,candidate_url,candidate_title,candidate_uploader,candidate_channel,candidate_duration_seconds,candidate_view_count,candidate_description,candidate_review_label,candidate_note,track_note
stage5b2-youtube-prior-human-review-v1,stage5b_youtube_prior_v1_001,2wObShFfEpKWTdpVQCMsDg,都不懂,Yihuik苡慧,都不懂,152.851,2021,都不懂 Yihuik苡慧,1,ETSwvFjPJFY,https://www.youtube.com/watch?v=ETSwvFjPJFY,yihuik苡慧 - 都不懂（原唱：step.jad & $ign K）【動態歌詞】「不只是只有你能說 看得清的人聲音重」♪,Angelic Music World,Angelic Music World,153.0,1145677,請訂閱Angelic Music World ❖ ❖ Follow our Instagram: https://www.instagram.com/angelicmusicworld/ ...,ACCEPTABLE,,
stage5b2-youtube-prior-human-review-v1,stage5b_youtube_prior_v1_001,2wObShFfEpKWTdpVQCMsDg,都不懂,Yihuik苡慧,都不懂,152.851,2021,都不懂 Yihuik苡慧,2,i_RaqFLm2Vg,https://www.youtube.com/watch?v=i_RaqFLm2Vg,yihuik苡慧 - 都不懂 (氛围版) |「咖啡在桌台上 有时会随便想 美丽在你的脸上 梦里我随便唱」|【动态歌词 Lyrics】,JTMusicChannel,JTMusicChannel,124.0,701,订阅频道收听更多好听的歌曲‪‪ @JTMusicChannel05 ❖ 记得开启铃铛，接收最新的音乐通知!!! ❖ 喜欢的朋友记得要分享出去让更多‬‬ ...,,,
stage5b2-youtube-prior-human-review-v1,stage5b_youtube_prior_v1_001,2wObShFfEpKWTdpVQCMsDg,都不懂,Yihuik苡慧,都不懂,152.851,2021,都不懂 Yihuik苡慧,3,eAs4Z_9I5LA,https://www.youtube.com/watch?v=eAs4Z_9I5LA,estrangement,yihuik - Topic,yihuik - Topic,153.0,890692,Provided to YouTube by Sony Music Entertainment estrangement · Yihuik estrangement ℗ 2021 Sony Music Entertainment China ...,,,
stage5b2-youtube-prior-human-review-v1,stage5b_youtube_prior_v1_002,1WGs0Xd1PRnZRPpwdtDXAs,On the Train Somewhere Between My Apartment and You,City Girl,Loveless Shadows,178.285,2017,On the Train Somewhere Between My Apartment and You City Girl,1,pr_oSsUtfiw,https://www.youtube.com/watch?v=pr_oSsUtfiw,city girl | on the train somewhere between my apartment and you,City Girl,City Girl,179.0,56875,soundcloud: https://soundcloud.com/citygrl ▻ bandcamp: https://city-girl.bandcamp.com/ ▻ twitter: https://twitter.com/citygirltime ...,IDEAL,,
stage5b2-youtube-prior-human-review-v1,stage5b_youtube_prior_v1_002,1WGs0Xd1PRnZRPpwdtDXAs,On the Train Somewhere Between My Apartment and You,City Girl,Loveless Shadows,178.285,2017,On the Train Somewhere Between My Apartment and You City Girl,2,Vg1_MtV8FDo,https://www.youtube.com/watch?v=Vg1_MtV8FDo,City girl - On the Train somewhere between my apartment and you,MayX Music,MayX Music,179.0,761,"This song is so relaxing ○• □If you liked this song, go check out the artist □ 》  Follow City girl: ...",,,
stage5b2-youtube-prior-human-review-v1,stage5b_youtube_prior_v1_002,1WGs0Xd1PRnZRPpwdtDXAs,On the Train Somewhere Between My Apartment and You,City Girl,Loveless Shadows,178.285,2017,On the Train Somewhere Between My Apartment and You City Girl,3,i6huQgegvt4,https://www.youtube.com/watch?v=i6huQgegvt4,city girl - on the train somewhere between my apartment and you,Aruarian Music,Aruarian Music,179.0,36311,Enjoy this kind of music? Follow us on Spotify! ♫ » http://bit.ly/aruarian_spotify Music by city girl https://soundcloud.com/citygrl ...,,,
stage5b2-youtube-prior-human-review-v1,stage5b_youtube_prior_v1_003,0P6AWOA4LG1XOctzaVu5tt,The Weekend - Funk Wav Remix,SZA | Calvin Harris | Funk Wav,The Weekend (Funk Wav Remix),171.805,2017,The Weekend - Funk Wav Remix SZA,1,ByucbuSe958,https://www.youtube.com/watch?v=ByucbuSe958,SZA x Calvin Harris - The Weekend (Funk Wav Remix (Audio)),SZA,SZA,174.0,40789249,The Weekend (Funk Wav Remix)” by SZA and Calvin Harris Listen to SZA: https://Sza.lnk.to/listenYD Subscribe to the official SZA ...,IDEAL,,
stage5b2-youtube-prior-human-review-v1,stage5b_youtube_prior_v1_003,0P6AWOA4LG1XOctzaVu5tt,The Weekend - Funk Wav Remix,SZA | Calvin Harris | Funk Wav,The Weekend (Funk Wav Remix),171.805,2017,The Weekend - Funk Wav Remix SZA,2,AA21pOP3UHg,https://www.youtube.com/watch?v=AA21pOP3UHg,@sza x @CalvinHarris - The Weekend (Funk Wav Remix) Lyrics,Dan Music,Dan Music,172.0,80099,"SZA, Calvin Harris - The Weekend (Funk Wav Remix) Lyrics Stream ""The Weekend"" by SZA x Calvin Harris: ...",,,
stage5b2-youtube-prior-human-review-v1,stage5b_youtube_prior_v1_003,0P6AWOA4LG1XOctzaVu5tt,The Weekend - Funk Wav Remix,SZA | Calvin Harris | Funk Wav,The Weekend (Funk Wav Remix),171.805,2017,The Weekend - Funk Wav Remix SZA,3,_eGGC_I9vZM,https://www.youtube.com/watch?v=_eGGC_I9vZM,SZA - The Weekend ft. Calvin Harris ( funk wav Remix)  | l y r i c s |,cefalyrics,cefalyrics,174.0,159074,"I've been obssesed with this song lately and I had to do the lyrics. Hope you enjoy it, if you did give it a thumbs up and subscribe ...",,,
stage5b2-youtube-prior-human-review-v1,stage5b_youtube_prior_v1_004,2ZlzUxSV0Pir7oBn28OZCg,Growls and Purrs,JO YURI,Growls and Purrs,199.026,2025,Growls and Purrs JO YURI,1,EIL1MXBv8Pk,https://www.youtube.com/watch?v=EIL1MXBv8Pk,조유리 (JO YURI) | '개와 고양이의 시간 (Growls and Purrs)' VHS Diary,조유리 JO YURI,조유리 JO YURI,201.0,7666822,JO YURI Official YouTube Channel YouTube :: youtube.com/c/JOYURI_offcl TikTok :: https://www.tiktok.com/@joyuri.offcl ...,IDEAL,,
