stage5c1_track_id,stage5c1_A01,stage5c1_A02,stage5c1_A03,stage5c1_A04,stage5c1_A05,stage5c1_B01,stage5c1_B02,stage5c1_B03,stage5c1_B04,stage5c1_B05,stage5c1_C01,stage5c1_C02,stage5c1_C03,stage5c1_C04,stage5c1_C05,stage5c1_D01,stage5c1_D02,stage5c1_D03,stage5c1_D04,stage5c1_D05,stage5c1_E01,stage5c1_E02,stage5c1_E03,stage5c1_E04,stage5c1_E05
stage5c1_A01,1.000000000,0.847664351,0.743231781,0.776928912,0.657700970,0.493246598,0.481195903,0.532158837,0.541815095,0.707695525,0.719009511,0.806814394,0.572866717,0.763092418,0.769741543,0.415186200,0.572602518,0.469850016,0.620392133,0.811858317,0.577826705,0.550537584,0.655275906,0.635941221,0.572300621
stage5c1_A02,0.847664351,1.000000000,0.859076310,0.766942556,0.690302728,0.407692305,0.402404039,0.475054758,0.465550560,0.601919238,0.734775719,0.661996517,0.659506659,0.678959452,0.689580580,0.370203907,0.508069700,0.412101221,0.450740633,0.627198199,0.492243372,0.464172049,0.508904417,0.662076885,0.571360521
stage5c1_A03,0.743231781,0.859076310,1.000000000,0.750717179,0.746791810,0.362939121,0.348672305,0.468488967,0.391376616,0.568252657,0.772649922,0.618488863,0.703019776,0.660133977,0.694800622,0.293239360,0.466031124,0.346867849,0.406712087,0.560942005,0.479735405,0.469974502,0.482731191,0.635316183,0.570103575
stage5c1_A04,0.776928912,0.766942556,0.750717179,1.000000000,0.663532614,0.502062881,0.391581885,0.537396078,0.452986876,0.639422633,0.695827365,0.709199394,0.661175164,0.716272227,0.705239782,0.361145276,0.603406856,0.460782313,0.461900476,0.692050553,0.619344771,0.463972238,0.568838775,0.755015677,0.695967694
stage5c1_A05,0.657700970,0.690302728,0.746791810,0.663532614,1.000000000,0.477173452,0.469774375,0.555183087,0.437542040,0.581847855,0.611882204,0.701479963,0.596577005,0.687962485,0.678062233,0.382652384,0.550106894,0.453040137,0.405577008,0.631945090,0.528570250,0.462310703,0.466015503,0.668691864,0.648560134
stage5c1_B01,0.493246598,0.407692305,0.362939121,0.502062881,0.477173452,1.000000000,0.802024350,0.875754225,0.798614516,0.732833894,0.448558319,0.595486461,0.437372711,0.507257207,0.610267051,0.795569490,0.627965133,0.829237879,0.587831588,0.622481720,0.687860044,0.546617592,0.549305606,0.304143099,0.695816492
stage5c1_B02,0.481195903,0.402404039,0.348672305,0.391581885,0.469774375,0.802024350,1.000000000,0.782792280,0.730350619,0.693473763,0.443089578,0.511310799,0.399101795,0.459561109,0.644540481,0.745524229,0.531051137,0.733195927,0.509728091,0.516777795,0.692175284,0.600799582,0.456069032,0.232201668,0.592611246
stage5c1_B03,0.532158837,0.475054758,0.468488967,0.537396078,0.555183087,0.875754225,0.782792280,1.000000000,0.816008379,0.717199645,0.537299260,0.573882675,0.481808620,0.544774026,0.673664046,0.832326841,0.573548559,0.803146357,0.657253210,0.690287520,0.799434358,0.567820115,0.611869995,0.411166960,0.840240730
stage5c1_B04,0.541815095,0.465550560,0.391376616,0.452986876,0.437542040,0.798614516,0.730350619,0.816008379,1.000000000,0.678061287,0.441256409,0.487806335,0.431184210,0.491855766,0.580158142,0.911291707,0.558627037,0.749267069,0.702907260,0.644647259,0.619607940,0.530573805,0.559323736,0.360734663,0.670537219
stage5c1_B05,0.707695525,0.601919238,0.568252657,0.639422633,0.581847855,0.732833894,0.693473763,0.717199645,0.678061287,1.000000000,0.596438049,0.656149233,0.538406158,0.604167106,0.657643782,0.613191151,0.584166789,0.598847724,0.643542167,0.730433567,0.761500343,0.714722628,0.671569923,0.475312463,0.703678528
