stage5c1_track_id,stage5c1_A01,stage5c1_A02,stage5c1_A03,stage5c1_A04,stage5c1_A05,stage5c1_B01,stage5c1_B02,stage5c1_B03,stage5c1_B04,stage5c1_B05,stage5c1_C01,stage5c1_C02,stage5c1_C03,stage5c1_C04,stage5c1_C05,stage5c1_D01,stage5c1_D02,stage5c1_D03,stage5c1_D04,stage5c1_D05,stage5c1_E01,stage5c1_E02,stage5c1_E03,stage5c1_E04,stage5c1_E05
stage5c1_A01,1.000000000,0.799444137,0.698826011,0.732406131,0.643088902,0.501620822,0.401658572,0.564217059,0.507407465,0.717111882,0.733504524,0.768285628,0.513384855,0.749303079,0.779769639,0.433182601,0.571974327,0.509865243,0.559377111,0.761316732,0.594287421,0.506826812,0.599447486,0.637527784,0.596848847
stage5c1_A02,0.799444137,1.000000000,0.806014898,0.741406487,0.609973738,0.429196708,0.332004922,0.467163076,0.423687127,0.601857159,0.713441261,0.636296349,0.653027482,0.673540300,0.641362213,0.354905171,0.477472006,0.427328318,0.409847532,0.567379052,0.504906179,0.438915864,0.494810189,0.586180093,0.542414871
stage5c1_A03,0.698826011,0.806014898,1.000000000,0.721403709,0.691833863,0.393908374,0.293664728,0.477953932,0.340668634,0.582015808,0.736810220,0.592967564,0.651541439,0.634226135,0.633095529,0.298385117,0.437174257,0.366895429,0.358230033,0.484898052,0.485404975,0.424907809,0.434816598,0.559090258,0.547149393
stage5c1_A04,0.732406131,0.741406487,0.721403709,1.000000000,0.579481959,0.505653489,0.337195110,0.532580262,0.392962993,0.617110458,0.638538984,0.682711313,0.632416667,0.698245066,0.653617139,0.363397511,0.592992674,0.460405406,0.410480510,0.631696614,0.615943299,0.429574348,0.519585345,0.710179897,0.676644136
stage5c1_A05,0.643088902,0.609973738,0.691833863,0.579481959,1.000000000,0.476230670,0.422062161,0.571096298,0.436738581,0.556680687,0.605391667,0.615075490,0.515112401,0.599105900,0.640892694,0.394149070,0.523652459,0.498705662,0.393779561,0.587510396,0.524796418,0.472678401,0.448418642,0.620824886,0.624940712
stage5c1_B01,0.501620822,0.429196708,0.393908374,0.505653489,0.476230670,1.000000000,0.668659049,0.869562970,0.761515944,0.766258985,0.441676484,0.640636353,0.406065455,0.546209088,0.578426287,0.789581896,0.619011488,0.811448843,0.612004476,0.619728992,0.628228826,0.524936177,0.563381784,0.326792378,0.674456838
stage5c1_B02,0.401658572,0.332004922,0.293664728,0.337195110,0.422062161,0.668659049,1.000000000,0.643475185,0.621254262,0.564158043,0.429443870,0.388685164,0.339291727,0.390390513,0.577374519,0.635196296,0.518070264,0.640486082,0.418839644,0.407294334,0.641649112,0.564114196,0.420412796,0.197017321,0.535689240
stage5c1_B03,0.564217059,0.467163076,0.477953932,0.532580262,0.571096298,0.869562970,0.643475185,1.000000000,0.792693446,0.739158304,0.552817603,0.616831339,0.435404807,0.587759616,0.657003397,0.833277396,0.593578285,0.818326142,0.685439622,0.691705159,0.744128423,0.559938453,0.621290898,0.444489755,0.821730280
stage5c1_B04,0.507407465,0.423687127,0.340668634,0.392962993,0.436738581,0.761515944,0.621254262,0.792693446,1.000000000,0.633734978,0.449831786,0.459017977,0.401030389,0.511479969,0.580200208,0.915071565,0.600071214,0.772688545,0.750567810,0.660558988,0.563620592,0.571073121,0.630379708,0.364063802,0.634885679
stage5c1_B05,0.717111882,0.601857159,0.582015808,0.617110458,0.556680687,0.766258985,0.564158043,0.739158304,0.633734978,1.000000000,0.589261901,0.693854998,0.453063976,0.639870168,0.637713935,0.626824392,0.584160848,0.620001069,0.615605467,0.678497056,0.689554431,0.629734440,0.627556134,0.469019330,0.681082926
