stage5c1_track_id,stage5c1_A01,stage5c1_A02,stage5c1_A03,stage5c1_A04,stage5c1_A05,stage5c1_B01,stage5c1_B02,stage5c1_B03,stage5c1_B04,stage5c1_B05,stage5c1_C01,stage5c1_C02,stage5c1_C03,stage5c1_C04,stage5c1_C05,stage5c1_D01,stage5c1_D02,stage5c1_D03,stage5c1_D04,stage5c1_D05,stage5c1_E01,stage5c1_E02,stage5c1_E03,stage5c1_E04,stage5c1_E05
stage5c1_A01,1.000000000,0.677095200,0.586155449,0.619438677,0.606013766,0.522868706,0.199848851,0.645558246,0.420105135,0.741003965,0.770282656,0.670526761,0.362461790,0.714315447,0.805213884,0.478844789,0.570380421,0.611395700,0.404563965,0.633077793,0.636053123,0.395919662,0.457794285,0.641553364,0.659134954
stage5c1_A02,0.677095200,1.000000000,0.671382411,0.676613930,0.406155347,0.483759734,0.153381552,0.447139545,0.317467225,0.601699644,0.659309435,0.571087428,0.636587894,0.659790309,0.519017960,0.316087756,0.399836610,0.465963964,0.306089646,0.415600195,0.537035461,0.374833458,0.459048967,0.393607498,0.468971200
stage5c1_A03,0.586155449,0.671382411,1.000000000,0.647026770,0.552389306,0.472486522,0.154094246,0.501969348,0.212007494,0.616936992,0.645874301,0.528212484,0.520925680,0.568490281,0.476531471,0.311441426,0.363955855,0.417711319,0.235216732,0.291952066,0.499790349,0.310560289,0.313243112,0.365682554,0.488907849
stage5c1_A04,0.619438677,0.676613930,0.647026770,1.000000000,0.366220602,0.514763921,0.199199785,0.520361114,0.240664661,0.560497873,0.493181427,0.615503222,0.559447859,0.652504831,0.522635233,0.369112099,0.566568818,0.459449082,0.280012857,0.478560830,0.607312759,0.342296735,0.394614833,0.596418271,0.627614557
stage5c1_A05,0.606013766,0.406155347,0.552389306,0.366220602,1.000000000,0.473838552,0.301002169,0.611472820,0.434699970,0.492824141,0.588923255,0.395841801,0.308412620,0.373650478,0.546582586,0.423319560,0.456529740,0.614572599,0.363845952,0.474766444,0.515221092,0.498984315,0.403770203,0.499372212,0.565011258
stage5c1_B01,0.522868706,0.483759734,0.472486522,0.514763921,0.473838552,1.000000000,0.330271860,0.853853928,0.667385901,0.851068320,0.424215234,0.755194974,0.326629693,0.645041523,0.497636856,0.774389602,0.596293444,0.766312800,0.673338237,0.612744507,0.476926800,0.469924020,0.599097207,0.384260292,0.620261081
stage5c1_B02,0.199848851,0.153381552,0.154094246,0.199199785,0.301002169,0.330271860,1.000000000,0.289986535,0.344444559,0.236045839,0.394820674,0.077547679,0.187535906,0.214884265,0.406954619,0.355261721,0.485133951,0.405253801,0.188228789,0.129502431,0.513449278,0.471032529,0.329942386,0.107744232,0.391261284
stage5c1_B03,0.645558246,0.447139545,0.501969348,0.520361114,0.611472820,0.853853928,0.289986535,1.000000000,0.733536568,0.794873915,0.592192224,0.725804795,0.317664616,0.696826766,0.614730405,0.835689234,0.644399621,0.856841741,0.756956880,0.695302130,0.603800918,0.539940348,0.645194515,0.529039534,0.774763795
stage5c1_B04,0.420105135,0.317467225,0.212007494,0.240664661,0.434699970,0.667385901,0.344444559,0.733536568,1.000000000,0.521266031,0.471590051,0.385973403,0.324521233,0.561272374,0.580306941,0.924662183,0.705227344,0.832115751,0.871496714,0.700931747,0.421564142,0.673831857,0.810669712,0.372510811,0.544427184
stage5c1_B05,0.741003965,0.601699644,0.616936992,0.560497873,0.492824141,0.851068320,0.236045839,0.794873915,0.521266031,1.000000000,0.571053892,0.789525669,0.236525635,0.730459388,0.587146024,0.661415953,0.584145773,0.673673357,0.544721803,0.546718778,0.507006388,0.414094285,0.515880143,0.453051790,0.623751207
stage5c1_C01,0.770282656,0.659309435,0.645874301,0.493181427,0.588923255,0.424215234,0.394820674,0.592192224,0.471590051,0.571053892,1.000000000,0.473039356,0.489332341,0.699654403,0.829051557,0.503737167,0.593131196,0.645328461,0.391813219,0.465972457,0.760822565,0.558258628,0.574520592,0.516206759,0.684798359
stage5c1_C02,0.670526761,0.571087428,0.528212484,0.615503222,0.395841801,0.755194974,0.077547679,0.725804795,0.385973403,0.789525669,0.473039356,1.000000000,0.371983549,0.759278187,0.563743854,0.533536279,0.438630142,0.600106328,0.533192130,0.613127623,0.469728810,0.264051788,0.420619394,0.402172830,0.556142069
stage5c1_C03,0.362461790,0.636587894,0.520925680,0.559447859,0.308412620,0.326629693,0.187535906,0.317664616,0.324521233,0.236525635,0.489332341,0.371983549,1.000000000,0.490940022,0.470170449,0.307845988,0.338232333,0.421228974,0.290921941,0.333349032,0.378568378,0.310326051,0.413273810,0.224909572,0.280511649
stage5c1_C04,0.714315447,0.659790309,0.568490281,0.652504831,0.373650478,0.645041523,0.214884265,0.696826766,0.561272374,0.730459388,0.699654403,0.759278187,0.490940022,1.000000000,0.756174755,0.668975713,0.681186898,0.709014883,0.628805057,0.653105462,0.585478711,0.502610853,0.680467746,0.496640742,0.671249935
stage5c1_C05,0.805213884,0.519017960,0.476531471,0.522635233,0.546582586,0.497636856,0.406954619,0.614730405,0.580306941,0.587146024,0.829051557,0.563743854,0.470170449,0.756174755,1.000000000,0.628270699,0.713660987,0.746050216,0.523578576,0.649703161,0.683179759,0.550526066,0.660263156,0.543426400,0.663230147
stage5c1_D01,0.478844789,0.316087756,0.311441426,0.369112099,0.423319560,0.774389602,0.355261721,0.835689234,0.924662183,0.661415953,0.503737167,0.533536279,0.307845988,0.668975713,0.628270699,1.000000000,0.748978951,0.863696955,0.876413162,0.732209170,0.489031765,0.620465497,0.817863330,0.370788048,0.612949940
stage5c1_D02,0.570380421,0.399836610,0.363955855,0.566568818,0.456529740,0.596293444,0.485133951,0.644399621,0.705227344,0.584145773,0.593131196,0.438630142,0.338232333,0.681186898,0.713660987,0.748978951,1.000000000,0.773237640,0.558808949,0.604110906,0.663616189,0.631777864,0.728929090,0.582644389,0.700261085
stage5c1_D03,0.611395700,0.465963964,0.417711319,0.459449082,0.614572599,0.766312800,0.405253801,0.856841741,0.832115751,0.673673357,0.645328461,0.600106328,0.421228974,0.709014883,0.746050216,0.863696955,0.773237640,1.000000000,0.751789397,0.720769640,0.622670552,0.666136909,0.815555236,0.504895305,0.715082071
