stage5c2_track_id,stage5c2_001,stage5c2_002,stage5c2_003,stage5c2_004,stage5c2_005,stage5c2_006,stage5c2_007,stage5c2_009,stage5c2_010,stage5c2_011,stage5c2_012,stage5c2_013,stage5c2_014,stage5c2_015,stage5c2_016,stage5c2_017,stage5c2_018,stage5c2_020,stage5c2_021,stage5c2_022,stage5c2_023,stage5c2_024,stage5c2_025,stage5c2_026,stage5c2_027,stage5c2_028,stage5c2_029,stage5c2_030,stage5c2_031,stage5c2_032,stage5c2_033,stage5c2_034,stage5c2_035,stage5c2_036,stage5c2_037,stage5c2_038,stage5c2_039,stage5c2_040,stage5c2_041,stage5c2_042,stage5c2_043,stage5c2_044,stage5c2_045,stage5c2_046,stage5c2_047,stage5c2_048,stage5c2_049,stage5c2_050,stage5c2_051,stage5c2_052,stage5c2_053,stage5c2_054,stage5c2_055,stage5c2_056,stage5c2_057,stage5c2_058,stage5c2_059,stage5c2_060,stage5c2_061,stage5c2_062,stage5c2_063,stage5c2_064,stage5c2_065,stage5c2_066,stage5c2_067,stage5c2_068,stage5c2_069,stage5c2_070,stage5c2_071,stage5c2_072,stage5c2_073,stage5c2_074,stage5c2_075,stage5c2_076,stage5c2_077,stage5c2_078,stage5c2_079,stage5c2_080,stage5c2_081,stage5c2_082,stage5c2_083,stage5c2_084,stage5c2_085,stage5c2_086,stage5c2_087,stage5c2_088,stage5c2_089,stage5c2_090,stage5c2_091,stage5c2_092,stage5c2_093,stage5c2_094,stage5c2_095,stage5c2_096,stage5c2_097,stage5c2_098,stage5c2_099,stage5c2_100
stage5c2_001,1.000000000,0.746379039,0.856640732,0.743499762,0.536630164,0.662409235,0.677348600,0.827746552,0.564581509,0.518972925,0.653091157,0.441748772,0.725032790,0.663084219,0.684045822,0.483979104,0.843744472,0.844870488,0.482387003,0.486827767,0.527247155,0.531485524,0.663597667,0.660649574,0.732378587,0.809613075,0.468262475,0.657293603,0.603666422,0.671087050,0.533913197,0.684462384,0.644947496,0.703437207,0.635218853,0.604951725,0.681159667,0.597556303,0.681629605,0.830461174,0.421147239,0.605275309,0.642337976,0.775957692,0.684912408,0.712223166,0.579505133,0.716746442,0.727600544,0.731431223,0.654694112,0.679740928,0.528691604,0.786722486,0.521416262,0.677179754,0.803507908,0.594378602,0.604668541,0.514792385,0.660330444,0.656500906,0.675806677,0.632652348,0.563575536,0.409452140,0.773119492,0.878914437,0.791234808,0.574267433,0.573905334,0.764208105,0.642917140,0.868235574,0.631479958,0.752061990,0.625411177,0.645655510,0.827177114,0.596413384,0.801051660,0.521456599,0.630745277,0.622213516,0.529332623,0.796907527,0.813528023,0.739424920,0.744106405,0.500210251,0.814863164,0.613878740,0.694280148,0.842634277,0.810487816,0.758997864,0.784907387,0.713159178
stage5c2_002,0.746379039,1.000000000,0.799458584,0.760521487,0.577691499,0.556149200,0.831456685,0.741584243,0.564411242,0.523574616,0.565933323,0.495094614,0.886749066,0.591752663,0.656428877,0.463006743,0.918626879,0.746911738,0.447644032,0.542896292,0.427853274,0.564769167,0.556468080,0.700766352,0.749351368,0.869567085,0.557516254,0.501989741,0.604082264,0.743347702,0.701748951,0.727011782,0.615994699,0.694751540,0.490320256,0.496411978,0.633386907,0.546540393,0.853639153,0.835702638,0.388571775,0.808411526,0.518556989,0.697111675,0.731648654,0.681727091,0.512662979,0.738712254,0.758753922,0.870198559,0.730208744,0.772556204,0.571186174,0.830495135,0.639074995,0.697305556,0.842305688,0.799111160,0.538140904,0.490878679,0.558139850,0.538408254,0.728543172,0.641369618,0.711615862,0.526737644,0.662104115,0.746999849,0.776153149,0.697473170,0.610665180,0.746688982,0.688665946,0.797714252,0.803030738,0.771362260,0.565767028,0.688197421,0.833535624,0.470232689,0.691792333,0.544670574,0.624593359,0.614616600,0.640973244,0.825968297,0.781412765,0.805145200,0.820919115,0.631040888,0.771280539,0.624094102,0.582653457,0.794504245,0.710583276,0.742362027,0.704518243,0.743188124
stage5c2_003,0.856640732,0.799458584,1.000000000,0.823027627,0.675658080,0.754410243,0.735133412,0.877013790,0.651971744,0.617618705,0.747321350,0.583575439,0.770851401,0.729037141,0.695913705,0.566649861,0.834242754,0.827852470,0.605308818,0.657122134,0.636263600,0.739667053,0.714498734,0.778461830,0.678284707,0.859230231,0.662398153,0.646801479,0.658659996,0.747785734,0.684129384,0.769735802,0.756972308,0.887210659,0.702527682,0.618946839,0.761901794,0.698074651,0.751525298,0.892014764,0.504022842,0.736494632,0.697678295,0.836981501,0.818103937,0.755733909,0.675855716,0.703991713,0.710280976,0.830072956,0.656071231,0.799948754,0.637166810,0.827612898,0.623571610,0.783421437,0.793123518,0.750723303,0.681795071,0.644430037,0.738491542,0.749903008,0.768773766,0.760125001,0.701418591,0.559701179,0.804465604,0.865997913,0.833226846,0.715176636,0.754254793,0.837497053,0.783546157,0.884778320,0.800529960,0.756735424,0.710074946,0.715789828,0.845518279,0.568587779,0.763718580,0.622168599,0.675724588,0.739302482,0.666349674,0.865573796,0.835826602,0.758022334,0.824761464,0.690387959,0.807446374,0.747428960,0.778933145,0.889567448,0.838595048,0.766622901,0.738909444,0.702432576
stage5c2_004,0.743499762,0.760521487,0.823027627,1.000000000,0.805555701,0.714702558,0.759624846,0.785798411,0.863254243,0.610780729,0.769233257,0.606674338,0.824574104,0.603871119,0.626115502,0.690741216,0.790983965,0.845393325,0.627160348,0.668989603,0.610625200,0.702794943,0.781052708,0.787612011,0.618785522,0.801789109,0.588134590,0.677950121,0.811017209,0.748344722,0.719408686,0.855424489,0.800568906,0.826122977,0.769666403,0.662962770,0.754586071,0.721378445,0.747231546,0.742151343,0.472357237,0.694333228,0.711619982,0.803390904,0.867417622,0.752551390,0.582155495,0.729642295,0.694374242,0.768378993,0.616419302,0.772505929,0.729393104,0.828956071,0.564799119,0.861254336,0.751679541,0.737364920,0.708999921,0.686730510,0.708041455,0.739433923,0.753153033,0.739733361,0.795809572,0.596923329,0.756541197,0.767324086,0.733487650,0.815337885,0.667400337,0.895804192,0.697709372,0.806435422,0.769200677,0.685952690,0.729080555,0.819626753,0.777682343,0.581190141,0.641363015,0.629929359,0.752474438,0.825201470,0.696141704,0.791716488,0.853096936,0.719939030,0.707426591,0.663833168,0.776394757,0.640174462,0.777384128,0.783067535,0.856870993,0.721214919,0.801590796,0.669126086
stage5c2_005,0.536630164,0.577691499,0.675658080,0.805555701,1.000000000,0.659792196,0.630014480,0.619197338,0.814807075,0.709948428,0.742235444,0.661131636,0.591928764,0.616059530,0.522791065,0.741815044,0.560655898,0.673553906,0.665787307,0.850884829,0.741016905,0.771942384,0.633311029,0.826020657,0.434368870,0.583959137,0.733295117,0.607605519,0.750324133,0.696153830,0.754720494,0.707642218,0.732735768,0.803473843,0.788788968,0.683239147,0.689833387,0.631758253,0.505217941,0.533444825,0.642741710,0.619679099,0.677042838,0.674304887,0.879242919,0.643143772,0.672595870,0.621614876,0.560949707,0.617460025,0.478220370,0.785864199,0.752527313,0.608211988,0.647596344,0.883292070,0.580501682,0.703407439,0.837536969,0.732519383,0.748272226,0.748351290,0.679614849,0.722677952,0.861849679,0.720435273,0.682623469,0.617077875,0.625571067,0.788356668,0.779680422,0.821578224,0.749640830,0.682908799,0.751299613,0.536172956,0.726848967,0.801656109,0.596746175,0.501944809,0.432097635,0.763669615,0.593310956,0.733772668,0.731925951,0.647305473,0.736146669,0.616923727,0.645936193,0.787215438,0.632062295,0.702606567,0.712144160,0.617776592,0.650298549,0.513872379,0.549963428,0.612947700
stage5c2_006,0.662409235,0.556149200,0.754410243,0.714702558,0.659792196,1.000000000,0.635729953,0.693360417,0.613264663,0.657637015,0.740718735,0.620557231,0.579447194,0.747008476,0.606509391,0.581507916,0.624258305,0.737643357,0.666855843,0.625734173,0.647692452,0.723721710,0.824803996,0.703952497,0.517507545,0.668130410,0.574671112,0.825131914,0.638279664,0.542308893,0.547298350,0.680509569,0.681962104,0.730653262,0.667187273,0.589207892,0.821240574,0.840809290,0.493161059,0.697632347,0.485648809,0.493248493,0.670104630,0.722406372,0.721899516,0.627426186,0.566089625,0.567953419,0.561056891,0.616837641,0.521908577,0.680659384,0.737642911,0.634734245,0.473034770,0.701455354,0.582729177,0.576940680,0.627571154,0.785214022,0.627085556,0.702159733,0.698955114,0.705233233,0.656803422,0.489092113,0.829652180,0.734460965,0.722051158,0.632431384,0.661882925,0.705319668,0.618107275,0.775820499,0.627334391,0.631558188,0.734663165,0.711320527,0.681896425,0.660194464,0.569335383,0.513340958,0.651881260,0.846750563,0.798322039,0.715057803,0.650691941,0.639267274,0.719401517,0.580209340,0.801419564,0.848386424,0.728547944,0.745093043,0.727369427,0.636421551,0.559328202,0.517196359
stage5c2_007,0.677348600,0.831456685,0.735133412,0.759624846,0.630014480,0.635729953,1.000000000,0.705426243,0.607058876,0.484993120,0.565777861,0.469785236,0.872828371,0.565173924,0.700349674,0.450626367,0.861641672,0.796541177,0.395836314,0.548688891,0.502440503,0.573940957,0.609896462,0.679220144,0.724998990,0.850431675,0.548038674,0.543563182,0.583476546,0.789232052,0.607713000,0.762952257,0.614244384,0.694137011,0.530787488,0.474999046,0.677315057,0.618834931,0.695106768,0.786242023,0.334766790,0.775564325,0.488543132,0.769663693,0.762942085,0.610018341,0.451183415,0.728342142,0.824947074,0.824971349,0.728950742,0.721926086,0.657723013,0.776242034,0.543331352,0.749914069,0.821777405,0.782700570,0.588939625,0.532915642,0.511687638,0.563198227,0.672432294,0.661347030,0.689674748,0.433002803,0.692684011,0.715449509,0.755884872,0.737057819,0.579401207,0.774270595,0.668825007,0.817030452,0.798551347,0.816847353,0.577508365,0.728597803,0.747585994,0.564555080,0.729345018,0.492656296,0.569954625,0.604713777,0.765556735,0.817150349,0.803885347,0.806278811,0.822000638,0.588115345,0.853956025,0.641918663,0.607316889,0.699753697,0.680471554,0.708856378,0.624930038,0.707070987
stage5c2_009,0.827746552,0.741584243,0.877013790,0.785798411,0.619197338,0.693360417,0.705426243,1.000000000,0.620508363,0.550840013,0.705143459,0.488762888,0.723246904,0.776070028,0.671699544,0.546435239,0.811925215,0.797998226,0.597025867,0.588177017,0.487532481,0.634731612,0.706411843,0.725621798,0.802152183,0.815382299,0.503176669,0.721499333,0.734225462,0.710830307,0.635865755,0.779447745,0.736654525,0.782969716,0.671779905,0.676167445,0.652428027,0.634070621,0.670106690,0.842915166,0.426305360,0.712536175,0.652363684,0.837975295,0.765708828,0.717165247,0.564558731,0.761930074,0.789526810,0.776081645,0.716856450,0.733477744,0.611312396,0.831919960,0.456959722,0.748447294,0.857683573,0.666285180,0.527371252,0.481498186,0.630453329,0.698205031,0.724488174,0.804820585,0.655146568,0.469242597,0.787461615,0.923947918,0.870134034,0.700856962,0.610759921,0.837555534,0.641487353,0.881904166,0.704229241,0.839561942,0.712381860,0.739506587,0.860577961,0.605457658,0.842168023,0.467928117,0.614909686,0.704986131,0.607066636,0.853198098,0.829194644,0.777631037,0.821743340,0.578197634,0.830560567,0.638197613,0.726460548,0.863173321,0.881989600,0.785343536,0.789920283,0.789537484
stage5c2_010,0.564581509,0.564411242,0.651971744,0.863254243,0.814807075,0.613264663,0.607058876,0.620508363,1.000000000,0.624977255,0.704195024,0.514810961,0.673327681,0.505584384,0.440046300,0.664063523,0.584013969,0.678858170,0.610497939,0.685699045,0.584422292,0.663341129,0.732284368,0.785125586,0.418704848,0.584074650,0.557144594,0.650296157,0.787522776,0.702570389,0.621429731,0.806778522,0.744137753,0.732303108,0.797652062,0.678608525,0.657221780,0.664788798,0.554918003,0.519561728,0.575055750,0.588770933,0.636143327,0.707781092,0.820507688,0.604044030,0.537746745,0.647590621,0.601691389,0.590070884,0.469902954,0.720726364,0.702409996,0.647015936,0.541498409,0.854007830,0.573492580,0.719083748,0.694193094,0.675005503,0.671377534,0.725256859,0.627866179,0.739681023,0.763343417,0.582485818,0.610381010,0.643123928,0.564750710,0.750667196,0.658705640,0.806876921,0.706100588,0.612555484,0.717158510,0.583567669,0.655020688,0.731361886,0.574590034,0.488599175,0.491084999,0.576899621,0.647348285,0.786744703,0.671737973,0.624305746,0.760465795,0.574256596,0.528114166,0.675591731,0.626249865,0.501407574,0.735071105,0.604226729,0.746811026,0.563529668,0.699031677,0.586013579
stage5c2_011,0.518972925,0.523574616,0.617618705,0.610780729,0.709948428,0.657637015,0.484993120,0.550840013,0.624977255,1.000000000,0.651742519,0.653241531,0.489905489,0.678124471,0.628301751,0.619323467,0.480048347,0.565361425,0.628584904,0.809888219,0.631837017,0.718071993,0.487656553,0.704978855,0.481677856,0.566681589,0.596087152,0.643475264,0.699585205,0.522337061,0.620653568,0.518499860,0.646668970,0.656231885,0.662657491,0.646457191,0.587748479,0.501337023,0.427876247,0.552082600,0.761301765,0.502447193,0.621722945,0.569160060,0.667047413,0.653576126,0.640594095,0.590296382,0.480029030,0.554888992,0.527822493,0.637932010,0.774711128,0.570800855,0.488169448,0.669140284,0.559263979,0.565104571,0.636794959,0.649267428,0.608212999,0.617983067,0.675290827,0.642889861,0.650784461,0.654627215,0.543653503,0.562997501,0.617781981,0.661187850,0.709059711,0.640813376,0.616067301,0.577063123,0.559594166,0.407826442,0.741940088,0.652529307,0.584093452,0.601625981,0.405338998,0.617432957,0.415529491,0.692590729,0.692567300,0.673907410,0.613692574,0.491379291,0.605870141,0.635921045,0.563296490,0.733246390,0.684433783,0.607571309,0.586065984,0.408896479,0.503184978,0.609701776
