stage5c2_track_id,stage5c2_001,stage5c2_002,stage5c2_003,stage5c2_004,stage5c2_005,stage5c2_006,stage5c2_007,stage5c2_009,stage5c2_010,stage5c2_011,stage5c2_012,stage5c2_013,stage5c2_014,stage5c2_015,stage5c2_016,stage5c2_017,stage5c2_018,stage5c2_020,stage5c2_021,stage5c2_022,stage5c2_023,stage5c2_024,stage5c2_025,stage5c2_026,stage5c2_027,stage5c2_028,stage5c2_029,stage5c2_030,stage5c2_031,stage5c2_032,stage5c2_033,stage5c2_034,stage5c2_035,stage5c2_036,stage5c2_037,stage5c2_038,stage5c2_039,stage5c2_040,stage5c2_041,stage5c2_042,stage5c2_043,stage5c2_044,stage5c2_045,stage5c2_046,stage5c2_047,stage5c2_048,stage5c2_049,stage5c2_050,stage5c2_051,stage5c2_052,stage5c2_053,stage5c2_054,stage5c2_055,stage5c2_056,stage5c2_057,stage5c2_058,stage5c2_059,stage5c2_060,stage5c2_061,stage5c2_062,stage5c2_063,stage5c2_064,stage5c2_065,stage5c2_066,stage5c2_067,stage5c2_068,stage5c2_069,stage5c2_070,stage5c2_071,stage5c2_072,stage5c2_073,stage5c2_074,stage5c2_075,stage5c2_076,stage5c2_077,stage5c2_078,stage5c2_079,stage5c2_080,stage5c2_081,stage5c2_082,stage5c2_083,stage5c2_084,stage5c2_085,stage5c2_086,stage5c2_087,stage5c2_088,stage5c2_089,stage5c2_090,stage5c2_091,stage5c2_092,stage5c2_093,stage5c2_094,stage5c2_095,stage5c2_096,stage5c2_097,stage5c2_098,stage5c2_099,stage5c2_100
stage5c2_001,1.000000000,0.699849682,0.867669205,0.731820806,0.504438128,0.645202447,0.619557389,0.787457700,0.501193556,0.531686993,0.598537084,0.417007751,0.685625071,0.660939724,0.669586855,0.438210798,0.819832014,0.802776197,0.482338684,0.487766935,0.497630747,0.488869164,0.700805384,0.618801329,0.672537589,0.791582133,0.454812559,0.646483990,0.573586330,0.656164846,0.514513250,0.641378556,0.643649158,0.641284422,0.591706027,0.564203919,0.642604080,0.610587573,0.619450328,0.803446755,0.426307861,0.630016085,0.631749294,0.786490950,0.644757922,0.713106530,0.589222204,0.680469908,0.688154165,0.719420310,0.575788935,0.674859329,0.568802742,0.744068980,0.488448186,0.651292646,0.746823393,0.597051632,0.597123276,0.501184414,0.649131195,0.581847108,0.665257692,0.587030363,0.521586202,0.389651943,0.767319976,0.862456625,0.743970422,0.523703293,0.556170354,0.764810780,0.632924920,0.861298665,0.623731874,0.775233489,0.579171046,0.600643699,0.765537740,0.620206683,0.793672158,0.457932044,0.619329661,0.607815187,0.556925198,0.767631434,0.802107771,0.672335488,0.724918795,0.479769087,0.790812886,0.607688220,0.653205381,0.831833080,0.799218916,0.696004442,0.716056377,0.673783246
stage5c2_002,0.699849682,1.000000000,0.750519727,0.750061017,0.606222530,0.627041576,0.805866124,0.700600786,0.559533902,0.557759089,0.613695469,0.506079229,0.843012181,0.632625520,0.667675698,0.481526668,0.882380105,0.721591764,0.539771322,0.584793063,0.503877216,0.590856657,0.606914820,0.693014818,0.712469758,0.843997887,0.612729674,0.551703154,0.608266901,0.731840299,0.731837873,0.722478869,0.664525199,0.706926787,0.518071555,0.524871478,0.664479602,0.607974706,0.771069582,0.808258634,0.407257457,0.802697688,0.547631493,0.688613742,0.738950413,0.676312332,0.531449295,0.693181766,0.693746210,0.833887587,0.678634490,0.761205810,0.609339851,0.805723434,0.606627598,0.684757835,0.826855732,0.808264129,0.586995482,0.565988905,0.569314609,0.532961625,0.729103939,0.608487086,0.702580494,0.536341699,0.657080229,0.707694387,0.731840359,0.672742294,0.615472746,0.753552692,0.712469207,0.752702310,0.806366896,0.772635179,0.591530796,0.671583993,0.750836313,0.558764363,0.668628575,0.480173894,0.602211608,0.644718870,0.695241007,0.811980236,0.780395115,0.752883657,0.820780015,0.633122196,0.778851229,0.668953725,0.604271827,0.775609288,0.713799557,0.688790025,0.613761754,0.723292873
stage5c2_003,0.867669205,0.750519727,1.000000000,0.802345699,0.634962797,0.727996840,0.695180312,0.833907837,0.590256229,0.629778562,0.700969461,0.547087443,0.724393367,0.725828925,0.675217832,0.518448122,0.823922824,0.793069414,0.598998791,0.638145821,0.597475127,0.644147829,0.755598684,0.722760585,0.637845532,0.827916251,0.625987185,0.655841237,0.618578676,0.706098443,0.647882902,0.708261172,0.750509341,0.816105926,0.683246324,0.598490514,0.724091887,0.706240663,0.676133829,0.860996471,0.501335617,0.735081060,0.700736955,0.822739447,0.775740043,0.730441536,0.664458928,0.674161064,0.676861054,0.783942444,0.564589133,0.776907523,0.651770609,0.771335014,0.570837720,0.752539270,0.737397864,0.723327847,0.677815419,0.623051961,0.721168280,0.678288775,0.723282716,0.689281298,0.654876997,0.517556077,0.787519786,0.841087343,0.787907108,0.642163501,0.713324456,0.828461709,0.761333747,0.866966334,0.770407122,0.780271333,0.647482609,0.676916309,0.769160401,0.599017889,0.758081229,0.540993652,0.665507444,0.703688961,0.683284264,0.824218720,0.810965660,0.686402462,0.782515152,0.637647330,0.791442887,0.724005090,0.737200360,0.877929015,0.833541104,0.699888343,0.699614674,0.657619572
stage5c2_004,0.731820806,0.750061017,0.802345699,1.000000000,0.795734607,0.712147359,0.768715137,0.798177084,0.823012881,0.629715007,0.753363814,0.609451355,0.789894104,0.627814218,0.622516932,0.690643401,0.806720391,0.798669702,0.630891740,0.679820149,0.603349574,0.690870958,0.778246302,0.796350363,0.625325475,0.806098588,0.602345325,0.681901384,0.787393162,0.712771110,0.709084946,0.807016723,0.795814428,0.795777671,0.726730913,0.672287419,0.700142505,0.739656303,0.695291540,0.743886428,0.494488820,0.704801738,0.726244336,0.806834510,0.843584337,0.730397565,0.587628538,0.721054233,0.697133518,0.726051128,0.577828926,0.776486014,0.743090790,0.822903776,0.504466139,0.843802025,0.737811876,0.724631381,0.690646499,0.675127275,0.676062192,0.734271334,0.732324829,0.733626528,0.793402929,0.614320458,0.760711294,0.765462045,0.721357015,0.795159500,0.680900240,0.882974670,0.688135975,0.803448756,0.751524538,0.730957444,0.734586370,0.800670255,0.756386774,0.604503331,0.678060312,0.522784689,0.732727759,0.820471655,0.739810138,0.816433097,0.851862627,0.713127536,0.725677878,0.659430586,0.787376364,0.660818274,0.768753167,0.773831213,0.865558594,0.702562588,0.753242118,0.690479525
stage5c2_005,0.504438128,0.606222530,0.634962797,0.795734607,1.000000000,0.629357485,0.625296667,0.600258014,0.804388041,0.672990652,0.746083196,0.622892665,0.581225571,0.600650431,0.520191413,0.746385642,0.574003680,0.608068033,0.634606230,0.848418408,0.750161204,0.769366559,0.612303681,0.802461376,0.446583560,0.591690231,0.750734542,0.586143715,0.725081174,0.636345929,0.723356925,0.686670871,0.753671916,0.773915587,0.767917365,0.669121303,0.642919978,0.643942161,0.465807627,0.517300495,0.624680723,0.611057551,0.704324005,0.654767420,0.870555257,0.611905363,0.658306470,0.605858976,0.540255392,0.554792224,0.446272640,0.773919496,0.713568150,0.587298097,0.597911978,0.846075072,0.569881167,0.710949231,0.819535948,0.702296064,0.721858369,0.752589640,0.619795157,0.708860893,0.831299450,0.715581201,0.643305212,0.577496035,0.595729875,0.766774284,0.791195573,0.803796774,0.751360358,0.664341767,0.737299109,0.566015298,0.724064134,0.775388523,0.564372343,0.503288829,0.428375082,0.662205731,0.586836399,0.732242552,0.747701268,0.657029095,0.691428906,0.594253480,0.618260808,0.765141648,0.629467172,0.700133376,0.719903580,0.590328789,0.639454456,0.496547339,0.521908456,0.627038729
stage5c2_006,0.645202447,0.627041576,0.727996840,0.712147359,0.629357485,1.000000000,0.681320080,0.703247265,0.584957692,0.677187882,0.735999721,0.600690318,0.568014054,0.768081713,0.613778575,0.567205945,0.645755299,0.757571633,0.708054787,0.609239091,0.635284760,0.698893606,0.797755787,0.697883034,0.578415019,0.690569902,0.566114951,0.822048609,0.653408325,0.535203294,0.573977702,0.686051895,0.676278181,0.708078914,0.647139376,0.605344395,0.817658145,0.805715892,0.502046618,0.714655990,0.487320615,0.514814402,0.669036919,0.697347712,0.686366319,0.618499027,0.540561273,0.563444566,0.563395589,0.619358365,0.517358369,0.661087791,0.727603208,0.663002848,0.419947632,0.660835091,0.629134913,0.589599639,0.608391061,0.774879973,0.580245743,0.658999801,0.676046675,0.658405960,0.643189985,0.504067188,0.786608257,0.701367808,0.726965267,0.609795848,0.623701669,0.693075464,0.608487768,0.758699061,0.604906400,0.670083957,0.717618545,0.707622008,0.674799077,0.686380143,0.604379737,0.394271638,0.603265622,0.828400635,0.779610897,0.735896298,0.667242654,0.647784390,0.737772702,0.543872394,0.815434620,0.844191255,0.715678230,0.758980105,0.745111754,0.640257009,0.536120255,0.542588647
stage5c2_007,0.619557389,0.805866124,0.695180312,0.768715137,0.625296667,0.681320080,1.000000000,0.695407999,0.585716276,0.528775144,0.613975645,0.532531248,0.780462809,0.587300989,0.674918756,0.495758743,0.834219654,0.773001205,0.487111426,0.558939242,0.509139661,0.561480257,0.621213025,0.678313131,0.688892644,0.803503234,0.562285653,0.559951367,0.583545346,0.726250539,0.630639124,0.763994897,0.628341100,0.710811065,0.532465035,0.515310802,0.668178581,0.636438168,0.678887229,0.790563763,0.347057020,0.727935007,0.541300408,0.719993824,0.728648342,0.596239845,0.457133690,0.658436258,0.723806783,0.743522119,0.619204141,0.682432234,0.655517520,0.755234849,0.491118246,0.704072480,0.767182106,0.733559748,0.572863936,0.608655983,0.497992411,0.570219984,0.673310166,0.609305347,0.704833371,0.471390152,0.697577862,0.670215968,0.699885288,0.691830218,0.561579180,0.743352324,0.643249624,0.763648306,0.749032903,0.779730220,0.581277261,0.704812263,0.692517890,0.582337389,0.685638737,0.391169084,0.570297558,0.622607234,0.762936295,0.799325666,0.780947921,0.767802107,0.788115989,0.577422195,0.820372960,0.654814206,0.649113386,0.699465475,0.701670063,0.705940631,0.564517546,0.657410792
stage5c2_009,0.787457700,0.700600786,0.833907837,0.798177084,0.600258014,0.703247265,0.695407999,1.000000000,0.639888076,0.600952978,0.686995662,0.497968951,0.704079492,0.773667093,0.650985679,0.575034204,0.787414106,0.761512716,0.582996249,0.579854239,0.456697433,0.617134464,0.693629144,0.752300934,0.798002946,0.818242780,0.487869367,0.753087460,0.748038960,0.662583686,0.617749618,0.720447410,0.685566865,0.720329203,0.631381725,0.680737505,0.632201310,0.671815186,0.605671964,0.782492665,0.480392451,0.669959649,0.653382495,0.800564353,0.731592719,0.702923252,0.541610376,0.748936921,0.798937922,0.710255051,0.685336416,0.740278812,0.668354558,0.832280857,0.411710906,0.745051881,0.831238342,0.638407261,0.514284392,0.501458332,0.593238704,0.674879229,0.686934878,0.811617148,0.660341821,0.525085191,0.752520980,0.894853808,0.861753665,0.709161833,0.609596685,0.803073089,0.603510494,0.845425397,0.656087785,0.825806333,0.718850112,0.757357559,0.844454280,0.621796291,0.863420098,0.388591003,0.582670387,0.727022067,0.650611797,0.854598907,0.806292791,0.772843917,0.793212473,0.580062915,0.828805711,0.650440717,0.700037588,0.822427094,0.888337107,0.742988556,0.767376455,0.783645736
stage5c2_010,0.501193556,0.559533902,0.590256229,0.823012881,0.804388041,0.584957692,0.585716276,0.639888076,1.000000000,0.622101293,0.711122774,0.503335381,0.652124151,0.532155837,0.437559873,0.709434472,0.573751195,0.591849984,0.564221408,0.684373954,0.556888690,0.700030077,0.657337142,0.812245064,0.462098001,0.598010482,0.582734378,0.665041906,0.798836010,0.606596345,0.592751010,0.726397118,0.693088042,0.686906679,0.736741271,0.702582465,0.597269595,0.698165620,0.477999959,0.458241589,0.590734063,0.535309311,0.636700131,0.651092866,0.801455576,0.559648594,0.510516663,0.639848926,0.628460970,0.507666771,0.480407528,0.737582704,0.706998683,0.631546249,0.483260541,0.853562665,0.588999748,0.682946144,0.644420952,0.636030500,0.624881055,0.751943016,0.542188657,0.774776437,0.769142377,0.656849509,0.555080108,0.595649179,0.593297125,0.769254759,0.694709252,0.755777456,0.653534957,0.574981370,0.659269889,0.583897031,0.704900259,0.758272597,0.589169582,0.477320265,0.499367542,0.513710301,0.599859501,0.776886611,0.692269221,0.657378965,0.703880449,0.584703506,0.519778041,0.675852516,0.625331070,0.536207534,0.709144004,0.553766460,0.724808594,0.539437793,0.688566338,0.608389875
stage5c2_011,0.531686993,0.557759089,0.629778562,0.629715007,0.672990652,0.677187882,0.528775144,0.600952978,0.622101293,1.000000000,0.668765930,0.623901531,0.507094820,0.728915561,0.643977307,0.578304649,0.515463681,0.564577972,0.674602783,0.787343672,0.594424137,0.677806089,0.552047455,0.714501360,0.513267822,0.616264960,0.581339481,0.688197275,0.728210169,0.498405527,0.626121961,0.523426323,0.653266463,0.648169020,0.680819596,0.683391003,0.603399844,0.566007672,0.420183139,0.570210227,0.757380170,0.506512574,0.653111427,0.597104346,0.659281443,0.625825965,0.604045753,0.587763522,0.532319412,0.528226321,0.528746738,0.656615687,0.791533619,0.618688749,0.431692709,0.667376882,0.612191122,0.579860763,0.626392912,0.654117361,0.565089349,0.614454603,0.613308527,0.654149230,0.620803221,0.660148658,0.533188024,0.577972405,0.648776188,0.672514167,0.685048934,0.662326850,0.607258649,0.577625127,0.560065454,0.498313543,0.747890726,0.668077189,0.583059878,0.650780080,0.491008208,0.538545604,0.401420518,0.714694890,0.728154289,0.713851950,0.609215659,0.502841561,0.627276306,0.613614513,0.614051086,0.756141557,0.685496423,0.632064235,0.639181285,0.435394370,0.519706508,0.634621223
