stage5c2_track_id,stage5c2_001,stage5c2_002,stage5c2_003,stage5c2_004,stage5c2_005,stage5c2_006,stage5c2_007,stage5c2_009,stage5c2_010,stage5c2_011,stage5c2_012,stage5c2_013,stage5c2_014,stage5c2_015,stage5c2_016,stage5c2_017,stage5c2_018,stage5c2_020,stage5c2_021,stage5c2_022,stage5c2_023,stage5c2_024,stage5c2_025,stage5c2_026,stage5c2_027,stage5c2_028,stage5c2_029,stage5c2_030,stage5c2_031,stage5c2_032,stage5c2_033,stage5c2_034,stage5c2_035,stage5c2_036,stage5c2_037,stage5c2_038,stage5c2_039,stage5c2_040,stage5c2_041,stage5c2_042,stage5c2_043,stage5c2_044,stage5c2_045,stage5c2_046,stage5c2_047,stage5c2_048,stage5c2_049,stage5c2_050,stage5c2_051,stage5c2_052,stage5c2_053,stage5c2_054,stage5c2_055,stage5c2_056,stage5c2_057,stage5c2_058,stage5c2_059,stage5c2_060,stage5c2_061,stage5c2_062,stage5c2_063,stage5c2_064,stage5c2_065,stage5c2_066,stage5c2_067,stage5c2_068,stage5c2_069,stage5c2_070,stage5c2_071,stage5c2_072,stage5c2_073,stage5c2_074,stage5c2_075,stage5c2_076,stage5c2_077,stage5c2_078,stage5c2_079,stage5c2_080,stage5c2_081,stage5c2_082,stage5c2_083,stage5c2_084,stage5c2_085,stage5c2_086,stage5c2_087,stage5c2_088,stage5c2_089,stage5c2_090,stage5c2_091,stage5c2_092,stage5c2_093,stage5c2_094,stage5c2_095,stage5c2_096,stage5c2_097,stage5c2_098,stage5c2_099,stage5c2_100
stage5c2_001,1.000000000,0.581790949,0.895651701,0.702187842,0.422757415,0.601543741,0.472924004,0.685232973,0.340359582,0.563946340,0.460117276,0.354232466,0.585636038,0.655498508,0.632900183,0.322083079,0.759159042,0.695970540,0.482216085,0.490149883,0.422485166,0.380738863,0.795212361,0.512619960,0.520703287,0.745832303,0.420686147,0.619056807,0.497264244,0.618302804,0.465289852,0.532062147,0.640354891,0.483584434,0.481301127,0.460814688,0.544777158,0.643651759,0.461683123,0.734903190,0.439401885,0.692790747,0.604882678,0.813216937,0.542874121,0.715347886,0.613877286,0.588425620,0.588067042,0.688945075,0.375583179,0.662473268,0.670576555,0.635844428,0.404798430,0.585609401,0.602998024,0.603833901,0.577978710,0.466656967,0.620715390,0.392428354,0.638491801,0.471273902,0.415046850,0.339412990,0.752604888,0.820698292,0.624046704,0.395407124,0.511171467,0.766339946,0.607571704,0.843697675,0.604072695,0.834026432,0.461846168,0.486435432,0.609140426,0.680577316,0.774948180,0.296751471,0.590364869,0.571282371,0.626935717,0.693349331,0.773131215,0.502109767,0.676234155,0.427903811,0.729790222,0.591981039,0.548986556,0.804427250,0.770626386,0.536171512,0.541361012,0.573874866
stage5c2_002,0.581790949,1.000000000,0.626347382,0.723519714,0.678614192,0.806916488,0.740935308,0.596613641,0.547158648,0.644495202,0.734882152,0.533950442,0.732038776,0.736332041,0.696212205,0.528517190,0.790411326,0.657347508,0.773525489,0.691097556,0.696772426,0.657048330,0.734913111,0.673346885,0.618890213,0.779121274,0.752822442,0.677840778,0.618884563,0.702642614,0.808182361,0.710977528,0.787661423,0.737818989,0.588484803,0.597081641,0.743370959,0.763851718,0.561566175,0.738625083,0.454668555,0.788199993,0.621402104,0.667051973,0.757477135,0.662573486,0.579115730,0.577657461,0.528802431,0.741755919,0.547775365,0.732406505,0.706147010,0.742870308,0.524298960,0.652920558,0.787654627,0.831487920,0.710953986,0.756565750,0.597668275,0.519141918,0.730526769,0.525054383,0.679655095,0.560710026,0.644333144,0.607964814,0.619405715,0.609992752,0.627670960,0.770967951,0.772865117,0.638493710,0.814831714,0.775864952,0.656901090,0.629430814,0.541003716,0.783395390,0.609855272,0.316526753,0.545422492,0.721097228,0.832934360,0.776488390,0.777813035,0.620280674,0.820427080,0.638403089,0.798060309,0.782775848,0.659124020,0.727667195,0.721960212,0.552862019,0.383485714,0.672812742
stage5c2_003,0.895651701,0.626347382,1.000000000,0.749869535,0.531706834,0.660978229,0.593807488,0.724535292,0.433665725,0.660631713,0.583361015,0.454506612,0.606515604,0.717688735,0.622706287,0.396146062,0.797738109,0.704814518,0.582988388,0.589997305,0.499057307,0.401787324,0.859881407,0.581430062,0.535239392,0.748463425,0.533601798,0.678777776,0.516880520,0.600325463,0.555914862,0.552281865,0.734110883,0.635692199,0.634323820,0.546586770,0.628156975,0.726960247,0.484843388,0.782293893,0.494517331,0.731494411,0.708497680,0.786603146,0.668250323,0.666267308,0.635541908,0.598471892,0.592064832,0.666895700,0.332472008,0.718445110,0.688824762,0.628541388,0.437036254,0.674182086,0.596005409,0.653817480,0.667717864,0.568809463,0.677214042,0.496582297,0.607858477,0.509529884,0.536787216,0.410621495,0.744523238,0.777881861,0.672917537,0.456907596,0.609472091,0.805536370,0.704974295,0.821772061,0.693976578,0.839988890,0.488667350,0.578282701,0.575417893,0.676228075,0.743777605,0.335028820,0.639583529,0.613326931,0.726252326,0.719288666,0.747886102,0.504681678,0.675323771,0.503828764,0.750837309,0.664571808,0.631311948,0.848398870,0.820717754,0.530563043,0.599912226,0.543915733
stage5c2_004,0.702187842,0.723519714,0.749869535,1.000000000,0.770815589,0.705664065,0.791779892,0.829585437,0.720908650,0.677756867,0.713098347,0.616497467,0.701900691,0.688564936,0.613386296,0.690395216,0.846648356,0.680118057,0.640359386,0.707300448,0.584889160,0.660616283,0.771125620,0.818522145,0.641919271,0.817033011,0.638402161,0.691926908,0.727451972,0.622510341,0.682890566,0.684191914,0.783750913,0.718782659,0.617790885,0.695946809,0.562003086,0.786032631,0.563504391,0.748288853,0.550643190,0.731363442,0.763350645,0.815571958,0.783112248,0.674186764,0.601515264,0.699263781,0.704134616,0.618652823,0.479913735,0.786584666,0.777845869,0.807547314,0.351383537,0.799520351,0.702625512,0.692322628,0.644078441,0.645686439,0.594921348,0.721172320,0.679477521,0.718131687,0.787296565,0.658462116,0.771292063,0.760737497,0.690578009,0.743960973,0.715153483,0.850422383,0.663845438,0.795870702,0.706674948,0.845147806,0.748556253,0.752572016,0.702353619,0.663655786,0.771172203,0.250926991,0.682624598,0.808470714,0.850609863,0.879146440,0.848730822,0.695844764,0.771986787,0.648259933,0.815239948,0.713197727,0.746853868,0.750395934,0.887601605,0.655236110,0.630567229,0.744659513
stage5c2_005,0.422757415,0.678614192,0.531706834,0.770815589,1.000000000,0.552135627,0.613326179,0.552203350,0.777951874,0.579217850,0.755846081,0.525869092,0.554068407,0.561552993,0.513595326,0.757982600,0.607870946,0.441911017,0.555490622,0.842160371,0.773362994,0.762830928,0.559001832,0.742684517,0.477575841,0.611306302,0.794983519,0.531688775,0.661032324,0.484595607,0.643778278,0.633460363,0.806793111,0.698917555,0.714959939,0.633300159,0.523886792,0.674856338,0.365812010,0.476337558,0.578854659,0.589182135,0.773544388,0.605195092,0.848512092,0.532644284,0.622050039,0.565881599,0.487747797,0.395785487,0.365211803,0.743612254,0.614717238,0.534233372,0.471848054,0.751644547,0.542933780,0.730084987,0.773862037,0.625610568,0.654838605,0.763343588,0.468014916,0.673802929,0.753784491,0.703264986,0.543543174,0.477065208,0.520013951,0.712013398,0.820412916,0.758679980,0.755723307,0.617231720,0.701775693,0.641734141,0.716998190,0.708739895,0.482230362,0.506699007,0.418929864,0.404761867,0.570408533,0.728360196,0.787727909,0.681700798,0.577966724,0.536732362,0.548040177,0.709133917,0.622882577,0.693858158,0.739591522,0.520685602,0.611939789,0.452588591,0.450724700,0.662791833
stage5c2_006,0.601543741,0.806916488,0.660978229,0.705664065,0.552135627,1.000000000,0.796995709,0.728333121,0.513134538,0.726794212,0.724026187,0.550282087,0.539004798,0.821550746,0.632222645,0.530917617,0.700299528,0.808135562,0.812588688,0.567386193,0.603802777,0.635897369,0.729126484,0.682483011,0.732955283,0.747505528,0.544405442,0.814225352,0.691794211,0.517174287,0.641671107,0.700114413,0.661856388,0.650801121,0.596271934,0.646287475,0.808568461,0.716673571,0.524591907,0.757850003,0.491562482,0.569533486,0.666327821,0.633766486,0.596208097,0.595848188,0.475788297,0.552004274,0.569329556,0.625754189,0.505813145,0.611428874,0.702129512,0.734728651,0.285249873,0.557769479,0.746879982,0.621719162,0.559725496,0.748659436,0.461399291,0.549490294,0.617921194,0.539591328,0.608648670,0.542063380,0.677393102,0.617400689,0.739433813,0.552362800,0.526824534,0.662008299,0.584080237,0.715256913,0.547999959,0.767835220,0.674371305,0.698237772,0.656791008,0.752820952,0.693297624,0.092157579,0.479913379,0.781841445,0.732135199,0.788769720,0.709236705,0.669394831,0.784385831,0.451674821,0.850994962,0.833546870,0.683023960,0.794215687,0.790129282,0.649988701,0.477234835,0.607016387
stage5c2_007,0.472924004,0.740935308,0.593807488,0.791779892,0.613326179,0.796995709,1.000000000,0.669988753,0.531563789,0.639863081,0.736267670,0.691736426,0.546104077,0.643443892,0.610393000,0.610272922,0.764641888,0.713273336,0.718703364,0.584947412,0.526137406,0.529863778,0.649926490,0.676011769,0.597280171,0.684431908,0.598434449,0.601533039,0.583719910,0.566447823,0.688809475,0.766640383,0.664108636,0.753118067,0.536721465,0.617593642,0.644996640,0.681102785,0.637733465,0.801529298,0.378240966,0.607085349,0.675161209,0.593966685,0.641634981,0.561279730,0.472231299,0.481064364,0.467183968,0.536861348,0.340744573,0.582224657,0.649921533,0.701933411,0.358638164,0.587758821,0.628657694,0.608874958,0.532075160,0.800831615,0.463243573,0.588036258,0.675537587,0.477260215,0.743295281,0.568790205,0.709995010,0.555445105,0.557797791,0.577074425,0.516359430,0.664903532,0.578357318,0.628202023,0.623389974,0.685553083,0.590840064,0.644461316,0.552793833,0.627456364,0.574742984,0.133666030,0.571167679,0.668008225,0.756287463,0.754099176,0.722748892,0.670175336,0.702140620,0.550290512,0.735162795,0.687534008,0.755163453,0.698734170,0.755456945,0.698542519,0.411233198,0.531408197
stage5c2_009,0.685232973,0.596613641,0.724535292,0.829585437,0.552203350,0.728333121,0.669988753,1.000000000,0.689060136,0.728104383,0.640949337,0.521327455,0.655446103,0.767570134,0.598428482,0.647598232,0.725222177,0.668938191,0.547398959,0.558736889,0.378459803,0.572485297,0.661195658,0.819993788,0.787475105,0.825500665,0.449030219,0.833235877,0.783087886,0.540167745,0.571783624,0.570746121,0.555942372,0.561391707,0.528879601,0.692333098,0.580880150,0.767584304,0.442182021,0.629182921,0.617627389,0.561930419,0.655967522,0.705641733,0.645030066,0.666787099,0.483383616,0.715969452,0.822816697,0.543233526,0.605360771,0.757535132,0.813087383,0.833196559,0.296901285,0.736436716,0.764138976,0.567672740,0.481079162,0.552103124,0.498814198,0.615694775,0.591651065,0.828862037,0.673523712,0.666774357,0.663866263,0.821033452,0.840490193,0.730233744,0.606645211,0.715580935,0.507151976,0.752867976,0.533938682,0.790904286,0.735261981,0.802650752,0.803543732,0.663252232,0.917342895,0.187289292,0.500869756,0.782933751,0.761098740,0.858153174,0.748184022,0.760697580,0.720821228,0.584795683,0.824353125,0.681505090,0.632994728,0.719041869,0.904442610,0.635521451,0.710176102,0.768696629
stage5c2_010,0.340359582,0.547158648,0.433665725,0.720908650,0.777951874,0.513134538,0.531563789,0.689060136,1.000000000,0.614804126,0.728700522,0.474218443,0.598324529,0.599575467,0.431251073,0.824553982,0.547711505,0.371084497,0.446804170,0.681011808,0.487027802,0.793120782,0.467173874,0.881055196,0.572199258,0.633369808,0.647663225,0.702456228,0.827541029,0.363081827,0.519984618,0.522445734,0.563559835,0.571722519,0.582192590,0.763411439,0.445153180,0.782852482,0.282836146,0.302654270,0.630514576,0.399661375,0.638112908,0.507258079,0.753114738,0.447004250,0.441425897,0.620205958,0.696383310,0.298583180,0.507060736,0.780352219,0.718641539,0.592295079,0.335493854,0.852433150,0.628346018,0.591254360,0.518134313,0.537139396,0.506905745,0.819653686,0.324799460,0.863823878,0.783856053,0.845532173,0.414765373,0.475191708,0.665727819,0.816416902,0.786061058,0.626123009,0.520160413,0.479644736,0.512389345,0.584732721,0.831459474,0.826553024,0.626162206,0.448702338,0.520382802,0.353380318,0.479366419,0.751873716,0.744363066,0.741295498,0.560306701,0.611210406,0.498626830,0.676514205,0.622999816,0.624505321,0.643359286,0.425733843,0.668981920,0.478309586,0.662012677,0.665165152
stage5c2_011,0.563946340,0.644495202,0.660631713,0.677756867,0.579217850,0.726794212,0.639863081,0.728104383,0.614804126,1.000000000,0.711959355,0.549457277,0.550709236,0.857787572,0.683750825,0.474227785,0.605322850,0.562590119,0.791363744,0.730141492,0.499496601,0.575639588,0.715426206,0.738662767,0.593420906,0.742072630,0.543920282,0.801670237,0.800840163,0.437684152,0.639996892,0.535926216,0.670006253,0.627711150,0.726902224,0.777103001,0.643111984,0.730096226,0.400663450,0.616205373,0.747429925,0.516827647,0.732753284,0.668007258,0.639576880,0.555415606,0.511311805,0.581336907,0.664995566,0.460575243,0.531091823,0.704021699,0.834217250,0.740194492,0.288394530,0.662902610,0.746482928,0.617301581,0.599999843,0.666423075,0.455671901,0.605501849,0.456041108,0.682717578,0.544731952,0.674158190,0.506634013,0.615968161,0.727417653,0.701252381,0.624126496,0.716912892,0.584908495,0.579051095,0.561261254,0.727906065,0.762989254,0.707526759,0.580437393,0.775498558,0.708376317,0.338385072,0.365621884,0.770779679,0.818448997,0.815203053,0.597856403,0.531924727,0.681590072,0.557016250,0.742830499,0.814233365,0.688192655,0.694210025,0.773950503,0.502627352,0.561626513,0.697849226
