review_schema_version,pair_id,query_spotify_id,neighbor_spotify_id,neighbor_rank,clap_similarity,muq_similarity,combined_similarity,human_label,human_note,review_timestamp
stage5c2-human-similarity-review-v2,60595ed16623accbe9c92d9d,3JxRNkoNmAcPgnA5HSnKiz,340yvMO5adu3bo1x5Zrw14,1,0.856640732,0.895651701,0.867669205,5,,2026-09-04T21:27:09.609484+00:00
stage5c2-human-similarity-review-v2,35a2b67da8a31c1d37a36907,3JxRNkoNmAcPgnA5HSnKiz,74cpuIw43kA8xPgbQEPdss,2,0.878914437,0.820698292,0.862456625,4,,2026-09-04T21:53:45.302770+00:00
stage5c2-human-similarity-review-v2,de5c5b26cc529988ce159fc2,3JxRNkoNmAcPgnA5HSnKiz,74X2u8JMVooG2QbjRxXwR8,3,0.868235574,0.843697675,0.861298665,4,,2026-09-04T21:33:50.466886+00:00
stage5c2-human-similarity-review-v2,86b0c6b6353c9f4ce506447c,3JxRNkoNmAcPgnA5HSnKiz,0ayK1CJh1cMRjUJRCDWhCd,4,0.842634277,0.804427250,0.831833080,5,,2026-09-04T21:34:20.946139+00:00
stage5c2-human-similarity-review-v2,59461b3fdf1b81c206ec0ea5,3JxRNkoNmAcPgnA5HSnKiz,1AHtqWqufKsgBmdNEi1WVO,5,0.843744472,0.759159042,0.819832014,5,,2026-09-04T21:34:47.438250+00:00
stage5c2-human-similarity-review-v2,0e26f5727b805b357e577120,07tiPBhMqiKqHowwqDBtfK,1AHtqWqufKsgBmdNEi1WVO,1,0.918626879,0.790411326,0.882380105,5,,2026-09-04T21:35:17.546685+00:00
stage5c2-human-similarity-review-v2,114fdced86df4ce9d888f70c,07tiPBhMqiKqHowwqDBtfK,65FftemJ1DbbZ45DUfHJXE,2,0.869567085,0.779121274,0.843997887,3,a little less like the query than the other options,2026-09-04T21:58:06.531047+00:00
stage5c2-human-similarity-review-v2,945621941447c5715176817f,07tiPBhMqiKqHowwqDBtfK,5VGDusp81Ed3T9xACRw5Os,3,0.886749066,0.732038776,0.843012181,4,,2026-09-04T23:10:12.509561+00:00
stage5c2-human-similarity-review-v2,ee4677746e6e519d424f9fee,07tiPBhMqiKqHowwqDBtfK,39kzWAiVPpycdMpr745oPj,4,0.870198559,0.741755919,0.833887587,3,,2026-09-04T21:58:16.782864+00:00
stage5c2-human-similarity-review-v2,d1c68b5e041ae097ec5dffea,07tiPBhMqiKqHowwqDBtfK,1aKvZDoLGkNMxoRYgkckZG,5,0.842305688,0.787654627,0.826855732,3,,2026-09-04T21:58:17.980859+00:00
stage5c2-human-similarity-review-v2,397a6b8b332674a8b9b9a74a,340yvMO5adu3bo1x5Zrw14,0ayK1CJh1cMRjUJRCDWhCd,1,0.889567448,0.848398870,0.877929015,5,,2026-09-04T22:02:23.604914+00:00
stage5c2-human-similarity-review-v2,60595ed16623accbe9c92d9d,340yvMO5adu3bo1x5Zrw14,3JxRNkoNmAcPgnA5HSnKiz,2,0.856640732,0.895651701,0.867669205,5,,2026-09-04T21:27:09.609484+00:00
stage5c2-human-similarity-review-v2,e9387a19fecc81ec1c1ee883,340yvMO5adu3bo1x5Zrw14,74X2u8JMVooG2QbjRxXwR8,3,0.884778320,0.821772061,0.866966334,4,,2026-09-04T22:02:27.974363+00:00
stage5c2-human-similarity-review-v2,263ccf67ab469d9462c2081f,340yvMO5adu3bo1x5Zrw14,5aawFqyuCB3K2P8KQvhFVs,4,0.892014764,0.782293893,0.860996471,3,,2026-09-04T22:13:51.871999+00:00
stage5c2-human-similarity-review-v2,5fb5102e9a3c8da68c25b4c5,340yvMO5adu3bo1x5Zrw14,5quFr5s5PXYfUX5jV2EBZ1,5,0.851649166,0.841372163,0.848743838,5,,2026-09-04T22:14:02.698138+00:00
stage5c2-human-similarity-review-v2,5511df80efe966995e015d20,2aiVdNIqY5BDCM10fKlKpS,7iov2YtUJgLmHXwpYXLcoo,1,0.895804192,0.850422383,0.882974670,5,,2026-09-04T22:20:15.122787+00:00
stage5c2-human-similarity-review-v2,857d0bba1e525ac30703e924,2aiVdNIqY5BDCM10fKlKpS,0mjbciwK9zhfQl44jXfQv6,2,0.856870993,0.887601605,0.865558594,5,,2026-09-04T22:20:36.914400+00:00
stage5c2-human-similarity-review-v2,009b9816f8c7a212d0d99c5c,2aiVdNIqY5BDCM10fKlKpS,4Sk74gcXTe9dnE1HU5Pn1y,3,0.853096936,0.848730822,0.851862627,4,,2026-09-04T22:22:53.435500+00:00
stage5c2-human-similarity-review-v2,a297d301a5ff514804774ee1,2aiVdNIqY5BDCM10fKlKpS,49iccsmr8Su1SXXwNfFO70,4,0.861254336,0.799520351,0.843802025,4,,2026-09-04T22:28:07.737115+00:00
stage5c2-human-similarity-review-v2,1a2622f8aceef82359f3f387,2aiVdNIqY5BDCM10fKlKpS,2BFAfMIblG0RZeAvlmLC81,5,0.867417622,0.783112248,0.843584337,5,,2026-09-04T22:30:04.050361+00:00
stage5c2-human-similarity-review-v2,f9328ce50e46609c8bb93906,7hFW5IN7mQ99PuO86r38Sf,2BFAfMIblG0RZeAvlmLC81,1,0.879242919,0.848512092,0.870555257,4,,2026-09-05T07:12:02.116522+00:00
stage5c2-human-similarity-review-v2,02ae9377eefffd9abc3e178c,7hFW5IN7mQ99PuO86r38Sf,4B8L0sByBRJRUV1Uot2Ebd,2,0.850884829,0.842160371,0.848418408,5,,2026-09-04T22:30:31.547410+00:00
stage5c2-human-similarity-review-v2,e108be366bfc390327e5061f,7hFW5IN7mQ99PuO86r38Sf,49iccsmr8Su1SXXwNfFO70,3,0.883292070,0.751644547,0.846075072,3,,2026-09-05T08:30:27.864992+00:00
stage5c2-human-similarity-review-v2,24058909bdc6d50ec0ee9cc6,7hFW5IN7mQ99PuO86r38Sf,3fzeNQfannmBQWGecQZ93s,4,0.861849679,0.753784491,0.831299450,3,,2026-09-04T22:30:43.628009+00:00
stage5c2-human-similarity-review-v2,09b85fafe985f0eda610b8ef,7hFW5IN7mQ99PuO86r38Sf,4yNhVidUIAtKPT72PrZuLP,5,0.837536969,0.773862037,0.819535948,3,3.5 maybe? same lofi genre but very different sounds compared to the song,2026-09-04T22:31:27.747066+00:00
stage5c2-human-similarity-review-v2,8959a418ed6b4366cf36cbec,30NAF18yQGvwKrbn1IEMKn,2BJSMvOGABRxokHKB0OI8i,1,0.848386424,0.833546870,0.844191255,2,,2026-09-04T22:32:02.157972+00:00
stage5c2-human-similarity-review-v2,f9da32cfda118e52cf7f78f5,30NAF18yQGvwKrbn1IEMKn,23V5SeHanwL6PlqyJ99dH8,2,0.846750563,0.781841445,0.828400635,2,,2026-09-04T22:32:30.443533+00:00
stage5c2-human-similarity-review-v2,5455701fe44927f775ff2ffe,30NAF18yQGvwKrbn1IEMKn,6nef0wHkelfKqNVHAtzJbR,3,0.825131914,0.814225352,0.822048609,5,,2026-09-04T22:32:12.193814+00:00
stage5c2-human-similarity-review-v2,b6fe2df9eb5e4d5c3c255593,30NAF18yQGvwKrbn1IEMKn,4P1L6AniTDJzANaubzWGYs,4,0.821240574,0.808568461,0.817658145,1,,2026-09-05T00:39:02.001068+00:00
stage5c2-human-similarity-review-v2,8c70e29ee56097c64a585a6b,30NAF18yQGvwKrbn1IEMKn,7fXYFuCTmNrYRGwEUUf5iz,5,0.801419564,0.850994962,0.815434620,5,,2026-09-04T22:33:02.678584+00:00
