"packet_id","pair_id","anchor","anchor_artists","candidate","candidate_artists","rating","note","save_status"
"2b5e466db3fa356a8eafb02a11606da6de4c5a7c686673408aa73f476b1619b1","75b8ec44e61a5df1ad5f98e6","Flash Forward","LE SSERAFIM","Heart","chicken97","3","","SUBMITTED"
"2b5e466db3fa356a8eafb02a11606da6de4c5a7c686673408aa73f476b1619b1","193211f90d32eac0dadcc912","Flash Forward","LE SSERAFIM","DANCING ALONE","KiiiKiii","4","","SUBMITTED"
"2b5e466db3fa356a8eafb02a11606da6de4c5a7c686673408aa73f476b1619b1","567d8d71b7be4a11f03c8706","Flash Forward","LE SSERAFIM","Top Secret","Weeekly","5","","SUBMITTED"
"2b5e466db3fa356a8eafb02a11606da6de4c5a7c686673408aa73f476b1619b1","7b40c2125851f0cc3b699ea0","Flash Forward","LE SSERAFIM","OMG","NewJeans","5","","SUBMITTED"
"2b5e466db3fa356a8eafb02a11606da6de4c5a7c686673408aa73f476b1619b1","2e0508522c790ef24704359d","Flash Forward","LE SSERAFIM","MOON","i-dle","4","","SUBMITTED"
"2b5e466db3fa356a8eafb02a11606da6de4c5a7c686673408aa73f476b1619b1","be5279b84587fadabf247569","Flash Forward","LE SSERAFIM","Smart","LE SSERAFIM","5","","SUBMITTED"
"2b5e466db3fa356a8eafb02a11606da6de4c5a7c686673408aa73f476b1619b1","45811df2dad92d2c749e4826","Flash Forward","LE SSERAFIM","Thirsty","aespa","5","","SUBMITTED"
"979f8351d18de8358d298e08c05f2437cf8ea745bee57ba62e71876a19e32efa","2641f9b2aaea091cee301fba","Panorama","IZ*ONE","Magnetic","ILLIT","5","","SUBMITTED"
"150ead7d2d25bf225f5fd59ecbe8ecdcaba8cbaeb67d3439226d97d1a11d932f","adb7fd4b62ba75c4d534767f","falling down","Nohidea","Wet Dreamz","J. Cole","2","","SUBMITTED"
"150ead7d2d25bf225f5fd59ecbe8ecdcaba8cbaeb67d3439226d97d1a11d932f","37dbf41c615586407afccf09","falling down","Nohidea","Tell Me","hyejin","3","","SUBMITTED"
"f540cef495be59df877812419dd2661ac2edf777ae38f6f7f80aa11a40d34c6c","f859d871c57a3e5b2ad428c4","Season of Memories","GFRIEND","Fall in love","Han Jihyo; Park Soeun","4","","SUBMITTED"
"f540cef495be59df877812419dd2661ac2edf777ae38f6f7f80aa11a40d34c6c","6399a09dba3f2c283073136a","Season of Memories","GFRIEND","Fresh Air","Maasho; Weston Estate","2","","SUBMITTED"
